field	value	per_superblock
run_mode	device	-
spirv_path	$SCRATCH/lab/spv/mul_mat_vec_q4_k_sideplane_f32_f32_subgroup_no_shmem.spv	-
spirv_sha256	9fa40c1a52f1870163bcdb8b13a6bcca4a617e478e8e512a256a838fe2f53d25	-
spirv_bytes	18508	-
nir_sha256	da5facc38bc580eb89a20ee8dfdf48a3f04df718cf9374c27c56fcb78d200f89	-
isa_sha256	044305166f76a37479ece980dea746bf2fd2720d41cb1b2f4a5b897d7cbd8149	-
device_name	AMD Ryzen 5 5600X3D 6-Core Processor (RADV RAVEN2)	-
driver_name	radv	-
driver_info	Mesa 26.2.1-arch3.1	-
device_api_version	1.4.354	-
spirv_capabilities	Shader,Int8,GroupNonUniform,GroupNonUniformArithmetic,StorageBuffer16BitAccess,StorageBuffer8BitAccess	-
features_enabled	shaderInt8,storageBuffer16BitAccess,storageBuffer8BitAccess,subgroupSizeControl,computeFullSubgroups	-
robust_buffer_access	off	-
spec_constants	0:64,1:4,2:1	-
bindings	6	-
push_constant_bytes	52	-
subgroup_size_requested	64	-
subgroup_size_min	64	-
subgroup_size_max	64	-
environment_names	GGML_VK_LOW_PRIORITY,GGML_VK_MAX_NODES_PER_SUBMIT,RADV_DEBUG,VK_DRIVER_FILES,VK_ICD_FILENAMES	-
per_superblock_divisor	256	-
vgprs	64	-
sgprs	48	-
spilled_vgprs	0	-
spilled_sgprs	0	-
lds	0	-
scratch	0	-
code_size	6508	-
waves_per_simd	-	-
instruction_lines	1359	5.3086
valu	797	3.1133
salu	418	1.6328
vmem	58	0.2266
smem	39	0.1523
lds_instructions	0	0.0000
waitcnt	84	0.3281
barrier	0	0.0000
v_cvt_f32_ubyte	192	0.7500
v_bfe	4	0.0156
v_lshrrev_b32	34	0.1328
v_lshlrev_b32	16	0.0625
v_and_b32	54	0.2109
v_perm_b32	0	0.0000
sdwa_operand_uses	16	0.0625
dpp_uses	32	0.1250
v_mul_lo_u32	0	0.0000
v_mad_u32_u24	0	0.0000
v_mad_i32_i24	0	0.0000
v_mul_u32_u24	0	0.0000
v_fma_f32	0	0.0000
v_mac_f32	152	0.5938
v_mad_mix_f32	0	0.0000
v_pk_fma_f16	0	0.0000
v_cvt_f32_f16	16	0.0625
