monitor_start_utc=2026-09-01T20:13:13Z server_pid=205822 sample_seconds=1 profile=low-async latency_watchdog_pid=206426 kernel_hazard_watchdog_pid=206435 guard_affinity=1 guard_nice=0
threshold_mem_available_kib=4194304 threshold_swapin_bytes_per_sample=67108864 report_temperature_millicelsius=90000
threshold_maximum_gpu_busy_percent=100 enforcement=terminate_on_sample_above_threshold
sample_utc=2026-09-01T20:13:13Z affinity=0 nice=19 rss_kib=173984 peak_rss_kib=173984 mem_available_kib=12299536 swapin_bytes=0 max_temp_millicelsius=67500 gpu_busy_percent=10 gtt_used_bytes=1822797824 vram_used_bytes=2122616832 sclk=0: 200Mhz ;1: 400Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz ;3: 1067Mhz *;
sample_utc=2026-09-01T20:13:14Z affinity=0 nice=19 rss_kib=174608 peak_rss_kib=174608 mem_available_kib=12297524 swapin_bytes=0 max_temp_millicelsius=68000 gpu_busy_percent=99 gtt_used_bytes=1823780864 vram_used_bytes=2122616832 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz ;3: 1067Mhz *;
sample_utc=2026-09-01T20:13:15Z affinity=0 nice=19 rss_kib=177656 peak_rss_kib=177656 mem_available_kib=12297168 swapin_bytes=0 max_temp_millicelsius=69000 gpu_busy_percent=99 gtt_used_bytes=1823780864 vram_used_bytes=2122616832 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz ;3: 1067Mhz *;
sample_utc=2026-09-01T20:13:17Z affinity=0 nice=19 rss_kib=177656 peak_rss_kib=177656 mem_available_kib=12296868 swapin_bytes=0 max_temp_millicelsius=69000 gpu_busy_percent=99 gtt_used_bytes=1823780864 vram_used_bytes=2122616832 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz ;3: 1067Mhz *;
sample_utc=2026-09-01T20:13:18Z affinity=0 nice=19 rss_kib=177656 peak_rss_kib=177656 mem_available_kib=12296724 swapin_bytes=0 max_temp_millicelsius=69250 gpu_busy_percent=99 gtt_used_bytes=1823780864 vram_used_bytes=2122616832 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz ;3: 1067Mhz *;
sample_utc=2026-09-01T20:13:19Z affinity=0 nice=19 rss_kib=177656 peak_rss_kib=177656 mem_available_kib=12296484 swapin_bytes=0 max_temp_millicelsius=69750 gpu_busy_percent=99 gtt_used_bytes=1823780864 vram_used_bytes=2122616832 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz ;3: 1067Mhz *;
sample_utc=2026-09-01T20:13:20Z affinity=0 nice=19 rss_kib=177656 peak_rss_kib=177656 mem_available_kib=12296216 swapin_bytes=0 max_temp_millicelsius=70125 gpu_busy_percent=99 gtt_used_bytes=1823780864 vram_used_bytes=2122616832 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz ;3: 1067Mhz *;
sample_utc=2026-09-01T20:13:21Z affinity=0 nice=19 rss_kib=177656 peak_rss_kib=177656 mem_available_kib=12295740 swapin_bytes=0 max_temp_millicelsius=70750 gpu_busy_percent=99 gtt_used_bytes=1823780864 vram_used_bytes=2122616832 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz ;3: 1067Mhz *;
sample_utc=2026-09-01T20:13:22Z affinity=0 nice=19 rss_kib=177656 peak_rss_kib=177656 mem_available_kib=12295532 swapin_bytes=0 max_temp_millicelsius=71375 gpu_busy_percent=98 gtt_used_bytes=1823780864 vram_used_bytes=2122616832 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz ;3: 1067Mhz *;
sample_utc=2026-09-01T20:13:23Z affinity=0 nice=19 rss_kib=177656 peak_rss_kib=177656 mem_available_kib=12295344 swapin_bytes=0 max_temp_millicelsius=71625 gpu_busy_percent=99 gtt_used_bytes=1823780864 vram_used_bytes=2122616832 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz ;3: 1067Mhz *;
sample_utc=2026-09-01T20:13:24Z affinity=0 nice=19 rss_kib=177656 peak_rss_kib=177656 mem_available_kib=12295024 swapin_bytes=0 max_temp_millicelsius=72250 gpu_busy_percent=99 gtt_used_bytes=1823780864 vram_used_bytes=2122616832 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz ;3: 1067Mhz *;
