monitor_start_utc=2026-09-01T20:16:33Z server_pid=217720 sample_seconds=1 profile=low-async latency_watchdog_pid=218313 kernel_hazard_watchdog_pid=218322 guard_affinity=1 guard_nice=0
threshold_mem_available_kib=4194304 threshold_swapin_bytes_per_sample=67108864 report_temperature_millicelsius=90000
threshold_maximum_gpu_busy_percent=100 enforcement=terminate_on_sample_above_threshold
sample_utc=2026-09-01T20:16:33Z affinity=0 nice=19 rss_kib=174048 peak_rss_kib=174048 mem_available_kib=12592096 swapin_bytes=0 max_temp_millicelsius=67250 gpu_busy_percent=11 gtt_used_bytes=1830625280 vram_used_bytes=2114215936 sclk=0: 200Mhz ;1: 400Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz ;3: 1067Mhz *;
sample_utc=2026-09-01T20:16:34Z affinity=0 nice=19 rss_kib=174676 peak_rss_kib=174676 mem_available_kib=12590320 swapin_bytes=0 max_temp_millicelsius=67875 gpu_busy_percent=99 gtt_used_bytes=1831608320 vram_used_bytes=2114215936 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz ;3: 1067Mhz *;
sample_utc=2026-09-01T20:16:35Z affinity=0 nice=19 rss_kib=177728 peak_rss_kib=177728 mem_available_kib=12587556 swapin_bytes=0 max_temp_millicelsius=68875 gpu_busy_percent=98 gtt_used_bytes=1831608320 vram_used_bytes=2114215936 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz ;3: 1067Mhz *;
sample_utc=2026-09-01T20:16:36Z affinity=0 nice=19 rss_kib=177728 peak_rss_kib=177728 mem_available_kib=12587384 swapin_bytes=0 max_temp_millicelsius=69250 gpu_busy_percent=99 gtt_used_bytes=1831608320 vram_used_bytes=2114215936 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz ;3: 1067Mhz *;
sample_utc=2026-09-01T20:16:37Z affinity=0 nice=19 rss_kib=177728 peak_rss_kib=177728 mem_available_kib=12587536 swapin_bytes=0 max_temp_millicelsius=70000 gpu_busy_percent=99 gtt_used_bytes=1831608320 vram_used_bytes=2114215936 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz ;3: 1067Mhz *;
sample_utc=2026-09-01T20:16:38Z affinity=0 nice=19 rss_kib=177728 peak_rss_kib=177728 mem_available_kib=12585240 swapin_bytes=0 max_temp_millicelsius=70500 gpu_busy_percent=97 gtt_used_bytes=1831608320 vram_used_bytes=2114215936 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz ;3: 1067Mhz *;
sample_utc=2026-09-01T20:16:39Z affinity=0 nice=19 rss_kib=177728 peak_rss_kib=177728 mem_available_kib=12584608 swapin_bytes=0 max_temp_millicelsius=71000 gpu_busy_percent=99 gtt_used_bytes=1831608320 vram_used_bytes=2114215936 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz ;3: 1067Mhz *;
sample_utc=2026-09-01T20:16:40Z affinity=0 nice=19 rss_kib=177728 peak_rss_kib=177728 mem_available_kib=12584640 swapin_bytes=0 max_temp_millicelsius=71750 gpu_busy_percent=95 gtt_used_bytes=1831608320 vram_used_bytes=2114215936 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz ;3: 1067Mhz *;
sample_utc=2026-09-01T20:16:41Z affinity=0 nice=19 rss_kib=177728 peak_rss_kib=177728 mem_available_kib=12584288 swapin_bytes=0 max_temp_millicelsius=72250 gpu_busy_percent=99 gtt_used_bytes=1831608320 vram_used_bytes=2114215936 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz ;3: 1067Mhz *;
sample_utc=2026-09-01T20:16:42Z affinity=0 nice=19 rss_kib=177728 peak_rss_kib=177728 mem_available_kib=12583892 swapin_bytes=0 max_temp_millicelsius=73500 gpu_busy_percent=94 gtt_used_bytes=1831608320 vram_used_bytes=2114215936 sclk=0: 200Mhz ;1: 1066Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz ;3: 1067Mhz *;
sample_utc=2026-09-01T20:16:43Z affinity=0 nice=19 rss_kib=177728 peak_rss_kib=177728 mem_available_kib=12583576 swapin_bytes=0 max_temp_millicelsius=73500 gpu_busy_percent=99 gtt_used_bytes=1831608320 vram_used_bytes=2114215936 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz ;3: 1067Mhz *;
