field	value	per_superblock
run_mode	spirv-only	-
spirv_path	$SCRATCH/spv/mul_mat_vec_q8_0_f32_f32_subgroup.spv	-
spirv_sha256	036a450cfcb73c96e779b9d7dfba24ff9e5becc4f0d295ffa36512e5ac38818c	-
spirv_bytes	22972	-
nir_sha256	-	-
isa_sha256	-	-
device_name	-	-
driver_name	-	-
driver_info	-	-
device_api_version	-	-
spirv_capabilities	-	-
features_enabled	-	-
robust_buffer_access	-	-
spec_constants	-	-
bindings	-	-
push_constant_bytes	-	-
subgroup_size_requested	-	-
subgroup_size_min	-	-
subgroup_size_max	-	-
environment_names	-	-
per_superblock_divisor	32	-
vgprs	-	-
sgprs	-	-
spilled_vgprs	-	-
spilled_sgprs	-	-
lds	-	-
scratch	-	-
code_size	-	-
waves_per_simd	-	-
