key	value
schema	package-energy-window-v1
clock	CLOCK_MONOTONIC
window_begin_ns	503177844997402
window_end_ns	503181450517543
window_s	3.605520
sample_count	201
sample_period_ns	50000000
unreadable_count	0
inner_begin_ns	503177876636538
inner_end_ns	503181426654653
inner_interval_s	3.550018
inner_package_joules	61.330996
inner_core_joules	6.635704
inner_package_watts	17.276249
inner_core_watts	1.869203
outer_begin_ns	503177827081144
outer_end_ns	503181476631874
outer_interval_s	3.649551
outer_package_joules	62.733999
outer_core_joules	6.913599
outer_package_watts	17.189513
outer_core_watts	1.894370
window_coverage	bracketed
