# clock=CLOCK_MONOTONIC period_ns=10000000 drm_device=/sys/class/drm/card1/device hwmon=/sys/class/hwmon/hwmon6
# interpretation: pp_dpm_sclk_selected_mhz is the selected graphics clock step; pp_dpm_mclk_surface_mhz is the pp_dpm_mclk sysfs surface, which on SMU10 is a fabric-clock state rather than the trained DRAM speed; pp_dpm_fclk_surface_mhz is the pp_dpm_fclk sysfs surface
# sampler_pid=2204542 nice=19 cpu_affinity=0,1
monotonic_ns	pp_dpm_sclk_selected_mhz	pp_dpm_mclk_surface_mhz	pp_dpm_fclk_surface_mhz	gpu_busy_percent	temp1_millidegrees	sample_cost_ns
503256480979249	1100	933	unavailable	0	54000	269958
503256491023029	1100	933	unavailable	0	54000	291527
503256500937880	1100	933	unavailable	0	55000	600608
503256510941646	1100	933	unavailable	0	55000	286018
503256520946494	1100	933	unavailable	0	55000	294964
503256530959827	1100	933	unavailable	0	55000	642826
503256540937965	1100	933	unavailable	0	66000	330279
503256550926403	1100	933	unavailable	0	66000	263155
503256560926552	1100	933	unavailable	0	66000	720720
503256570928104	1100	933	unavailable	0	66000	259859
503256580925939	1100	933	unavailable	0	66000	259078
503256590929605	1100	933	unavailable	0	66000	776923
503256600928422	1100	933	unavailable	0	66000	251955
503256610935083	1100	933	unavailable	0	66000	424443
503256620934011	1100	933	unavailable	0	66000	941787
503256630932036	1100	933	unavailable	0	66000	385942
503256640939178	1100	933	unavailable	0	65000	476319
503256650934098	1100	933	unavailable	0	65000	992571
503256660942853	1100	933	unavailable	0	65000	466411
503256670933776	1100	933	unavailable	0	65000	534616
503256680932512	1100	933	unavailable	0	65000	966453
503256690939655	1100	933	unavailable	0	65000	417971
503256700931028	1100	933	unavailable	0	65000	598023
503256710934083	1100	933	unavailable	0	65000	884061
503256720934533	1100	933	unavailable	0	65000	397583
503256730931827	1100	933	unavailable	0	65000	654988
503256740940141	1100	933	unavailable	0	65000	933302
503256750933418	1100	933	unavailable	0	65000	406871
503256760931614	1100	933	unavailable	0	65000	717473
503256770936482	1100	933	unavailable	0	65000	993753
503256780927534	1100	933	unavailable	0	65000	391032
503256790939896	1100	933	unavailable	0	65000	760343
503256800933534	1100	933	unavailable	0	65000	397653
503256810935466	1100	933	unavailable	0	65000	413714
503256820934794	1100	933	unavailable	0	65000	820113
503256830933090	1100	933	unavailable	0	65000	393727
503256840937898	1100	933	unavailable	0	65000	410267
503256850934401	1100	933	unavailable	0	65000	885213
503256860932236	1100	933	unavailable	0	65000	413142
503256870932546	1100	933	unavailable	0	65000	409886
503256880963833	1100	933	unavailable	0	65000	930627
503256890969823	1100	933	unavailable	0	65000	469125
503256900965564	1100	933	unavailable	0	65000	458726
503256910941669	1100	933	unavailable	0	65000	1012107
503256920971553	1100	933	unavailable	0	65000	482551
503256930965962	1100	933	unavailable	0	65000	523426
503256940971281	1100	933	unavailable	0	65000	1051280
503256950967734	1100	933	unavailable	0	65000	467131
503256960942917	1100	933	unavailable	0	65000	608903
503256970967592	1100	933	unavailable	0	65000	987712
503256980967340	1100	933	unavailable	0	65000	463575
503256990944567	1100	933	unavailable	0	65000	653857
503257000969252	1100	933	unavailable	0	65000	1051510
503257010992224	1100	933	unavailable	0	65000	477240
503257020971104	1100	933	unavailable	0	65000	687568
503257030973577	1100	933	unavailable	0	65000	947048
503257040972074	1100	933	unavailable	0	65000	477000
503257050969458	1100	933	unavailable	0	65000	745014
503257060968585	1100	933	unavailable	0	65000	1011867
503257070980867	1100	933	unavailable	0	65000	467182
503257080971279	1100	933	unavailable	0	65000	793914
503257090972019	1100	933	unavailable	0	65000	1074733
503257100939739	1100	933	unavailable	0	65000	476198
503257110969533	1100	933	unavailable	0	65000	857983
503257120970995	1100	933	unavailable	0	65000	472131
503257130972907	1100	933	unavailable	0	65000	473053
503257140967657	1100	933	unavailable	0	65000	914196
503257150938993	1100	933	unavailable	0	65000	479625
503257160971151	1100	933	unavailable	0	65000	488442
503257170970139	1100	933	unavailable	0	65000	971732
503257180968114	1100	933	unavailable	0	65000	480777
503257190938238	1100	933	unavailable	0	65000	533715
503257200946122	1100	933	unavailable	0	65000	1075454
503257210941863	1100	933	unavailable	0	65000	349835
503257220935701	1100	933	unavailable	0	65000	711192
503257230936101	1100	933	unavailable	0	65000	969438
503257240945156	1100	933	unavailable	0	65000	425145
503257250938984	1100	933	unavailable	0	65000	505483
503257260941969	1100	933	unavailable	0	65000	1008410
503257270935005	1100	933	unavailable	0	65000	302017
503257280940865	1100	933	unavailable	0	64000	714638
503257290942557	1100	933	unavailable	0	64000	958278
503257300941755	1100	933	unavailable	0	64000	338314
503257310935983	1100	933	unavailable	0	64000	742180
503257320943616	1100	933	unavailable	0	64000	1018309
503257330944597	1100	933	unavailable	0	64000	460931
503257340943154	1100	933	unavailable	0	64000	777584
503257350937312	1100	933	unavailable	0	64000	392544
503257360932673	1100	933	unavailable	0	64000	411399
503257370938473	1100	933	unavailable	0	64000	806057
503257380936889	1100	933	unavailable	0	64000	432167
503257390938471	1100	933	unavailable	0	64000	413633
503257400945613	1100	933	unavailable	0	64000	1044988
503257410937277	1100	933	unavailable	0	64000	322515
503257420943648	1100	933	unavailable	0	64000	336471
503257430936924	1100	933	unavailable	0	64000	915850
503257440939819	1100	933	unavailable	0	64000	324559
503257450936532	1100	933	unavailable	0	64000	377897
503257460940649	1100	933	unavailable	0	64000	930065
503257470938915	1100	933	unavailable	0	64000	311124
503257480938383	1100	933	unavailable	0	64000	447135
503257490937921	1100	933	unavailable	0	64000	884321
503257501967049	1100	933	unavailable	0	64000	438879
503257511456766	1100	933	unavailable	0	64000	305734
503257520940573	1100	933	unavailable	0	64000	857162
503257530946473	1100	933	unavailable	0	64000	324278
503257540942295	1100	933	unavailable	0	64000	538734
503257550945680	1100	933	unavailable	0	64000	311294
503257560953213	1100	933	unavailable	0	64000	315653
503257570938385	1100	933	unavailable	0	64000	605407
503257580939657	1100	933	unavailable	0	64000	328797
503257590942673	1100	933	unavailable	0	64000	368029
503257600938314	1100	933	unavailable	0	64000	669295
503257611035904	1100	933	unavailable	0	64000	311013
503257620940367	1100	933	unavailable	0	64000	312436
503257631986006	1100	933	unavailable	0	64000	312346
503257640938913	1100	933	unavailable	0	64000	304231
503257650943642	1100	933	unavailable	0	64000	384068
503257660939744	1100	933	unavailable	0	64000	815304
503257670938261	1100	933	unavailable	0	64000	334968
503257680952947	1100	933	unavailable	0	64000	436476
503257690938149	1100	933	unavailable	0	64000	831805
503257700938179	1100	933	unavailable	0	64000	323847
503257710941064	1100	933	unavailable	0	64000	364372
503257720938058	1100	933	unavailable	0	64000	877890
503257730937977	1100	933	unavailable	0	64000	322565
503257740936955	1100	933	unavailable	0	64000	416148
503257750938457	1100	933	unavailable	0	64000	859436
503257760939038	1100	933	unavailable	0	64000	317576
503257770949897	1100	933	unavailable	0	64000	468825
503257780939408	1100	933	unavailable	0	64000	848375
503257790938596	1100	933	unavailable	0	64000	361987
503257801039902	1100	933	unavailable	0	64000	427018
503257810942091	1100	933	unavailable	0	64000	895512
503257821474002	1100	933	unavailable	0	64000	906282
503257830970973	1100	933	unavailable	0	64000	562578
503257840940266	1100	933	unavailable	0	64000	321103
503257850942620	1100	933	unavailable	0	64000	347351
503257860941117	1100	933	unavailable	0	64000	641564
503257870942880	1100	933	unavailable	0	64000	322835
503257881070404	1100	933	unavailable	0	64000	541930
503257891065104	1100	933	unavailable	0	64000	574540
503257900945263	1100	933	unavailable	0	64000	356868
503257910944801	1100	933	unavailable	0	64000	314821
503257920943909	1100	933	unavailable	0	63000	760193
503257931550939	1100	933	unavailable	0	63000	671629
503257941370305	1100	933	unavailable	0	63000	319179
503257950940311	1100	933	unavailable	0	63000	822107
503257961725820	1100	933	unavailable	0	63000	549975
503257971980670	1100	933	unavailable	0	63000	809283
503257980938036	1100	933	unavailable	0	63000	873822
503257991062435	1100	933	unavailable	0	63000	304091
503258000937674	1100	933	unavailable	0	63000	414475
503258010939367	1100	933	unavailable	0	63000	856330
503258020938765	1100	933	unavailable	0	63000	326603
503258030940478	1100	933	unavailable	0	63000	466240
503258040938824	1100	933	unavailable	0	63000	831995
503258050938032	1100	933	unavailable	0	63000	314641
503258060938162	1100	933	unavailable	0	63000	523416
503258070938232	1100	933	unavailable	0	63000	879582
503258080943080	1100	933	unavailable	0	63000	322585
503258090937940	1100	933	unavailable	0	63000	592173
503258100940094	1100	933	unavailable	0	63000	320922
503258110938190	1100	933	unavailable	0	63000	309441
503258120938800	1100	933	unavailable	0	63000	636765
503258130940994	1100	933	unavailable	0	63000	316324
503258141055354	1100	933	unavailable	0	63000	301827
503258150938088	1100	933	unavailable	0	63000	689181
503258160938057	1100	933	unavailable	0	63000	315602
503258170938297	1100	933	unavailable	0	63000	329438
