key	value
schema	package-energy-sample-v1
clock	CLOCK_MONOTONIC
period_ns	50000000
package_wrap_uj	65532610988
core_wrap_uj	65532610988
sampler_pid	2204547
monotonic_ns	package_uj	core_uj	sample_cost_ns
503256537183088	61821426094	7860817097	86289
503256587269663	61821949245	7861031243	102399
503256637307709	61822470290	7861245664	165725
503256687323463	61823007631	7861464189	181135
503256737305105	61823517477	7861676840	160616
503256787315420	61824038767	7861887828	169372
503256837304585	61824557310	7862099136	160185
503256887358240	61825085450	7862317050	185813
503256937371850	61825591573	7862527931	202964
503256987365484	61826097239	7862737774	191714
503257037370539	61826605635	7862953935	194329
503257087344116	61827122942	7863162710	196172
503257137364670	61827627662	7863372172	192626
503257187366519	61828138301	7863583815	194849
503257237299981	61828586627	7863658961	127755
503257287298003	61829141057	7863681924	142753
503257337328535	61829496599	7863736456	179892
503257387309235	61829940500	7863888746	143735
503257437293211	61830339710	7863967905	121454
503257487279492	61830963625	7864160446	103561
503257537284667	61831574525	7864353185	103771
503257587281318	61832186661	7864554804	104202
503257637293247	61832821760	7864766844	123468
503257687282124	61833364761	7864905952	102138
503257737397154	61833984877	7865102230	234943
503257787285015	61834598142	7865328964	116636
503257837287617	61835243845	7865515356	124159
503257887863327	61835843637	7865746957	127505
503257937282704	61836451989	7865929473	106066
503257987386503	61837077552	7866108511	225086
503258037292417	61837696584	7866311534	122235
503258087283257	61838309330	7866463198	104613
503258137280330	61838930163	7866657387	103791
503258187281469	61839563171	7866829497	105474
503258237290193	61840179518	7867022511	122366
503258287284831	61840796567	7867181255	103370
503258337282735	61841420421	7867393021	105455
503258387281831	61842072151	7867558753	103821
503258437288991	61842678962	7867751752	119921
503258488534247	61843321888	7867982239	524728
503258537534109	61843961580	7868201573	129730
503258587623493	61844582229	7868370265	126864
503258637283936	61845201201	7868531100	106948
503258687290748	61845801313	7868698205	107859
503258737284787	61846424206	7868906416	101998
503258787281841	61847040461	7869105686	106326
503258837279928	61847663857	7869271220	103431
503258887287401	61848283439	7869434785	117326
503258938223357	61848899969	7869641363	106035
503258987280578	61849503377	7869830517	103351
