monotonic_ns	tctl_millidegrees	edge_millidegrees	freq1_hz
502980554215844	63250	63000	1100000000
502981554566615	63000	63000	1100000000
502982554888276	61625	61000	1100000000
502983555533364	60875	60000	1100000000
502984556263709	61000	61000	1100000000
502985558504992	60500	60000	1100000000
502986559162811	59250	59000	1100000000
502987560230543	58500	58000	1100000000
502988560630531	58750	58000	1100000000
502989561739305	59250	59000	1100000000
502990562149972	59750	59000	1100000000
502991562616816	60375	60000	1100000000
502992563328528	60875	60000	1100000000
502993564073335	61500	61000	1100000000
