key	value
schema	package-energy-window-v1
clock	CLOCK_MONOTONIC
window_begin_ns	502986737428587
window_end_ns	502993788983143
window_s	7.051555
sample_count	281
sample_period_ns	50000000
unreadable_count	0
inner_begin_ns	502986741209855
inner_end_ns	502993741255593
inner_interval_s	7.000046
inner_package_joules	121.117882
inner_core_joules	10.974195
inner_package_watts	17.302442
inner_core_watts	1.567732
outer_begin_ns	502986691187538
outer_end_ns	502993791211482
outer_interval_s	7.100024
outer_package_joules	122.551478
outer_core_joules	11.272794
outer_package_watts	17.260713
outer_core_watts	1.587712
window_coverage	bracketed
