key	value
schema	package-energy-window-v1
clock	CLOCK_MONOTONIC
window_begin_ns	503034710310213
window_end_ns	503041747094461
window_s	7.036784
sample_count	282
sample_period_ns	50000000
unreadable_count	0
inner_begin_ns	503034729381696
inner_end_ns	503041729487388
inner_interval_s	7.000106
inner_package_joules	122.608070
inner_core_joules	11.112539
inner_package_watts	17.515174
inner_core_watts	1.587482
outer_begin_ns	503034679401696
outer_end_ns	503041779383932
outer_interval_s	7.099982
outer_package_joules	123.841878
outer_core_joules	11.370903
outer_package_watts	17.442562
outer_core_watts	1.601540
window_coverage	bracketed
