key	value
schema	package-energy-sample-v1
clock	CLOCK_MONOTONIC
period_ns	50000000
package_wrap_uj	65532610988
core_wrap_uj	65532610988
sampler_pid	2209718
monotonic_ns	package_uj	core_uj	sample_cost_ns
503304538847482	62059679626	7891047285	47087
503304588951489	62060108269	7891066296	85599
503304638988383	62060602445	7891087947	145418
503304688995872	62061090671	7891102915	154415
503304738986329	62061576119	7891116403	146170
503304788988569	62062058699	7891131097	148534
503304838987462	62062625259	7891248141	150017
503304888989431	62063100851	7891262071	148634
503304938950905	62063561521	7891279282	84886
503304988948175	62064043368	7891292832	81952
503305038986401	62064543617	7891310149	143385
503305088950540	62065023939	7891324538	84757
503305138989437	62065491337	7891328902	150358
503305188987779	62065959102	7891334379	154406
503305238992042	62066453064	7891338285	150167
503305289020911	62066938681	7891364849	190191
503305339007972	62067431712	7891551562	175985
503305388999171	62067969588	7891760764	179681
503305438994979	62068445912	7891940915	169343
503305488996627	62068925578	7892121799	171667
503305538999017	62069439848	7892318261	186614
503305588999564	62069956789	7892507658	175724
503305638996615	62070454200	7892694279	181325
503305689013823	62070964123	7892892892	177147
503305739020982	62071448457	7893084167	183790
503305789028202	62071952643	7893270589	186685
503305839018500	62072459590	7893471781	180363
503305889020099	62072951263	7893660461	181465
503305939019925	62073443441	7893836020	180272
503305988964138	62074012122	7894008618	88414
503306038959456	62074632863	7894181766	94094
503306088985620	62075117243	7894196902	144307
503306138984344	62075645521	7894211000	144227
503306188983839	62076128620	7894224260	141852
503306238984066	62076630089	7894237122	143084
503306288983481	62077114317	7894250717	144797
503306338985311	62077605793	7894264754	142713
503306388989825	62078080744	7894279890	149276
503306438960026	62078539247	7894336696	88984
503306489017158	62079019416	7894505358	179712
503306539008659	62079504971	7894668100	188178
503306588996643	62079980944	7894829636	172238
503306639009464	62080465401	7894992164	175484
503306688998401	62080940780	7895158370	172178
503306739015540	62081427891	7895322179	186204
503306788997503	62081907984	7895485776	183438
503306838994966	62082389557	7895647999	177438
503306889031741	62082854148	7895791516	192586
503306938999308	62083332547	7895953083	171566
503306989021326	62083795155	7896115702	198917
503307038993672	62084245555	7896160393	145579
503307088985003	62084735292	7896174003	141822
503307138947762	62085213828	7896189154	81481
503307188988785	62085713451	7896202978	148274
503307238946243	62086200319	7896216954	78044
503307288987086	62086665856	7896230717	144917
503307338986682	62087132415	7896244404	143285
503307388994724	62087592657	7896355039	155597
503307438987809	62088087352	7896368878	146711
503307488987055	62088559389	7896381634	146370
503307538982493	62089031120	7896396007	144146
503307588982852	62089504805	7896411021	146620
503307638992748	62089983891	7896421946	153784
503307688956780	62090447475	7896517186	87000
503307739030033	62090945542	7896701335	181896
503307789016306	62091502626	7896950529	178890
503307839023086	62091875898	7897039940	168611
503307888986317	62092410905	7897063239	145859
503307939020167	62092875785	7897109563	182547
503307989245742	62093326995	7897215667	388056
503308038985429	62093943800	7897364600	131393
503308089140393	62094556714	7897520003	377337
503308138942867	62095166652	7897696462	76671
503308188961439	62095790491	7897887126	103831
503308238963972	62096403847	7898052217	97941
503308288980761	62097008354	7898211816	153895
503308338952988	62097611243	7898403960	85969
503308388995955	62098240437	7898588322	118589
503308438968112	62098848438	7898811684	99494
503308488981365	62099490968	7899010801	155557
503308538948853	62100122908	7899232866	80980
503308588963629	62100735074	7899419746	99203
503308638949251	62101330670	7899582396	83875
503308688952687	62101951915	7899752080	83534
503308739880989	62102593194	7899909726	104172
503308788965678	62103202781	7900075962	95697
503308838973302	62103813681	7900284646	170825
503308888960317	62104415869	7900482969	97760
503308938965736	62105036579	7900688998	105806
503308988950306	62105664751	7900870354	85978
503309038953932	62106280839	7901062666	87181
503309088953370	62106919935	7901249089	86971
503309139173034	62107543835	7901424662	232089
503309188988943	62108165858	7901637893	151299
503309238974316	62108792077	7901832890	104453
503309288956602	62109425848	7901986035	92671
503309339100977	62110043111	7902173647	99965
503309389115022	62110664859	7902366905	96348
503309438960927	62111289628	7902548857	102369
503309488983638	62111932615	7902698797	163612
503309538980471	62112567196	7902882305	191985
503309588966896	62113191034	7903056597	99554
503309638961005	62113816536	7903247841	101067
503309688984227	62114421256	7903432829	138746
503309738986702	62115046941	7903639559	159665
503309788986181	62115670017	7903812173	156088
503309839474613	62116360045	7904023054	128277
503309889847471	62116967832	7904222125	133306
503309939390818	62117580685	7904404092	554453
503309989565951	62118240624	7904560807	377557
503310039447422	62118880041	7904743323	127806
503310089955280	62119537630	7904934826	129950
503310139117944	62120132722	7905104480	252907
503310189105250	62120768783	7905296639	92170
503310238968928	62121355483	7905454514	108360
503310288956515	62122009990	7905758987	100255
503310342666656	62122566511	7906073729	3744194
503310388961765	62123196575	7906307009	103762
503310438993724	62123685532	7906431438	161338
503310488964279	62124286896	7906528555	89435
503310538951566	62124847170	7906563435	92712
503310588968147	62125156694	7906609453	113910
503310638999486	62125636176	7906794105	185293
503310692018892	62126284412	7907051294	157651
503310738995971	62126881519	7907299542	172719
503310789008725	62127496020	7907544814	174723
503310839008005	62128118744	7907785936	173531
503310889009338	62128672274	7907982215	176355
503310939016241	62129203527	7908144881	178770
503310989011874	62129708552	7908307439	169493
503311039017355	62130240934	7908484920	179431
503311089010323	62130722324	7908625645	170245
503311138964219	62131249747	7908801753	106807
503311189030041	62131742962	7908949954	204358
503311238962507	62132253769	7909111689	107749
503311289069255	62132822084	7909346753	244862
503311348916067	62133544565	7909621077	145569
503311392882698	62134077863	7909814670	210328
503311439077913	62134594316	7909973415	226699
503311489098472	62135201249	7910152116	237609
503311539231198	62135902460	7910251736	95376
503311590027390	62136564719	7910347358	1446000
503311640505604	62137324674	7910421084	2108594
503311690178051	62138119799	7910513105	158973
503311738957639	62138890847	7910601480	94174
503311789094063	62139649261	7910692097	82172
503311839568851	62140416296	7910785522	122907
503311889225669	62141134276	7910864421	102279
503311938973826	62141875357	7910969075	114311
503311989066579	62142612593	7911052476	106987
503312039031125	62143257869	7911154903	104172
503312089683071	62143926765	7911226875	102750
503312138969134	62144671431	7911322847	100625
503312188984694	62145396324	7911405408	126483
503312239168335	62146156874	7911506783	92651
503312288959121	62146814250	7911586628	94304
503312338949645	62147492514	7911675597	81901
503312389427729	62148182480	7911761088	571776
503312439938794	62148876460	7911835028	111195
503312488995735	62149570577	7911942856	114481
503312538958898	62150211733	7912007230	91850
503312588952158	62150937526	7912098961	84977
503312638964333	62151597419	7912166386	89555
503312690156507	62152256473	7912269393	178460
503312738965100	62152809835	7912348078	101428
503312789309228	62153477357	7912431539	113950
503312838959645	62154097259	7912490298	93814
503312888953586	62154792353	7912580747	88283
503312938953108	62155447882	7912649469	87111
503312988983517	62156148148	7912724722	95156
503313038951590	62156828762	7912812288	88083
503313088956281	62157483849	7912884961	91279
503313139435208	62158190920	7912970162	576495
503313190130715	62158927667	7913047688	190823
503313238957501	62159652758	7913137710	92712
503313289224948	62160381999	7913208431	757288
503313339373274	62161110950	7913308524	105314
503313388953411	62161810255	7913379275	88984
503313439524048	62162536169	7913479108	110053
503313489126276	62163217668	7913549875	111385
503313539894487	62164001242	7913638249	109652
503313588951178	62164577629	7913855172	81370
503313638961461	62165153465	7914095363	89836
503313688958929	62165934599	7914161278	97189
503313738946510	62166634621	7914173850	82552
503313788962943	62167307544	7914193488	98432
503313839030582	62168012052	7914237461	185783
503313888961047	62168677346	7914251651	96338
503313939083115	62169344640	7914257998	242127
503313988966624	62170084134	7914305664	118870
503314039015678	62171159777	7914513234	185192
503314088956993	62171933678	7914636702	97810
503314138996629	62172635149	7914647718	151670
503314189022540	62173289916	7914659787	173711
503314239134270	62174020011	7914707636	302849
503314289027987	62174653691	7914713679	191123
503314339043389	62175310869	7914732247	211240
503314389028605	62176032358	7914767829	199629
503314439018609	62177113678	7914970272	180606
503314489026296	62177799159	7915113102	194972
503314538990725	62178162558	7915150591	108019
503314588998399	62178565720	7915178498	167058
503314638981781	62178884231	7915208999	11167006
503314690117144	62179676854	7915497879	104545
503314738986263	62180517448	7915602106	159150
503314789025901	62181255492	7915627694	175027
503314839082717	62181923564	7915639473	244336
503314888986529	62182761533	7915764741	135457
503314939028409	62183426996	7915774003	203325
503314988977597	62184132754	7915798370	122303
503315039022500	62184803679	7915804366	200312
503315088999176	62185487436	7915829023	149530
503315139017232	62186194873	7915834699	194195
503315190331916	62186871947	7915840360	1410121
503315239043336	62187569421	7915862530	208370
503315289031022	62188263522	7915865246	223064
503315338963171	62188987987	7915887324	115927
503315389041570	62189644829	7915889323	233766
503315438976833	62190360170	7915911416	125026
503315489023048	62191068812	7915919915	201973
503315539015409	62191760396	7915942466	160872
503315589046755	62192445069	7915951377	224529
503315639043113	62193155283	7915961310	178132
503315689042264	62193864337	7915981695	194268
503315739008122	62194559263	7915983465	137730
503315789026232	62195453443	7916031527	179884
503315838980047	62196134972	7916036974	124887
503315888961830	62196838823	7916056184	99862
503315938991643	62197514585	7916083481	186790
503315993062005	62198688032	7916310062	4222436
503316038968444	62199793306	7916502572	116609
503316089018096	62200823893	7916717100	190113
503316139031942	62201922652	7916939866	203998
503316188972334	62202934272	7917153158	159643
503316238954728	62204009504	7917368601	100532
503316289479014	62204957300	7917525942	662746
503316338964942	62205691591	7917554474	97980
503316389010871	62206345702	7917564651	167190
503316438982374	62207027246	7917590376	162305
503316489011676	62207732883	7917607892	190604
503316551108075	62208631152	7917753835	10414884
503316588964429	62209601850	7917830110	108602
503316638997400	62210334662	7917839402	194871
503316688960789	62211029953	7917862640	118832
503316738983518	62211677503	7917867095	169715
503316804562939	62212816970	7918009040	6787869
503316838961679	62213727308	7918155868	106519
503316888960975	62214661022	7918282845	104198
503316938992363	62215342642	7918292946	186432
503316989370740	62216023073	7918304740	106930
503317039029875	62216726253	7918323950	205022
503317089020392	62217431371	7918344381	188454
503317139026354	62218524469	7918534083	1148104
503317188970623	62219375988	7918618567	101905
503317238988048	62220100300	7918645024	142457
503317288980736	62220769638	7918652134	149474
503317338958830	62221456431	7918676578	96549
503317388979988	62222265090	7918750854	152146
503317438964719	62223393633	7918963794	154489
503317489030874	62224250553	7919032486	202939
503317539033503	62224935988	7919041366	174550
503317589054372	62225639382	7919062590	195063
503317638963570	62226308979	7919067091	132568
503317689033855	62227068782	7919107769	195964
503317738966947	62228014808	7919248905	143970
503317788958069	62228823925	7919313782	100755
503317838994159	62229548985	7919324661	164321
503317888951396	62230374794	7919357939	86070
503317938961579	62231022175	7919367857	130216
503317989146984	62231793376	7919403896	170108
503318040086595	62232858842	7919582918	86410
503318088981034	62233617881	7919604417	133339
503318139032990	62234337220	7919634872	187025
503318188987184	62234985883	7919639358	176654
503318239028069	62235670830	7919661924	204483
503318288983744	62236415405	7919699840	172149
503318338952353	62237517353	7919897950	101435
503318388987031	62238266491	7919909134	143589
503318439768968	62238935523	7919931884	938628
503318489045766	62239642625	7919951796	214964
503318538992002	62240293928	7919959715	184642
503318588956559	62241283653	7920115956	97393
503318639019624	62242353788	7920319758	187788
503318688969970	62243117878	7920350441	125312
503318739040663	62243780213	7920361732	216238
503318788967624	62244476771	7920389166	115072
503318839041230	62245166067	7920399771	216628
503318907129145	62246356465	7920535780	6162713
503318938979672	62247113643	7920636682	126013
503318988974085	62247870639	7920649452	135002
503319039037460	62248558988	7920674048	220552
503319089111887	62249206263	7920677848	267642
503319138970216	62249929889	7920702901	123791
503319188972426	62250955150	7920890727	151690
503319238967199	62251991840	7921070527	116162
503319289019553	62252711392	7921081818	198859
503319340075814	62253420675	7921104354	1066354
503319389031312	62254118393	7921111358	196217
503319439055055	62254795131	7921121337	204155
503319489018876	62255683909	7921191859	192453
503319538970363	62256632194	7921324619	103609
503319589018138	62257361801	7921353518	174746
503319638953556	62258014279	7921364931	88934
503319689012445	62258709250	7921386658	173795
503319739166095	62259412354	7921415816	359333
503319788996020	62260521245	7921629016	171002
503319839042926	62261479325	7921754086	218062
503319890055950	62262344652	7921770320	186338
503319940229021	62263078684	7921797693	127135
503319989024865	62263884123	7921813256	165196
503320039144779	62264736054	7921879980	333555
503320089139520	62265829579	7922094156	300981
503320138989756	62266793183	7922225161	153684
503320189016942	62267498515	7922236254	188240
503320238962920	62268177557	7922262940	93880
503320289052222	62268851121	7922284057	197130
503320339001043	62269680637	7922350475	161192
503320389013213	62270789726	7922564804	184296
503320438971154	62271628504	7922643459	103360
503320489037040	62272368090	7922668422	188961
503320538982659	62273019576	7922673090	149679
503320589074263	62273714059	7922702279	242862
503320639031502	62274436724	7922729789	199464
503320688968790	62275542227	7922914442	119048
503320739085952	62276376168	7922973917	250820
503320788981315	62277086092	7922997659	129369
503320838999090	62277762953	7923004113	186831
503320889106921	62278438714	7923014137	258908
503320939017430	62279334099	7923129259	185119
