monitor_start_utc=2026-09-04T01:46:10Z server_pid=2213165 sample_seconds=1 profile=low-async latency_watchdog_pid=2213667 kernel_hazard_watchdog_pid=2213676 guard_affinity=1 guard_nice=0
threshold_mem_available_kib=4194304 threshold_swapin_bytes_per_sample=67108864 report_temperature_millicelsius=90000
threshold_maximum_gpu_busy_percent=100 enforcement=terminate_on_sample_above_threshold
sample_utc=2026-09-04T01:46:10Z affinity=0 nice=19 rss_kib=176660 peak_rss_kib=176712 mem_available_kib=26115404 swapin_bytes=0 max_temp_millicelsius=57125 gpu_busy_percent=14 gtt_used_bytes=1200652288 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T01:46:11Z affinity=0 nice=19 rss_kib=177028 peak_rss_kib=177028 mem_available_kib=26123712 swapin_bytes=0 max_temp_millicelsius=57500 gpu_busy_percent=99 gtt_used_bytes=1201635328 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T01:46:12Z affinity=0 nice=19 rss_kib=180080 peak_rss_kib=180080 mem_available_kib=26128748 swapin_bytes=0 max_temp_millicelsius=58375 gpu_busy_percent=99 gtt_used_bytes=1201635328 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T01:46:13Z affinity=0 nice=19 rss_kib=180080 peak_rss_kib=180080 mem_available_kib=26128332 swapin_bytes=0 max_temp_millicelsius=59125 gpu_busy_percent=99 gtt_used_bytes=1201635328 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T01:46:14Z affinity=0 nice=19 rss_kib=180080 peak_rss_kib=180080 mem_available_kib=26128160 swapin_bytes=0 max_temp_millicelsius=59500 gpu_busy_percent=99 gtt_used_bytes=1201635328 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T01:46:15Z affinity=0 nice=19 rss_kib=180080 peak_rss_kib=180080 mem_available_kib=26127768 swapin_bytes=0 max_temp_millicelsius=60000 gpu_busy_percent=99 gtt_used_bytes=1201635328 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T01:46:16Z affinity=0 nice=19 rss_kib=180080 peak_rss_kib=180080 mem_available_kib=26126948 swapin_bytes=0 max_temp_millicelsius=60750 gpu_busy_percent=97 gtt_used_bytes=1201635328 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T01:46:17Z affinity=0 nice=19 rss_kib=180080 peak_rss_kib=180080 mem_available_kib=26126576 swapin_bytes=0 max_temp_millicelsius=61125 gpu_busy_percent=99 gtt_used_bytes=1201635328 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T01:46:18Z affinity=0 nice=19 rss_kib=180080 peak_rss_kib=180080 mem_available_kib=26126260 swapin_bytes=0 max_temp_millicelsius=61625 gpu_busy_percent=98 gtt_used_bytes=1201635328 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T01:46:19Z affinity=0 nice=19 rss_kib=180080 peak_rss_kib=180080 mem_available_kib=26126036 swapin_bytes=0 max_temp_millicelsius=62000 gpu_busy_percent=99 gtt_used_bytes=1201635328 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T01:46:20Z affinity=0 nice=19 rss_kib=180080 peak_rss_kib=180080 mem_available_kib=26126312 swapin_bytes=0 max_temp_millicelsius=62500 gpu_busy_percent=98 gtt_used_bytes=1201635328 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T01:46:21Z affinity=0 nice=19 rss_kib=180080 peak_rss_kib=180080 mem_available_kib=26126512 swapin_bytes=0 max_temp_millicelsius=62750 gpu_busy_percent=99 gtt_used_bytes=1201635328 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T01:46:22Z affinity=0 nice=19 rss_kib=180080 peak_rss_kib=180080 mem_available_kib=26126300 swapin_bytes=0 max_temp_millicelsius=63000 gpu_busy_percent=99 gtt_used_bytes=1201635328 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T01:46:23Z affinity=0 nice=19 rss_kib=180080 peak_rss_kib=180080 mem_available_kib=26126868 swapin_bytes=0 max_temp_millicelsius=63250 gpu_busy_percent=99 gtt_used_bytes=1201635328 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T01:46:24Z affinity=0 nice=19 rss_kib=180080 peak_rss_kib=180080 mem_available_kib=26126464 swapin_bytes=0 max_temp_millicelsius=63750 gpu_busy_percent=99 gtt_used_bytes=1201635328 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T01:46:25Z affinity=0 nice=19 rss_kib=180080 peak_rss_kib=180080 mem_available_kib=26126464 swapin_bytes=0 max_temp_millicelsius=64125 gpu_busy_percent=97 gtt_used_bytes=1201635328 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T01:46:26Z affinity=0 nice=19 rss_kib=180080 peak_rss_kib=180080 mem_available_kib=26126344 swapin_bytes=0 max_temp_millicelsius=64375 gpu_busy_percent=99 gtt_used_bytes=1201635328 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T01:46:28Z affinity=0 nice=19 rss_kib=180080 peak_rss_kib=180080 mem_available_kib=26126156 swapin_bytes=0 max_temp_millicelsius=64625 gpu_busy_percent=98 gtt_used_bytes=1201635328 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
