# clock=CLOCK_MONOTONIC period_ns=10000000 drm_device=/sys/class/drm/card1/device hwmon=/sys/class/hwmon/hwmon6
# interpretation: pp_dpm_sclk_selected_mhz is the selected graphics clock step; pp_dpm_mclk_surface_mhz is the pp_dpm_mclk sysfs surface, which on SMU10 is a fabric-clock state rather than the trained DRAM speed; pp_dpm_fclk_surface_mhz is the pp_dpm_fclk sysfs surface
# sampler_pid=2217533 nice=19 cpu_affinity=0,1
monotonic_ns	pp_dpm_sclk_selected_mhz	pp_dpm_mclk_surface_mhz	pp_dpm_fclk_surface_mhz	gpu_busy_percent	temp1_millidegrees	sample_cost_ns
503370576617476	1100	933	unavailable	0	64000	367802
503370586581178	1100	933	unavailable	0	64000	877649
503370596583927	1100	933	unavailable	0	64000	284351
503370606589610	1100	933	unavailable	0	64000	1895610
503370616588283	1100	933	unavailable	0	64000	821838
503370626587056	1100	933	unavailable	0	64000	286464
503370636576585	1100	933	unavailable	0	64000	563595
503370646564262	1100	933	unavailable	0	64000	243703
503370656562455	1100	933	unavailable	0	64000	233808
503370666564042	1100	933	unavailable	0	64000	584134
503370676563265	1100	933	unavailable	0	64000	254067
503370686571923	1100	933	unavailable	0	64000	258393
503370696563836	1100	933	unavailable	0	64000	620136
503370706569989	1100	933	unavailable	0	64000	359299
503370716571766	1100	933	unavailable	0	64000	370506
503370726572342	1100	933	unavailable	0	64000	764275
503370736580158	1100	933	unavailable	0	64000	397635
503370746569838	1100	933	unavailable	0	64000	388882
503370756571335	1100	933	unavailable	0	64000	813015
503370766571209	1100	933	unavailable	0	64000	375603
503370776570904	1100	933	unavailable	0	64000	371156
503370786577588	1100	933	unavailable	0	64000	859272
503370796567899	1100	933	unavailable	0	64000	390234
503370806575695	1100	933	unavailable	0	64000	413908
503370816571073	1100	933	unavailable	0	64000	901092
503370826570917	1100	933	unavailable	0	64000	374411
503370836580496	1100	933	unavailable	0	64000	440617
503370846569415	1100	933	unavailable	0	64000	945596
