# clock=CLOCK_MONOTONIC period_ns=10000000 drm_device=/sys/class/drm/card1/device hwmon=/sys/class/hwmon/hwmon6
# interpretation: pp_dpm_sclk_selected_mhz is the selected graphics clock step; pp_dpm_mclk_surface_mhz is the pp_dpm_mclk sysfs surface, which on SMU10 is a fabric-clock state rather than the trained DRAM speed; pp_dpm_fclk_surface_mhz is the pp_dpm_fclk sysfs surface
# sampler_pid=2233254 nice=19 cpu_affinity=0,1
monotonic_ns	pp_dpm_sclk_selected_mhz	pp_dpm_mclk_surface_mhz	pp_dpm_fclk_surface_mhz	gpu_busy_percent	temp1_millidegrees	sample_cost_ns
503502518870923	1100	933	unavailable	0	63000	246653
503502529021833	1100	933	unavailable	0	63000	285690
503502538824966	1100	933	unavailable	0	63000	841643
503502548830196	1100	933	unavailable	0	63000	287012
503502558827707	1100	933	unavailable	0	63000	440346
503502568821253	1100	933	unavailable	0	63000	827430
503502578823003	1100	933	unavailable	0	63000	284428
503502588807443	1100	933	unavailable	0	63000	513021
503502598808883	1100	933	unavailable	0	63000	248687
503502608806436	1100	933	unavailable	0	63000	249778
503502618806463	1100	933	unavailable	0	63000	563136
503502628816597	1100	933	unavailable	0	63000	274521
503502638806647	1100	933	unavailable	0	63000	253245
503502648813416	1100	933	unavailable	0	63000	742894
503502658818882	1100	933	unavailable	0	63000	1092705
503502668817797	1100	933	unavailable	0	63000	314530
503502678813427	1100	933	unavailable	0	63000	669038
503502688810309	1100	933	unavailable	0	63000	245992
503502698814082	1100	933	unavailable	0	63000	399766
503502708814520	1100	933	unavailable	0	63000	835664
503502718818093	1100	933	unavailable	0	63000	429597
503502728822948	1100	933	unavailable	0	63000	423136
503502738811105	1100	933	unavailable	0	63000	894705
503502748816171	1100	933	unavailable	0	63000	416374
503502758819654	1100	933	unavailable	0	63000	444933
503502768812809	1100	933	unavailable	0	63000	939552
503502778823164	1100	933	unavailable	0	63000	422284
503502788812653	1100	933	unavailable	0	63000	489750
503502798814733	1100	933	unavailable	0	63000	993445
503502808815261	1100	933	unavailable	0	63000	398374
503502818814447	1100	933	unavailable	0	63000	533876
503502828821656	1100	933	unavailable	0	63000	943208
503502838814521	1100	933	unavailable	0	63000	399285
503502848815690	1100	933	unavailable	0	63000	577661
503502858815837	1100	933	unavailable	0	63000	860557
503502868815143	1100	933	unavailable	0	63000	394006
503502878822603	1100	933	unavailable	0	63000	622017
503502888814346	1100	933	unavailable	0	63000	913948
503502898811678	1100	933	unavailable	0	63000	403843
503502908814430	1100	933	unavailable	0	63000	683633
503502918849217	1100	933	unavailable	0	63000	972218
503502928824341	1100	933	unavailable	0	63000	474795
503502938854470	1100	933	unavailable	0	63000	768638
503502948820378	1100	933	unavailable	0	63000	1021393
503502958851839	1100	933	unavailable	0	63000	498115
503502968822806	1100	933	unavailable	0	63000	700102
503502978822232	1100	933	unavailable	0	63000	432262
503502988852862	1100	933	unavailable	0	63000	486364
503502998849914	1100	933	unavailable	0	63000	840091
503503008825158	1100	933	unavailable	0	63000	513391
503503018854225	1100	933	unavailable	0	63000	492676
503503028829079	1100	933	unavailable	0	64000	909891
503503038848940	1100	933	unavailable	0	64000	484351
503503048850781	1100	933	unavailable	0	64000	492725
503503058850637	1100	933	unavailable	0	64000	954267
503503068854781	1100	933	unavailable	0	64000	465800
503503078829725	1100	933	unavailable	0	64000	503584
503503088849757	1100	933	unavailable	0	64000	997641
503503098853059	1100	933	unavailable	0	64000	486135
503503108851444	1100	933	unavailable	0	64000	557426
503503118847714	1100	933	unavailable	0	64000	1054199
503503128821346	1100	933	unavailable	0	64000	457866
503503138851104	1100	933	unavailable	0	64000	581608
503503148846453	1100	933	unavailable	0	64000	990780
503503158849656	1100	933	unavailable	0	64000	486484
503503168827495	1100	933	unavailable	0	64000	701884
503503178834404	1100	933	unavailable	0	64000	1054138
503503188851971	1100	933	unavailable	0	64000	483339
503503198851086	1100	933	unavailable	0	64000	687129
503503208850903	1100	933	unavailable	0	64000	1068814
503503218849027	1100	933	unavailable	0	64000	492304
503503228820074	1100	933	unavailable	0	64000	773667
503503238851545	1100	933	unavailable	0	64000	997511
503503248849729	1100	933	unavailable	0	64000	482798
503503258850357	1100	933	unavailable	0	64000	788142
503503268821505	1100	933	unavailable	0	64000	363203
503503278823355	1100	933	unavailable	0	64000	452716
503503288848585	1100	933	unavailable	0	64000	846903
503503298849964	1100	933	unavailable	0	64000	480865
503503308852325	1100	933	unavailable	0	64000	503164
503503318852623	1100	933	unavailable	0	64000	892211
503503328821016	1100	933	unavailable	0	64000	465418
503503338849802	1100	933	unavailable	0	64000	492946
503503348851703	1100	933	unavailable	0	64000	951432
503503358850968	1100	933	unavailable	0	64000	488138
503503368849733	1100	933	unavailable	0	64000	487837
503503378820430	1100	933	unavailable	0	64000	1031930
503503388822511	1100	933	unavailable	0	64000	518269
503503398829640	1100	933	unavailable	0	64000	552478
503503408848940	1100	933	unavailable	0	64000	1053778
503503418851962	1100	933	unavailable	0	64000	491634
503503428821156	1100	933	unavailable	0	64000	633667
503503438850654	1100	933	unavailable	0	64000	992172
503503448849108	1100	933	unavailable	0	64000	486024
503503458850367	1100	933	unavailable	0	64000	641120
503503468824260	1100	933	unavailable	0	64000	1071778
503503478835957	1100	933	unavailable	0	64000	488127
503503488854175	1100	933	unavailable	0	64000	681349
503503498849664	1100	933	unavailable	0	64000	986673
503503508849681	1100	933	unavailable	0	64000	489200
503503518847344	1100	933	unavailable	0	64000	747633
503503528823210	1100	933	unavailable	0	64000	1024738
503503538846928	1100	933	unavailable	0	64000	478050
503503548854548	1100	933	unavailable	0	64000	825987
503503558813739	1100	933	unavailable	0	64000	300987
503503568848993	1100	933	unavailable	0	64000	473653
503503578820287	1100	933	unavailable	0	64000	753643
503503588856903	1100	933	unavailable	0	64000	496281
503503598846318	1100	933	unavailable	0	64000	474434
503503608847432	1100	933	unavailable	0	64000	901337
503503618849479	1100	933	unavailable	0	64000	488188
503503628822115	1100	933	unavailable	0	64000	474775
503503638850026	1100	933	unavailable	0	64000	955670
503503648849709	1100	933	unavailable	0	64000	503854
503503658849151	1100	933	unavailable	0	64000	502702
503503668850476	1100	933	unavailable	0	64000	1014171
503503678844008	1100	933	unavailable	0	64000	320590
503503688851253	1100	933	unavailable	0	64000	537783
503503698850365	1100	933	unavailable	0	64000	1055632
503503708849386	1100	933	unavailable	0	64000	486495
503503718848117	1100	933	unavailable	0	64000	592126
503503728818640	1100	933	unavailable	0	64000	1032492
503503738851078	1100	933	unavailable	0	64000	474405
503503748850400	1100	933	unavailable	0	64000	636943
503503758828927	1100	933	unavailable	0	64000	1095390
503503768937907	1100	933	unavailable	0	64000	477709
503503778827350	1100	933	unavailable	0	64000	738868
503503788816114	1100	933	unavailable	0	64000	1000897
503503798844505	1100	933	unavailable	0	64000	471840
503503808844348	1100	933	unavailable	0	64000	779618
503503818846365	1100	933	unavailable	0	64000	1012868
503503828819241	1100	933	unavailable	0	64000	452817
503503838845539	1100	933	unavailable	0	64000	800344
503503848847295	1100	933	unavailable	0	64000	1057065
503503858845075	1100	933	unavailable	0	64000	473753
503503868845989	1100	933	unavailable	0	64000	854246
503503878825998	1100	933	unavailable	0	64000	471880
503503888851004	1100	933	unavailable	0	64000	451224
503503898850656	1100	933	unavailable	0	64000	907618
503503908845220	1100	933	unavailable	0	64000	474484
503503918845163	1100	933	unavailable	0	64000	471780
503503928820924	1100	933	unavailable	0	64000	984430
503503938848054	1100	933	unavailable	0	64000	477970
503503948845372	1100	933	unavailable	0	64000	504907
503503958846768	1100	933	unavailable	0	64000	1011125
503503968821167	1100	933	unavailable	0	64000	470988
503503978834403	1100	933	unavailable	0	64000	560612
503503988850984	1100	933	unavailable	0	64000	1058197
503503998845738	1100	933	unavailable	0	64000	476468
503504008845832	1100	933	unavailable	0	64000	596614
503504018844512	1100	933	unavailable	0	64000	1005817
503504028903366	1100	933	unavailable	0	64000	494539
503504038844999	1100	933	unavailable	0	64000	647532
503504048844101	1100	933	unavailable	0	64000	1054840
503504058847991	1100	933	unavailable	0	64000	480494
503504068844598	1100	933	unavailable	0	64000	705100
503504078818797	1100	933	unavailable	0	64000	985240
503504088819290	1100	933	unavailable	0	64000	306266
503504098852961	1100	933	unavailable	0	64000	762419
503504108847024	1100	933	unavailable	0	64000	1014021
503504118822886	1100	933	unavailable	0	64000	472010
503504128826335	1100	933	unavailable	0	64000	831958
503504138848285	1100	933	unavailable	0	64000	1062835
503504148845333	1100	933	unavailable	0	64000	467833
503504158842562	1100	933	unavailable	0	64000	870774
503504168848004	1100	933	unavailable	0	64000	474144
503504178829215	1100	933	unavailable	0	65000	466120
503504188880215	1100	933	unavailable	0	65000	767498
503504198822169	1100	933	unavailable	0	65000	355590
503504208853856	1100	933	unavailable	0	65000	438683
503504218844233	1100	933	unavailable	0	65000	996410
503504228827748	1100	933	unavailable	0	65000	463545
503504238849969	1100	933	unavailable	0	65000	500789
503504248847818	1100	933	unavailable	0	65000	1020131
503504258850275	1100	933	unavailable	0	65000	482789
503504268847103	1100	933	unavailable	0	65000	551016
503504278828264	1100	933	unavailable	0	65000	977728
503504288846208	1100	933	unavailable	0	65000	478671
503504298851400	1100	933	unavailable	0	65000	598437
503504308827662	1100	933	unavailable	0	65000	1026051
503504318849412	1100	933	unavailable	0	65000	475036
503504328826586	1100	933	unavailable	0	65000	671483
503504338848557	1100	933	unavailable	0	65000	1058156
503504348821714	1100	933	unavailable	0	65000	462063
503504358822318	1100	933	unavailable	0	65000	735042
503504368848566	1100	933	unavailable	0	65000	967751
503504378819038	1100	933	unavailable	0	65000	453379
503504388850666	1100	933	unavailable	0	65000	789214
503504398851560	1100	933	unavailable	0	65000	1031801
503504408845874	1100	933	unavailable	0	65000	468263
503504418844274	1100	933	unavailable	0	65000	810922
503504428826867	1100	933	unavailable	0	65000	467533
503504438847195	1100	933	unavailable	0	65000	481126
503504448846267	1100	933	unavailable	0	65000	867258
503504458843615	1100	933	unavailable	0	65000	468033
503504468852293	1100	933	unavailable	0	65000	505858
503504478827353	1100	933	unavailable	0	65000	937850
503504488845878	1100	933	unavailable	0	65000	469756
503504498838669	1100	933	unavailable	0	65000	338701
503504508845013	1100	933	unavailable	0	65000	971968
503504518845897	1100	933	unavailable	0	65000	471109
503504528826587	1100	933	unavailable	0	65000	519983
503504539848785	1100	933	unavailable	0	65000	473082
503504568529310	1100	933	unavailable	0	65000	314440
503504568858205	1100	933	unavailable	0	65000	758212
503504578921883	1100	933	unavailable	0	65000	271506
503504588915852	1100	933	unavailable	0	65000	393956
503504598911013	1100	933	unavailable	0	65000	842777
503504608911843	1100	933	unavailable	0	65000	267840
503504618913926	1100	933	unavailable	0	65000	448199
503504628923411	1100	933	unavailable	0	65000	803469
503504638917460	1100	933	unavailable	0	65000	278347
503504648918290	1100	933	unavailable	0	65000	606872
503504658923518	1100	933	unavailable	0	65000	1300613
503504668932422	1100	933	unavailable	0	65000	464458
503504678932381	1100	933	unavailable	0	65000	662217
503504688927983	1100	933	unavailable	0	65000	936998
503504698932309	1100	933	unavailable	0	65000	460340
503504708922852	1100	933	unavailable	0	65000	599048
503504718920477	1100	933	unavailable	0	65000	277065
503504728931174	1100	933	unavailable	0	65000	437361
503504738932706	1100	933	unavailable	0	65000	772927
503504748934868	1100	933	unavailable	0	65000	1039245
503504758924810	1100	933	unavailable	0	65000	435227
503504768924869	1100	933	unavailable	0	65000	819106
503504778928334	1100	933	unavailable	0	65000	435458
503504788932140	1100	933	unavailable	0	65000	468734
503504798944119	1100	933	unavailable	0	65000	889658
503504808931466	1100	933	unavailable	0	65000	463136
503504818929272	1100	933	unavailable	0	65000	336257
503504828924092	1100	933	unavailable	0	65000	903641
503504838929270	1100	933	unavailable	0	65000	379842
503504848931242	1100	933	unavailable	0	65000	347356
503504858931471	1100	933	unavailable	0	65000	975145
503504868934806	1100	933	unavailable	0	65000	322394
503504878932411	1100	933	unavailable	0	65000	377087
503504888990109	1100	933	unavailable	0	65000	837949
503504899031108	1100	933	unavailable	0	65000	300436
503504908933089	1100	933	unavailable	0	65000	429578
503504919067669	1100	933	unavailable	0	65000	820499
503504928935291	1100	933	unavailable	0	65000	340615
503504938929700	1100	933	unavailable	0	65000	485594
503504948927135	1100	933	unavailable	0	65000	858304
503504958931481	1100	933	unavailable	0	65000	312407
503504968927714	1100	933	unavailable	0	65000	542311
503504978930468	1100	933	unavailable	0	65000	907588
503504988929805	1100	933	unavailable	0	65000	342498
503504998932148	1100	933	unavailable	0	65000	610999
503505008932368	1100	933	unavailable	0	65000	310944
503505018930333	1100	933	unavailable	0	65000	306777
503505028928239	1100	933	unavailable	0	65000	641311
503505038926575	1100	933	unavailable	0	65000	310834
503505048933416	1100	933	unavailable	0	65000	323645
503505058939415	1100	933	unavailable	0	65000	688993
503505068930649	1100	933	unavailable	0	65000	365227
503505078929947	1100	933	unavailable	0	65000	367350
503505090028602	1100	933	unavailable	0	65000	300886
503505099975019	1100	933	unavailable	0	65000	313638
503505109820483	1100	933	unavailable	0	65000	883737
503505118929762	1100	933	unavailable	0	65000	809129
503505128930382	1100	933	unavailable	0	65000	358035
503505138927887	1100	933	unavailable	0	64000	340014
503505148930200	1100	933	unavailable	0	64000	869914
503505158931341	1100	933	unavailable	0	64000	315782
503505168929216	1100	933	unavailable	0	64000	387516
503505178927272	1100	933	unavailable	0	64000	901057
503505188933241	1100	933	unavailable	0	64000	347066
503505199981961	1100	933	unavailable	0	64000	887203
503505208930655	1100	933	unavailable	0	64000	979742
503505218943776	1100	933	unavailable	0	64000	338261
503505228927547	1100	933	unavailable	0	64000	494770
503505238929440	1100	933	unavailable	0	64000	860427
503505248929278	1100	933	unavailable	0	64000	358656
503505258931030	1100	933	unavailable	0	64000	553411
503505268932271	1100	933	unavailable	0	64000	309832
503505278927292	1100	933	unavailable	0	64000	305064
503505288931508	1100	933	unavailable	0	64000	600802
503505298934512	1100	933	unavailable	0	64000	351253
503505308927209	1100	933	unavailable	0	64000	324948
503505318931906	1100	933	unavailable	0	64000	655215
503505328926696	1100	933	unavailable	0	64000	304432
503505338928227	1100	933	unavailable	0	64000	305906
503505348928387	1100	933	unavailable	0	64000	697597
503505358928636	1100	933	unavailable	0	64000	310834
503505368930498	1100	933	unavailable	0	64000	304172
503505378927382	1100	933	unavailable	0	64000	756218
503505388930727	1100	933	unavailable	0	64000	325629
503505398927811	1100	933	unavailable	0	64000	346124
503505408929793	1100	933	unavailable	0	64000	803710
503505419032248	1100	933	unavailable	0	64000	293474
503505429510718	1100	933	unavailable	0	64000	293164
503505438943163	1100	933	unavailable	0	64000	847345
503505449034839	1100	933	unavailable	0	64000	310473
503505458930760	1100	933	unavailable	0	64000	389508
503505468929096	1100	933	unavailable	0	64000	847735
503505478928854	1100	933	unavailable	0	64000	338782
503505488928843	1100	933	unavailable	0	64000	438974
503505498928001	1100	933	unavailable	0	64000	890168
503505508929342	1100	933	unavailable	0	64000	323596
503505518929031	1100	933	unavailable	0	64000	490712
503505528928018	1100	933	unavailable	0	64000	873169
503505538929539	1100	933	unavailable	0	64000	332982
503505548930831	1100	933	unavailable	0	64000	553520
503505558935112	1100	933	unavailable	0	64000	315342
503505568934626	1100	933	unavailable	0	64000	331149
503505578931856	1100	933	unavailable	0	64000	602886
503505588928315	1100	933	unavailable	0	64000	323696
503505598928741	1100	933	unavailable	0	64000	323946
503505608929216	1100	933	unavailable	0	64000	652801
503505618929482	1100	933	unavailable	0	64000	339683
503505628928445	1100	933	unavailable	0	64000	389388
503505638928650	1100	933	unavailable	0	64000	712133
503505648929767	1100	933	unavailable	0	64000	321692
503505658927698	1100	933	unavailable	0	64000	309151
503505668929466	1100	933	unavailable	0	64000	761948
503505678929791	1100	933	unavailable	0	64000	323937
503505688929315	1100	933	unavailable	0	64000	329336
503505698928759	1100	933	unavailable	0	64000	833101
503505708929816	1100	933	unavailable	0	64000	321712
