key	value
schema	package-energy-sample-v1
clock	CLOCK_MONOTONIC
period_ns	50000000
package_wrap_uj	65532610988
core_wrap_uj	65532610988
sampler_pid	2233259
monotonic_ns	package_uj	core_uj	sample_cost_ns
503502576732386	63707802158	8069818038	48673
503502626834977	63708329245	8069833388	87901
503502676837887	63708840465	8069856214	89373
503502726865951	63709341034	8069870617	136414
503502776866577	63709871280	8069884380	130484
503502826864198	63710431920	8069897227	133339
503502876862680	63710938455	8069910639	127749
503502926924822	63711463773	8069922281	155878
503502976883596	63711979020	8069936379	147884
503503026938385	63712485296	8069943779	177725
503503076929255	63712988260	8069946663	165363
503503126929450	63713507063	8069950340	166316
503503176931939	63714008227	8069954964	167467
503503226928459	63714506645	8069958870	166565
503503276927722	63715024898	8069965980	156889
503503326929541	63715521912	8069972434	163962
503503376898803	63716026037	8069975898	159934
503503426989954	63716528086	8069980414	188874
503503476929816	63717053663	8069987723	157550
503503526920896	63717548983	8069989248	159544
503503577118155	63718049598	8069995352	113965
503503626928225	63718549084	8070004796	167328
503503676905902	63719073395	8070010579	161407
503503726925290	63719571813	8070011388	165744
503503776927038	63720074411	8070017827	164913
503503826920262	63720621578	8070020848	158152
503503876914848	63721150711	8070023411	155306
503503926934066	63721671359	8070026218	156589
503503976918464	63722169503	8070028461	157070
503504026933666	63722678082	8070030445	156098
503504076890387	63723179979	8070032642	157400
503504126919712	63723714665	8070038822	159494
503504176914449	63724205500	8070040988	155116
503504226925994	63724761471	8070050723	161317
503504276919337	63725262986	8070053393	158062
503504326920485	63725774312	8070057253	157350
503504376890328	63726344610	8070062609	155116
503504426916849	63726833614	8070065370	157450
503504476936047	63727337494	8070070772	156979
503504526921367	63727873507	8070072115	156318
503504576857429	63728540511	8070212671	86067
503504626831960	63729077120	8070228173	87810
503504676873396	63729607182	8070245064	141162
503504726877498	63730154075	8070269156	137726
503504776880208	63730727303	8070292577	140652
503504826859327	63731194976	8070427916	104188
503504876870000	63731765457	8070611409	124564
503504926882406	63732408673	8070814416	124143
503504977792223	63733032344	8071013289	130895
503505026875795	63733654382	8071209843	127148
503505077092742	63734274193	8071402383	342318
503505127422574	63734897345	8071593520	367140
503505176865262	63735514622	8071801136	107725
503505226867761	63736132800	8072014702	110469
503505276874267	63736748781	8072225476	124234
503505326878038	63737407545	8072414019	127710
503505376873435	63738021741	8072564783	125616
503505426864375	63738643443	8072741074	119315
503505476862086	63739284477	8072956746	102967
503505526864014	63739890678	8073113690	118373
503505576866729	63740521184	8073327134	119465
503505626866483	63741150302	8073486535	120577
503505676859265	63741782517	8073727413	102446
503505727252154	63742404204	8073912904	104118
503505776872126	63743066875	8074139348	121960
503505827301447	63743708229	8074326609	111111
503505876853983	63744323417	8074507463	101224
503505926866749	63744936056	8074700003	123131
503505977133040	63745682325	8074944528	1680687
503506026860116	63746368034	8075173688	103418
503506076866181	63746994040	8075350238	107525
503506126928311	63747612523	8075568016	104079
503506176872119	63748227283	8075763486	125867
503506227875897	63748864976	8075997574	132347
503506276857362	63749476043	8076183386	104289
503506327555485	63750128735	8076390071	103177
503506376933000	63750760080	8076606948	105060
503506427541820	63751384407	8076784994	101715
503506476877584	63752009726	8076964306	129693
503506526878359	63752618154	8077130099	129212
503506577350039	63753262438	8077317452	133129
503506626879253	63753890549	8077515638	126968
503506677054087	63754514601	8077687962	325769
503506726867609	63755141323	8077881067	108807
503506776867151	63755784296	8078092360	108877
503506826863488	63756405662	8078290256	108045
503506876862359	63757031912	8078487619	106123
503506927158291	63757686037	8078724621	101735
503506976858709	63758320267	8078893893	103337
503507026857089	63758938628	8079082574	100152
503507076854708	63759540067	8079257949	101785
503507126867633	63760195475	8079516008	128080
503507176902025	63760772700	8079824677	178537
503507226898412	63761380106	8080080203	137025
503507276898936	63761986886	8080340581	181191
503507326870660	63762583886	8080585456	137336
503507376855437	63763156961	8080856713	97096
503507427350751	63763715084	8081082684	100513
503507477018543	63764279645	8081322753	289778
503507526939009	63764891368	8081576540	224987
503507576927067	63765527322	8081832386	207777
503507626900051	63766130425	8082072486	183265
503507676919897	63766750983	8082316217	201917
503507726915601	63767268122	8082487381	193112
503507776914891	63767781005	8082642952	200354
503507826928986	63768322725	8082835493	204873
503507876930420	63768823676	8082984472	206786
503507926923920	63769335948	8083154110	196548
503507976880086	63769842498	8083306095	139089
503508030176323	63770382799	8083491053	3400795
503508076871614	63770943744	8083678375	130233
503508126883376	63771509358	8083911929	162389
503508195889041	63772103138	8084227205	19180074
503508226940336	63772730593	8084340938	179919
503508277020736	63773308887	8084516924	308981
503508328450885	63773970565	8084669886	1511338
503508377270207	63774777286	8084747167	984332
503508426890145	63775563027	8084842423	135533
503508476888884	63776338744	8084933773	135473
503508526940855	63777127857	8085026801	170743
503508577116533	63777946220	8085132829	150950
503508627100775	63778665513	8085205930	140963
503508676881888	63779409127	8085311942	129302
503508726925071	63780150925	8085396655	162640
503508777182172	63780912116	8085508450	466201
503508826884260	63781625366	8085577874	130915
503508876887314	63782338174	8085675891	138338
503508926918697	63783017628	8085759078	172406
503508976904893	63783741147	8085868722	153954
503509026884947	63784441429	8085946095	131876
503509076885448	63785107593	8086026017	134482
503509127437095	63785794645	8086111294	446297
503509177180293	63786460489	8086180046	109879
503509226884824	63787165348	8086273349	132127
503509276919042	63787833282	8086340026	160606
503509326870698	63788577186	8086459954	118984
503509376879973	63789229313	8086530461	127980
503509428180018	63789952695	8086636382	185449
503509477265795	63790592417	8086708827	987177
503509527649834	63791287510	8086798850	995291
503509577251032	63791931367	8086867511	263493
503509628302748	63792598066	8086940947	1566154
503509679334429	63793352131	8087032312	354530
503509727493680	63793985582	8087099737	506211
503509778024920	63794672284	8087183946	1526005
503509827031528	63795363303	8087255247	162369
503509876989282	63796000081	8087323053	144619
503509926883978	63796694457	8087402258	130845
503509976946612	63797429679	8087485688	193223
503510027139530	63798185652	8087571866	124965
503510077149955	63798915732	8087658470	131115
503510126993142	63799585573	8087727253	123342
503510179385503	63800387381	8087822112	808049
503510226881904	63801098282	8087904460	128881
503510276883894	63801828393	8087985373	128531
503510326910636	63802555665	8088098267	162650
503510376960028	63803127901	8088328479	287124
503510426928981	63803801756	8088575751	196778
503510476921626	63804531180	8088595189	206115
503510526912296	63805221589	8088618610	201156
503510576929146	63805904369	8088633609	209611
503510626930712	63806614827	8088688171	211734
503510676926489	63807263826	8088696975	206145
503510730267921	63807962826	8088714064	2447240
503510776888451	63808884516	8088820077	171075
503510826936327	63809920641	8089039105	250681
503510876906509	63810656565	8089134865	188735
