# clock=CLOCK_MONOTONIC period_ns=20000000 drm_device=/sys/class/drm/card1/device hwmon=/sys/class/hwmon/hwmon6
# interpretation: pp_dpm_sclk_selected_mhz is the selected graphics clock step; pp_dpm_mclk_surface_mhz is the pp_dpm_mclk sysfs surface, which on SMU10 is a fabric-clock state rather than the trained DRAM speed; pp_dpm_fclk_surface_mhz is the pp_dpm_fclk sysfs surface
# sampler_pid=3863977 nice=19 cpu_affinity=0,1 sampler_format=native-fresh-v1
monotonic_ns	pp_dpm_sclk_selected_mhz	pp_dpm_mclk_surface_mhz	pp_dpm_fclk_surface_mhz	gpu_busy_percent	temp1_millidegrees	sample_cost_ns
807162700446902	400	933	unavailable	0	54000	961441
807162720413262	400	933	unavailable	0	54000	631313
807162740415250	400	933	unavailable	0	54000	450644
807162761027650	400	933	unavailable	0	54000	644377
807162780408524	400	933	unavailable	0	55000	750546
807162800421542	400	933	unavailable	0	55000	483496
807162820412659	400	933	unavailable	0	55000	472094
807162840420127	400	933	unavailable	0	55000	980897
807162860417996	400	933	unavailable	0	55000	495779
807162880406579	400	933	unavailable	0	55000	425116
807162900426389	400	933	unavailable	0	55000	1074503
807162922076614	400	933	unavailable	0	55000	302176
807162940410196	400	933	unavailable	0	55000	316603
807162960398738	400	933	unavailable	0	55000	282129
807162980409041	400	933	unavailable	0	55000	627816
807163000415166	400	933	unavailable	1	55000	435386
807163020414198	428	933	unavailable	13	55000	360295
807163040412057	508	933	unavailable	29	55000	799959
807163060403595	581	933	unavailable	42	55000	394680
807163080414179	666	933	unavailable	52	55000	485098
807163100422148	750	933	unavailable	61	55000	1095872
807163120409016	825	933	unavailable	68	55000	677639
807163140430029	900	933	unavailable	74	55000	628968
807163160427869	985	933	unavailable	79	55000	1147629
807163181033397	1066	933	unavailable	82	55000	342752
807163201037848	1100	933	unavailable	86	55000	914253
807163220493372	1100	933	unavailable	88	55000	933028
807163241032896	1100	933	unavailable	90	55000	327434
807163260408691	1100	933	unavailable	92	55000	518621
807163280411429	1100	933	unavailable	93	55000	341009
807163300416573	1100	933	unavailable	94	55000	771054
807163321020978	1100	933	unavailable	95	55000	346630
807163340446967	1100	933	unavailable	96	55000	341960
807163361054568	1100	933	unavailable	97	55000	565179
807163380419192	1100	933	unavailable	97	55000	541504
807163400424225	1100	933	unavailable	98	55000	528460
807163421050852	1100	933	unavailable	98	55000	559679
807163440416978	1100	933	unavailable	98	55000	1158981
807163460422923	1100	933	unavailable	98	55000	511037
807163480421835	1100	933	unavailable	99	55000	1247827
807163500414003	1100	933	unavailable	99	55000	882003
807163520404981	1100	933	unavailable	99	55000	426138
807163540416255	1100	933	unavailable	99	55000	1090813
807163561023436	1100	933	unavailable	99	55000	302797
807163580396926	1100	933	unavailable	99	55000	259776
807163600415634	1100	933	unavailable	99	55000	453911
807163620402964	1100	933	unavailable	99	55000	997939
807163640409811	1100	933	unavailable	99	55000	551853
807163660404484	1100	933	unavailable	99	55000	426559
807163680403776	1100	933	unavailable	98	55000	1129867
807163700414480	1100	933	unavailable	98	55000	691756
807163720410557	1100	933	unavailable	98	55000	464230
807163740405240	1100	933	unavailable	98	55000	981348
807163760415723	1100	933	unavailable	99	55000	816289
807163780407031	1100	933	unavailable	99	55000	426799
807163800403659	1100	933	unavailable	99	55000	1088169
807163820413280	1100	933	unavailable	99	55000	930924
807163840408384	1100	933	unavailable	99	55000	439073
807163860416082	1100	933	unavailable	99	55000	499185
807163880422529	1100	933	unavailable	99	55000	1012506
807163900403516	1100	933	unavailable	99	55000	524092
807163920405132	1100	933	unavailable	99	55000	442880
807163940398323	1100	933	unavailable	99	55000	1170863
807163960396844	1100	933	unavailable	99	55000	786623
807163980422947	1100	933	unavailable	99	55000	505567
807164000439351	1100	933	unavailable	99	55000	1095713
807164020436800	1100	933	unavailable	99	55000	771595
807164040460347	1100	933	unavailable	99	55000	629159
807164060407262	1100	933	unavailable	99	55000	1041221
807164080410251	1100	933	unavailable	99	55000	912840
807164100422547	1100	933	unavailable	99	55000	631814
807164120432570	1100	933	unavailable	99	55000	1186142
807164140427313	1100	933	unavailable	99	55000	1261083
807164160403643	1100	933	unavailable	99	55000	506048
807164180402905	1100	933	unavailable	99	55000	407573
807164200406996	1100	933	unavailable	99	55000	1083199
807164220403072	1100	933	unavailable	99	55000	624881
807164240408616	1100	933	unavailable	99	55000	440275
807164260423347	1083	933	unavailable	97	55000	1234924
807164280404987	1100	933	unavailable	98	55000	796522
807164300415881	1100	933	unavailable	98	55000	367869
