# clock=CLOCK_MONOTONIC period_ns=20000000 drm_device=/sys/class/drm/card1/device hwmon=/sys/class/hwmon/hwmon6
# interpretation: pp_dpm_sclk_selected_mhz is the selected graphics clock step; pp_dpm_mclk_surface_mhz is the pp_dpm_mclk sysfs surface, which on SMU10 is a fabric-clock state rather than the trained DRAM speed; pp_dpm_fclk_surface_mhz is the pp_dpm_fclk sysfs surface
# sampler_pid=3866292 nice=19 cpu_affinity=0,1 sampler_format=native-fresh-v1
monotonic_ns	pp_dpm_sclk_selected_mhz	pp_dpm_mclk_surface_mhz	pp_dpm_fclk_surface_mhz	gpu_busy_percent	temp1_millidegrees	sample_cost_ns
807626275709529	400	933	unavailable	0	65000	236363
807626296035183	400	933	unavailable	0	65000	534763
807626315678378	400	933	unavailable	0	65000	440957
807626335675596	400	933	unavailable	0	65000	364915
807626356072745	400	933	unavailable	0	65000	605215
807626375677577	400	933	unavailable	0	65000	536476
807626395685866	400	933	unavailable	0	65000	501301
807626415695067	400	933	unavailable	0	65000	1119680
807626435701012	400	933	unavailable	0	74000	768201
807626457017765	400	933	unavailable	0	74000	576751
807626475677255	435	933	unavailable	14	74000	358953
807626495685424	516	933	unavailable	31	74000	853460
807626515678745	590	933	unavailable	43	74000	370224
807626535676384	666	933	unavailable	53	74000	468218
807626555687058	750	933	unavailable	62	74000	1049217
807626575686350	837	933	unavailable	69	74000	633037
807626595673279	914	933	unavailable	74	74000	469861
807626615684223	985	933	unavailable	79	74000	1179412
807626635693063	1066	933	unavailable	83	74000	1136371
807626655689480	1100	933	unavailable	86	74000	499977
807626675681679	1100	933	unavailable	88	74000	1188178
807626695692332	1100	933	unavailable	90	74000	858841
807626715693729	1100	933	unavailable	92	74000	632085
807626735680467	1100	933	unavailable	93	74000	472176
807626755682755	1100	933	unavailable	94	74000	935104
807626775686786	1100	933	unavailable	95	74000	581371
807626795678043	1100	933	unavailable	96	74000	497012
807626815686874	1100	933	unavailable	97	74000	1066910
807626835694051	1100	933	unavailable	97	74000	672471
807626855689586	1100	933	unavailable	98	73000	588012
807626875683348	1100	933	unavailable	98	73000	1558392
807626895700283	1100	933	unavailable	98	73000	740629
807626915688064	1100	933	unavailable	98	73000	591649
807626935665385	1100	933	unavailable	99	73000	1123527
807626955673453	1100	933	unavailable	99	73000	824165
807626975694597	1100	933	unavailable	99	73000	612839
807626995678119	1100	933	unavailable	99	73000	467978
