# clock=CLOCK_MONOTONIC period_ns=20000000 drm_device=/sys/class/drm/card1/device hwmon=/sys/class/hwmon/hwmon6
# interpretation: pp_dpm_sclk_selected_mhz is the selected graphics clock step; pp_dpm_mclk_surface_mhz is the pp_dpm_mclk sysfs surface, which on SMU10 is a fabric-clock state rather than the trained DRAM speed; pp_dpm_fclk_surface_mhz is the pp_dpm_fclk sysfs surface
# sampler_pid=3872558 nice=19 cpu_affinity=0,1 sampler_format=native-fresh-v1
monotonic_ns	pp_dpm_sclk_selected_mhz	pp_dpm_mclk_surface_mhz	pp_dpm_fclk_surface_mhz	gpu_busy_percent	temp1_millidegrees	sample_cost_ns
810158168136294	400	933	unavailable	0	67000	234029
810158188102083	400	933	unavailable	0	67000	704652
810158208097077	400	933	unavailable	0	67000	311194
810158228104645	400	933	unavailable	0	67000	321443
810158248097545	400	933	unavailable	0	67000	825459
810158268097619	400	933	unavailable	0	67000	338054
810158288109645	400	933	unavailable	0	67000	477246
810158308103817	400	933	unavailable	0	67000	942820
810158328106145	400	933	unavailable	0	67000	588224
810158348107211	400	933	unavailable	0	67000	464612
810158368116071	400	933	unavailable	0	67000	2421855
810158388098462	400	933	unavailable	0	67000	702037
810158408114996	400	933	unavailable	0	67000	370375
810158428088881	400	933	unavailable	0	67000	291186
810158451021027	400	933	unavailable	0	67000	907403
810158469017260	400	933	unavailable	0	67000	2359077
810158488113998	435	933	unavailable	16	67000	1226953
810158508104504	516	933	unavailable	31	67000	855325
810158528111711	600	933	unavailable	43	67000	420339
810158548099301	677	933	unavailable	53	67000	374914
810158569034069	762	933	unavailable	62	67000	475673
810158588104097	837	933	unavailable	69	67000	532800
810158608111164	914	933	unavailable	74	67000	548610
810158628114844	985	933	unavailable	79	67000	1233084
810158648116170	1066	933	unavailable	83	67000	765327
810158668104021	1100	933	unavailable	86	67000	469732
810158688173765	1100	933	unavailable	88	67000	1588742
810158708108356	1100	933	unavailable	90	67000	730481
810158728100365	1100	933	unavailable	92	67000	330810
810158748109315	1100	933	unavailable	93	67000	1186547
810158768115319	1100	933	unavailable	94	67000	1001079
810158788117226	1100	933	unavailable	95	67000	622980
810158808120947	1100	933	unavailable	96	67000	560762
810158828122984	1100	933	unavailable	97	67000	1137886
810158848103802	1100	933	unavailable	97	67000	626265
810158868101010	1100	933	unavailable	98	67000	461406
810158888143213	1100	933	unavailable	98	67000	1441986
810158908119922	1100	933	unavailable	98	67000	766318
810158928111951	1100	933	unavailable	98	67000	547006
810158948116192	1100	933	unavailable	99	67000	1302815
