field	value	per_superblock
run_mode	device	-
spirv_path	$SCRATCH/lab/spv/mul_mat_vec_q4_k_f32_f32_subgroup_no_shmem.spv	-
spirv_sha256	d59fcb958e6d2e9feba6295581a67d8e77c8bd4539546f499481651af273018e	-
spirv_bytes	19404	-
nir_sha256	1de337f2aaee0c1912f890cf15b00d57485fb9375edd5478b0c86fc7e7a49820	-
isa_sha256	299ef0ed18c6795fa46d5e5ae386d72dfa2e62b4ba352dec4a4c1e0ef223906f	-
device_name	AMD Ryzen 5 5600X3D 6-Core Processor (RADV RAVEN2)	-
driver_name	radv	-
driver_info	Mesa 26.2.1-arch3.1	-
device_api_version	1.4.354	-
spirv_capabilities	Shader,Int8,GroupNonUniform,GroupNonUniformArithmetic,StorageBuffer16BitAccess,StorageBuffer8BitAccess	-
features_enabled	shaderInt8,storageBuffer16BitAccess,storageBuffer8BitAccess,subgroupSizeControl,computeFullSubgroups	-
robust_buffer_access	off	-
spec_constants	0:64,1:8,2:1	-
bindings	5	-
push_constant_bytes	52	-
subgroup_size_requested	64	-
subgroup_size_min	64	-
subgroup_size_max	64	-
environment_names	GGML_VK_LOW_PRIORITY,GGML_VK_MAX_NODES_PER_SUBMIT,RADV_DEBUG,VK_DRIVER_FILES,VK_ICD_FILENAMES	-
per_superblock_divisor	256	-
vgprs	64	-
sgprs	48	-
spilled_vgprs	0	-
spilled_sgprs	0	-
lds	0	-
scratch	0	-
code_size	11668	-
waves_per_simd	-	-
instruction_lines	2438	9.5234
valu	1520	5.9375
salu	667	2.6055
vmem	104	0.4062
smem	70	0.2734
lds_instructions	0	0.0000
waitcnt	145	0.5664
barrier	0	0.0000
v_cvt_f32_ubyte	384	1.5000
v_bfe	2	0.0078
v_lshrrev_b32	56	0.2188
v_lshlrev_b32	24	0.0938
v_and_b32	102	0.3984
v_perm_b32	0	0.0000
sdwa_operand_uses	32	0.1250
dpp_uses	64	0.2500
v_mul_lo_u32	0	0.0000
v_mad_u32_u24	0	0.0000
v_mad_i32_i24	0	0.0000
v_mul_u32_u24	0	0.0000
v_fma_f32	0	0.0000
v_mac_f32	304	1.1875
v_mad_mix_f32	0	0.0000
v_pk_fma_f16	0	0.0000
v_cvt_f32_f16	32	0.1250
