field	value	per_superblock
run_mode	device	-
spirv_path	$SCRATCH/spv/s1.spv	-
spirv_sha256	c8bcb6b2f5966e45d60cff8e1f5f752e009fd1b5e6f7cc16f31a2aaa979cd85a	-
spirv_bytes	19516	-
nir_sha256	492193931b0b5d5cdafb3f85f2759b56fbee52bf6dccd62da42f84dc1ea8f99c	-
isa_sha256	72b8c68c1abefa0f0ee1e15a4ac32c23580de1165e7eb8bdfb0cc310c4ca9ff4	-
device_name	AMD Ryzen 5 5600X3D 6-Core Processor (RADV RAVEN2)	-
driver_name	radv	-
driver_info	Mesa 26.2.1-arch3.1	-
device_api_version	1.4.354	-
spirv_capabilities	Shader,Int8,GroupNonUniform,GroupNonUniformArithmetic,StorageBuffer16BitAccess,StorageBuffer8BitAccess	-
features_enabled	shaderInt8,storageBuffer16BitAccess,storageBuffer8BitAccess,subgroupSizeControl,computeFullSubgroups	-
robust_buffer_access	off	-
spec_constants	0:64,1:8,2:1	-
bindings	5	-
push_constant_bytes	52	-
subgroup_size_requested	64	-
subgroup_size_min	64	-
subgroup_size_max	64	-
environment_names	GGML_VK_LOW_PRIORITY,GGML_VK_MAX_NODES_PER_SUBMIT,RADV_DEBUG,VK_DRIVER_FILES,VK_ICD_FILENAMES	-
per_superblock_divisor	256	-
vgprs	64	-
sgprs	48	-
spilled_vgprs	0	-
spilled_sgprs	0	-
lds	0	-
scratch	0	-
code_size	11364	-
waves_per_simd	-	-
instruction_lines	2378	9.2891
valu	1472	5.7500
salu	676	2.6406
vmem	88	0.3438
smem	70	0.2734
lds_instructions	0	0.0000
waitcnt	140	0.5469
barrier	0	0.0000
v_cvt_f32_ubyte	384	1.5000
v_bfe	18	0.0703
v_lshrrev_b32	56	0.2188
v_lshlrev_b32	40	0.1562
v_and_b32	100	0.3906
v_perm_b32	0	0.0000
v_alignbyte_b32	0	0.0000
v_bfi_b32	0	0.0000
v_add_u32	74	0.2891
sdwa_operand_uses	16	0.0625
dpp_uses	64	0.2500
v_mul_lo_u32	0	0.0000
v_mad_u32_u24	0	0.0000
v_mad_i32_i24	0	0.0000
v_mul_u32_u24	0	0.0000
v_fma_f32	0	0.0000
v_mac_f32	304	1.1875
v_mad_mix_f32	0	0.0000
v_pk_fma_f16	0	0.0000
v_cvt_f32_f16	32	0.1250
