block	first_line	last_line	terminator	instructions	valu	vmem	lds	salu	waitcnt	longest_valu_chain	max_vmem_in_flight	max_lgkm_in_flight	vmcnt_arguments	lgkmcnt_arguments
1	2	9	s_cbranch_scc0	8	0	0	0	7	1	0	0	1	-	0
2	11	13	s_cbranch_scc0	3	0	0	0	3	0	0	0	0	-	-
3	15	78	s_branch	64	15	0	0	49	0	5	0	0	-	-
4	80	80	-	1	0	0	0	1	0	0	0	0	-	-
5	82	103	s_branch	22	18	0	0	4	0	5	0	0	-	-
6	104	104	-	1	0	0	0	1	0	0	0	0	-	-
7	107	808	-	702	600	36	0	32	34	12	20	1	19,18,17,16,15,14,13,12,15,14,13,12,10,11,12,11,10,11,12,10,13,12,10,9,8,7,6,5,4,3,2,1,0	0
8	810	811	-	2	1	0	0	1	0	1	0	0	-	-
9	813	814	s_cbranch_scc1	2	0	0	0	2	0	0	0	0	-	-
10	816	944	-	129	64	0	0	65	0	8	0	0	-	-
11	946	947	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
12	949	961	s_branch	13	2	0	0	9	2	2	0	1	-	0,0
13	963	964	-	2	1	0	0	1	0	1	0	0	-	-
14	966	967	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
15	969	980	s_branch	12	1	0	0	9	2	1	0	1	-	0,0
16	982	982	-	1	0	0	0	1	0	0	0	0	-	-
17	984	993	s_cbranch_scc0	10	0	1	0	8	1	0	0	1	-	0
18	995	1003	s_branch	9	2	0	0	5	2	2	0	1	-	0,0
19	1005	1006	-	2	1	0	0	1	0	1	0	0	-	-
20	1008	1009	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
21	1011	1018	s_branch	8	1	0	0	5	2	1	0	1	-	0,0
22	1020	1020	-	1	0	0	0	1	0	0	0	0	-	-
23	1022	1025	s_cbranch_scc0	4	0	1	0	3	0	0	0	0	-	-
24	1027	1035	s_branch	9	2	0	0	5	2	2	0	1	-	0,0
25	1037	1038	-	2	1	0	0	1	0	1	0	0	-	-
26	1040	1041	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
27	1043	1050	s_branch	8	1	0	0	5	2	1	0	1	-	0,0
28	1052	1052	-	1	0	0	0	1	0	0	0	0	-	-
29	1054	1057	s_cbranch_scc0	4	0	1	0	3	0	0	0	0	-	-
30	1059	1067	s_branch	9	2	0	0	5	2	2	0	1	-	0,0
31	1069	1070	-	2	1	0	0	1	0	1	0	0	-	-
32	1072	1073	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
