field	value	per_superblock
run_mode	device	-
spirv_path	$SCRATCH/spv4/mul_mat_vec_q4_k_v1_f32_f32_subgroup_no_shmem.spv	-
spirv_sha256	c2af051ad2d0022ed9f1b3527cf9e51e4089fb875ac02e6c5524d7ac9d5c111f	-
spirv_bytes	19572	-
nir_sha256	a684a21b51781c5b553ef6ab9beb9e6eb6879b1c9a4badc3c3136ebb0099fb07	-
isa_sha256	4eb61f83650ae20613e80597cdfb41daaf8ae231e34acfaf21b54262d3931f4f	-
device_name	AMD Ryzen 5 5600X3D 6-Core Processor (RADV RAVEN2)	-
driver_name	radv	-
driver_info	Mesa 26.2.1-arch3.1	-
device_api_version	1.4.354	-
spirv_capabilities	Shader,Int8,GroupNonUniform,GroupNonUniformArithmetic,StorageBuffer16BitAccess,StorageBuffer8BitAccess	-
features_enabled	shaderInt8,storageBuffer16BitAccess,storageBuffer8BitAccess,subgroupSizeControl,computeFullSubgroups	-
robust_buffer_access	off	-
spec_constants	0:64,1:4,2:1	-
bindings	5	-
push_constant_bytes	52	-
subgroup_size_requested	64	-
subgroup_size_min	64	-
subgroup_size_max	64	-
environment_names	GGML_VK_LOW_PRIORITY,GGML_VK_MAX_NODES_PER_SUBMIT,RADV_DEBUG,VK_DRIVER_FILES,VK_ICD_FILENAMES	-
per_superblock_divisor	256	-
vgprs	48	-
sgprs	48	-
spilled_vgprs	0	-
spilled_sgprs	0	-
lds	0	-
scratch	0	-
code_size	6176	-
waves_per_simd	-	-
instruction_lines	1303	5.0898
valu	776	3.0312
salu	416	1.6250
vmem	40	0.1562
smem	38	0.1484
lds_instructions	0	0.0000
waitcnt	70	0.2734
barrier	0	0.0000
v_cvt_f32_ubyte	192	0.7500
v_bfe	10	0.0391
v_lshrrev_b32	32	0.1250
v_lshlrev_b32	16	0.0625
v_and_b32	52	0.2031
v_perm_b32	0	0.0000
v_alignbyte_b32	0	0.0000
v_bfi_b32	0	0.0000
v_add_u32	42	0.1641
sdwa_operand_uses	24	0.0938
dpp_uses	32	0.1250
v_mul_lo_u32	0	0.0000
v_mad_u32_u24	0	0.0000
v_mad_i32_i24	0	0.0000
v_mul_u32_u24	0	0.0000
v_mul_i32_i24	0	0.0000
v_add3_u32	0	0.0000
v_fma_f32	0	0.0000
v_mac_f32	152	0.5938
v_mad_mix_f32	0	0.0000
v_pk_fma_f16	0	0.0000
v_cvt_f32_f16	16	0.0625
