op	name	calls_per_block	total_us	mean_us
op	MUL_MAT	181.000	5486299.0	481.128
op	RMS_NORM_MUL	79.000	1857060.9	373.129
op	MUL_MAT_ADD	30.000	1119180.5	592.159
op	GET_ROWS	38.000	894139.8	373.492
op	MUL	42.000	686268.6	259.361
op	CPY	36.000	615731.4	271.486
op	L2_NORM	36.000	518794.0	228.745
op	SIGMOID	24.000	503671.5	333.116
op	ADD	36.000	499988.1	220.453
op	GLU	24.000	416458.6	275.436
op	GATED_DELTA_NET	18.000	369102.6	325.487
op	SILU	18.000	366338.6	323.050
op	SET_ROWS	12.000	340883.9	450.905
op	SOFTPLUS	18.000	338172.0	298.212
op	ROPE	12.000	330220.2	436.799
op	CONCAT	18.000	288228.5	254.170
op	SSM_CONV_SILU	18.000	271264.8	239.211
op	FLASH_ATTN_EXT	6.000	195133.1	516.225
op	CONT	6.000	162711.5	430.454
blocks	64	ops=19
decode_blocks	63
prefill_blocks	1
unknown_blocks	0
