pipeline	id	name	constants	wg_denoms	subgroup	calls_per_graph	workgroups_per_graph	total_bracket_upper_bound_ms	pipeline_bracket_union_ms	exclusive_bracket_ms	ambiguous_overlap_ms	median_us	p90_us	p99_us	max_us	vgprs	sgprs	spilled_vgprs	lds	scratch	subgroups_per_simd	spirv_executed_sha256
pipeline	26	mul_mat_vec_q8_0_f32_f32	64,2,1	2,1,1	64	187.000	324128.0	270.486	269.955	267.857	2.098	186.2	314.4	323.7	12854.6	40	48	0	0	0	6	f2d4eded8eb892ed5c9bfccc7c2fad43cbbc257e732a927b6bd436f19bea2798
pipeline	4	get_rows_f32_f32	-	512,1,1	0	37.000	9866.0	16.128	16.128	15.520	0.608	13.6	115.8	117.6	119.8	4	48	0	0	0	10	fafe80bdb8aa8cbc604b89086ca9c2b9f583a61aeb59485f0753411cf32f11b5
pipeline	15	gated_delta_net_f32_d128	128,0,64,8	1,1,8	64	18.000	4608.0	14.113	14.113	13.056	1.057	111.1	116.2	121.3	124.5	64	48	0	0	0	4	82506bf6a83dcccbd56107c5bd56f2f7848aea36a2237b8591d6db13539c33ba
pipeline	16	contig_cpy_f32_f32	-	512,1,1	0	18.000	9216.0	10.379	10.379	10.278	0.101	81.9	85.9	90.1	91.8	8	32	0	0	0	10	65ad91fafe69ecd250f575d3e64b2feab853293aca2e77b4b5d8adc5cb6a5297
pipeline	2	rms_norm_mul_f32	0,1	1,1,1	0	73.000	391.0	5.695	5.695	5.387	0.308	8.5	19.0	23.7	24.8	40	96	0	2048	0	6	f8ff313d10a2b769f5600531fdf16d56075b901b5025f1f8aef9fe5a9f799193
pipeline	6	concat_i32	-	512,1,1	0	18.000	864.0	4.182	4.182	3.790	0.392	33.0	33.9	34.2	34.2	24	48	0	0	0	10	6730d84ddc1d56579237fd0c9e08ed30249539e84ae9a3e3c3c81471e958c640
pipeline	7	cpy_f32_f32	-	512,1,1	0	24.000	672.0	2.869	2.869	2.154	0.715	20.8	21.1	21.4	21.8	16	48	0	0	0	10	42df294d98fcb62fe55a28d0606af612b3db2974fcfcd1f54a556df93914fe1c
pipeline	8	ssm_conv_silu_f32	32,16,0,1	32,16,1	0	18.000	3456.0	2.694	2.694	2.288	0.406	21.3	22.1	23.4	23.7	12	32	0	0	0	10	e5deee0b5cdb126d8de0c65a8a2b58cf1a5b4aae664cefee20adfa556837b3cc
pipeline	9	l2_norm_f32	-	1,1,1	0	36.000	576.0	2.548	2.315	1.870	0.444	10.1	10.4	10.9	29.9	8	48	0	2048	0	10	a48a4f1949509e775f7c204c146ac883eb9e216a0656e120a74be5e1d215e24e
pipeline	17	mul_f32_f32_f32_norepeat	1	512,1,1	0	42.000	114.0	1.537	1.537	1.425	0.111	5.6	5.9	6.7	22.4	24	48	0	0	0	10	6ad67ad0fc4a583fa1f84b76c5f0efd838711b4847b2566a6d1f871ea43ccccc
pipeline	25	flash_attn_f32_f16_aligned	256,4,32,256,256,0,8,4,64,0,2,1664,8,2,34,18	4,1,1	64	6.000	24.0	1.482	1.482	1.482	0.000	35.0	35.7	45.3	45.3	128	80	0	29184	0	2	3cc1200f454f96a623755925419f8e9804b4e68cdcb540aae24dfe8de519d093
