slot	arm	phase	begin_ns	end_ns	note
1	P	launch	1788632213385097532	1788632221192809071	-
1	P	request	1788632221192809071	1788632221882068840	-
1	P	teardown	1788632221882068840	1788632222637384448	-
1	P	analysis	1788632222637384448	1788632225057720378	-
1	P	cooldown	1788632225058713069	1788632226010265950	quiescence=reached elapsed_ms=935 sclk_forced=1 predicates=-
2	I0	launch	1788632226011645575	1788632233980843750	-
2	I0	request	1788632233980843750	1788632234633198396	-
2	I0	teardown	1788632234633198396	1788632235500593501	-
2	I0	analysis	1788632235500593501	1788632237857901559	-
2	I0	cooldown	1788632237859520706	1788632240119221916	quiescence=reached elapsed_ms=2243 sclk_forced=1 predicates=-
3	I1	launch	1788632240122154686	1788632248323071230	-
3	I1	request	1788632248323071230	1788632248976975214	-
3	I1	teardown	1788632248976975214	1788632249855319056	-
3	I1	analysis	1788632249855319056	1788632252537850732	-
3	I1	cooldown	1788632252538870734	1788632256898859010	quiescence=reached elapsed_ms=4345 sclk_forced=1 predicates=-
4	S	launch	1788632256899996168	1788632265152796565	-
4	S	request	1788632265152796565	1788632267416964845	-
4	S	teardown	1788632267416964845	1788632268289085992	-
4	S	analysis	1788632268289085992	1788632270730073508	-
4	S	cooldown	1788632270731165343	1788632270731999441	quiescence=skipped elapsed_ms=0 sclk_forced=1 predicates=-
-	-	campaign	1788632190127286560	1788632270734138668	-
