op	name	calls_per_block	total_us	mean_us
op	MUL_MAT	181.000	13313056.0	1167.505
op	MUL_MAT_ADD	30.000	2629476.2	1391.257
op	RMS_NORM_MUL	79.000	2210755.8	444.194
op	GET_ROWS	38.000	1132521.4	473.067
op	MUL	42.000	794298.5	300.188
op	CPY	36.000	737338.5	325.105
op	ADD	36.000	633666.6	279.394
op	L2_NORM	36.000	616404.1	271.783
op	SIGMOID	24.000	585394.7	387.166
op	GLU	24.000	549708.1	363.564
op	GATED_DELTA_NET	18.000	456686.3	402.722
op	SILU	18.000	414295.3	365.340
op	SET_ROWS	12.000	402759.0	532.750
op	ROPE	12.000	400908.1	530.302
op	SOFTPLUS	18.000	385211.6	339.693
op	CONCAT	18.000	367516.2	324.088
op	SSM_CONV_SILU	18.000	335807.6	296.127
op	FLASH_ATTN_EXT	6.000	228918.2	605.604
op	CONT	6.000	195236.4	516.498
blocks	64	ops=19
decode_blocks	63
prefill_blocks	1
unknown_blocks	0
