brick_id	C0
control	sidecar
arm_slots	1 2 3 4
arms	P-nosidecar P P P-nosidecar
verdict	refuted
arm_rates	9.590 9.475 9.604 9.513
input_closure_sha256	6610487698f05396d6f02d4b18b5a272c07b0bdcfad103c064181ff74bea2e37
acquisition_contract_sha256	2a31f1ba68a44bcae6cd76ca637a71ff0cae1dc94d482f7d271ccb6a23cf6cc6
analysis_contract_sha256	8d824d4d640ba3fa237613cc23567405d34786f088091dd7620d4e02068e06f0
artifact	arms/01-P-nosidecar/await-quiescence.stderr	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
artifact	arms/01-P-nosidecar/graphics-latency.log	2763deea0bfd7361fdbdb5fc973f27e972658e5dac6311cce5faf418a9c1ea97
artifact	arms/01-P-nosidecar/inputs.txt	e4a8b3a5fe846d1da8dd30d5b216be07acd283c0b4eb46b00a29bef191254361
artifact	arms/01-P-nosidecar/kernel-hazards.log	88a8d9e104ce372994e9c8f176b8fffd2c829c533fe26fa04f1648fcfdf74b35
artifact	arms/01-P-nosidecar/launch.txt	8606c4df8b2f7b27a814f9676e1b617c96a03f5fbdababef5e9456e0d47a37e0
artifact	arms/01-P-nosidecar/request.json	311337b08fe1c162ed20fb7642812d90517bf381795bd8b7ee0e895fc5644714
artifact	arms/01-P-nosidecar/request-window.tsv	49ab0b2cd7836fde9a6397d4beb2cc6f4c791d6f19d829506bcb1f78f2d21032
artifact	arms/01-P-nosidecar/response.json	f7694019d4a4587ecd323fe21ad0ceb2dc769144f958ebde156a828a5cedaa0a
artifact	arms/01-P-nosidecar/runner.stderr	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
artifact	arms/01-P-nosidecar/runner.stdout	4d7fdbddbac7b5853d6cc06f4a91eb01f23f16a59b912f4314a7583dc2c19f0d
artifact	arms/01-P-nosidecar/runtime-inputs.json	c9c1171345448c11615b28298c2ea562d0203313f26226ac47c6f7da18e7be4f
artifact	arms/01-P-nosidecar/server-effective-env.tsv	271fe68bed2ae46fdcfec145ac36efe0ad45ba9a65e95dbb40ae282ecf3ea937
artifact	arms/01-P-nosidecar/server.log	9362ace784b69195390cee8f368214b4b42232a8e796f1e16a79050146677e50
artifact	arms/01-P-nosidecar/server-log-request.slice	0cb5af70807ee36e730c7d88431b5fb4ab3273c6873c87ad1fabd3acfe029fdf
artifact	arms/01-P-nosidecar/server-process.json	15021a608575a9fd865ffe34b2c3af560b9cd0258d047def32f2a126d3fc7c49
artifact	arms/01-P-nosidecar/session.status	a99ddc0d3056eabfdcabda43efbaf3a608676e7caf126b60960836ace594c8ca
artifact	arms/01-P-nosidecar/summary.json	db7ba16c7b3db69d1705db0c5a0cfaa4b666ece9a175f961d10c8776beae431b
artifact	arms/01-P-nosidecar/teardown.txt	655b2f84d43bc21316e925f0f9216aab926ab0b0a9a0dfc7c3d38b3161ce253a
artifact	arms/01-P-nosidecar/telemetry.log	bcc318ce4737a606f2281f4e69b1a16c3d876faaf95c8ad5b07bb09b318fd509
artifact	arms/02-P/await-quiescence.stderr	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
artifact	arms/02-P/clock-sidecar.stderr	4809e92259f9c6a07cdda0bef3aa82a9f4f4e5e6cfac25a7f77546d5a7a4537a
artifact	arms/02-P/clock-sidecar.tsv	890f6f66b66e4d7c47c4cf75e723d12af05384f9e26eef995b6860afa22413ca
artifact	arms/02-P/clock-sidecar-verdict.txt	97964ba70e9ce7b28e0182e92c8a555714e7cb0402e4d1bb23f6951ec07ee7e7
artifact	arms/02-P/graphics-latency.log	2eac30e2c5ad36bf0e213fcb56d2a8133812a61e4079068e6a5d55310ba0d8f5
artifact	arms/02-P/inputs.txt	81c334f0d33bae786cd78da9c968bd1caa2c4e87a33bf0790a9b5bd351f504c7
artifact	arms/02-P/kernel-hazards.log	f764a87306189aeb488fb46c48b212365ca45442fbdc16907771eead3d752da7
artifact	arms/02-P/launch.txt	cff2b0e86d000ddf444ca0dd24e76e891b64a579d9f88ecd1e6a7e3153cc2745
artifact	arms/02-P/request.json	311337b08fe1c162ed20fb7642812d90517bf381795bd8b7ee0e895fc5644714
artifact	arms/02-P/request-window.tsv	947fec155a2ea06b41e6bad1f812be597ccc01aea2ba18a786cc3610481caa8c
artifact	arms/02-P/response.json	adfdc045d698e685a6364e439c48ecab3fd3ee6b944ca788134f32399af2f894
artifact	arms/02-P/runner.stderr	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
artifact	arms/02-P/runner.stdout	d8f590c804177083dcb41451acad53758665517453ac2803e282cf3b13ba5e08
artifact	arms/02-P/runtime-inputs.json	1cbe339c0b2931375202c3d8cf86ab14cfc613740522ae014a019e01dfeb3757
artifact	arms/02-P/server-effective-env.tsv	271fe68bed2ae46fdcfec145ac36efe0ad45ba9a65e95dbb40ae282ecf3ea937
artifact	arms/02-P/server.log	d2cf7cf9ceb571bca93ad21e6c0883128b832f42f499aefaaf7c87795f665ee2
artifact	arms/02-P/server-log-request.slice	4f4a9287bc881abc349db39aba2d4c4601176eeeae19bff222a4762a481f5bf7
artifact	arms/02-P/server-process.json	f75ee8d45811f549bd32841903d63a49275a9aa2defba1f03ac005845d56fbb6
artifact	arms/02-P/session.status	6cf8b26c27fe0d8e99a2e67360f8ac0e1592c5d13e463a1b2768848cba966380
artifact	arms/02-P/summary.json	28ab01e9d413448ce1b8428839101403c8003584ad11942fcfa54150fdbc2c9f
