slot	arm	phase	begin_ns	end_ns	note
0	W	launch	1788337200607564290	1788337209347184883	-
0	W	request	1788337209347184883	1788337216622407958	-
0	W	teardown	1788337216622407958	1788337217432257122	-
0	W	analysis	1788337217432257122	1788337217526611075	-
0	W	cooldown	1788337217527523775	1788337247621349378	quiescence=timeout elapsed_ms=30080
1	P-nosidecar	launch	1788337247626356618	1788337256453694432	-
1	P-nosidecar	request	1788337256453694432	1788337263720656615	-
1	P-nosidecar	teardown	1788337263720656615	1788337264529382199	-
1	P-nosidecar	analysis	1788337264529382199	1788337264632259926	-
1	P-nosidecar	cooldown	1788337264633162605	1788337294750717471	quiescence=timeout elapsed_ms=30108
2	P	launch	1788337294754992994	1788337303658224760	-
2	P	request	1788337303658224760	1788337310998708436	-
2	P	teardown	1788337310998708436	1788337311741896743	-
2	P	analysis	1788337311741896743	1788337311880338537	-
2	P	cooldown	1788337311881166534	1788337341930401345	quiescence=timeout elapsed_ms=30040
3	P	launch	1788337341935324408	1788337350840006465	-
3	P	request	1788337350840006465	1788337358094909199	-
3	P	teardown	1788337358094909199	1788337359040526319	-
3	P	analysis	1788337359040526319	1788337359194768472	-
3	P	cooldown	1788337359195588573	1788337389294799720	quiescence=timeout elapsed_ms=30090
4	P-nosidecar	launch	1788337389299565732	1788337398118134287	-
4	P-nosidecar	request	1788337398118134287	1788337405429878171	-
4	P-nosidecar	teardown	1788337405429878171	1788337406226479651	-
4	P-nosidecar	analysis	1788337406226479651	1788337406314024390	-
4	P-nosidecar	cooldown	1788337406314871140	1788337436422946765	quiescence=timeout elapsed_ms=30098
5	P	launch	1788337436428213320	1788337445307464445	-
5	P	request	1788337445307464445	1788337452697774522	-
5	P	teardown	1788337452697774522	1788337453613111889	-
5	P	analysis	1788337453613111889	1788337453746704728	-
5	P	cooldown	1788337453747592754	1788337483826252555	quiescence=timeout elapsed_ms=30068
6	I0	launch	1788337483831365006	1788337492744621260	-
6	I0	request	1788337492744621260	1788337499990681979	-
6	I0	teardown	1788337499990681979	1788337500871383057	-
6	I0	analysis	1788337500871383057	1788337501011907798	-
6	I0	cooldown	1788337501012809700	1788337531178071823	quiescence=timeout elapsed_ms=30153
7	I0	launch	1788337531183048465	1788337540229416753	-
7	I0	request	1788337540229416753	1788337547638961715	-
7	I0	teardown	1788337547638961715	1788337548552626207	-
7	I0	analysis	1788337548552626207	1788337548700064955	-
7	I0	cooldown	1788337548701738904	1788337578847023808	quiescence=timeout elapsed_ms=30133
8	P	launch	1788337578852151691	1788337587856768259	-
8	P	request	1788337587856768259	1788337595164571482	-
8	P	teardown	1788337595164571482	1788337595908655368	-
8	P	analysis	1788337595908655368	1788337596048983378	-
8	P	cooldown	1788337596049790551	1788337626138837782	quiescence=timeout elapsed_ms=30080
9	I0	launch	1788337626143015742	1788337635051074206	-
9	I0	request	1788337635051074206	1788337642358090325	-
9	I0	teardown	1788337642358090325	1788337643178014759	-
9	I0	analysis	1788337643178014759	1788337643303534208	-
9	I0	cooldown	1788337643304431039	1788337673318635461	quiescence=timeout elapsed_ms=30004
10	I1	launch	1788337673323660806	1788337682329356677	-
10	I1	request	1788337682329356677	1788337689772922716	-
10	I1	teardown	1788337689772922716	1788337690627687047	-
10	I1	analysis	1788337690627687047	1788337691940557045	-
10	I1	cooldown	1788337691942283178	1788337722057264274	quiescence=timeout elapsed_ms=30106
11	I1	launch	1788337722061544691	1788337730913975098	-
11	I1	request	1788337730913975098	1788337738245719932	-
11	I1	teardown	1788337738245719932	1788337739043594217	-
11	I1	analysis	1788337739043594217	1788337740336162223	-
11	I1	cooldown	1788337740337098717	1788337770482033866	quiescence=timeout elapsed_ms=30132
12	I0	launch	1788337770487058706	1788337779326198086	-
12	I0	request	1788337779326198086	1788337786628163086	-
12	I0	teardown	1788337786628163086	1788337787466292609	-
12	I0	analysis	1788337787466292609	1788337787590769479	-
12	I0	cooldown	1788337787591636242	1788337817698758980	quiescence=timeout elapsed_ms=30098
13	S	launch	1788337817704138563	1788337827603858635	-
13	S	request	1788337827603858635	1788337855496929617	-
13	S	teardown	1788337855496929617	1788337856443045797	-
13	S	analysis	1788337856443045797	1788337856631919360	-
13	S	cooldown	1788337856632788006	1788337886643428116	quiescence=timeout elapsed_ms=30002
-	-	campaign	1788337199966368826	1788337887396308280	-
