field	value	per_superblock
run_mode	device	-
spirv_path	$HOME/e1-lab-20260902/spv/control-nsh.spv	-
spirv_sha256	5b149b211ed2739f170d764efb9782c6a3bb6ae8399512ba8dc0c681c62cfdc8	-
spirv_bytes	17320	-
nir_sha256	7ace068a9ca4c82d55671259d88b1745de28a84c23ee2cd757ed0a68106a39bd	-
isa_sha256	ad837848d58d6167f3638a9d2bbbbe276f37b4cd282559f77ef42c7d03af2f61	-
device_name	AMD Radeon Graphics (RADV RAVEN2)	-
driver_name	radv	-
driver_info	Mesa 26.2.1+git2608201115.88947685514~n~mesarc0	-
device_api_version	1.4.354	-
spirv_capabilities	Shader,Int8,GroupNonUniform,GroupNonUniformArithmetic,StorageBuffer16BitAccess,StorageBuffer8BitAccess	-
features_enabled	shaderInt8,storageBuffer16BitAccess,storageBuffer8BitAccess,subgroupSizeControl,computeFullSubgroups	-
robust_buffer_access	off	-
spec_constants	0:64,1:4,2:1	-
bindings	5	-
push_constant_bytes	52	-
subgroup_size_requested	64	-
subgroup_size_min	64	-
subgroup_size_max	64	-
per_superblock_divisor	256	-
vgprs	64	-
sgprs	48	-
spilled_vgprs	0	-
spilled_sgprs	0	-
lds	0	-
scratch	0	-
code_size	6764	-
waves_per_simd	-	-
instruction_lines	1436	5.6094
valu	882	3.4453
salu	414	1.6172
vmem	56	0.2188
smem	37	0.1445
lds_instructions	0	0.0000
waitcnt	82	0.3203
barrier	0	0.0000
v_cvt_f32_ubyte	192	0.7500
v_bfe	2	0.0078
v_lshrrev_b32	32	0.1250
v_lshlrev_b32	16	0.0625
v_and_b32	54	0.2109
v_perm_b32	0	0.0000
sdwa_operand_uses	16	0.0625
dpp_uses	32	0.1250
v_mul_lo_u32	0	0.0000
v_mad_u32_u24	0	0.0000
v_mad_i32_i24	0	0.0000
v_mul_u32_u24	0	0.0000
v_fma_f32	0	0.0000
v_mac_f32	248	0.9688
v_mad_mix_f32	0	0.0000
v_pk_fma_f16	0	0.0000
v_cvt_f32_f16	16	0.0625
