block	first_line	last_line	terminator	instructions	valu	vmem	lds	salu	waitcnt	longest_valu_chain	max_vmem_in_flight	max_lgkm_in_flight	vmcnt_arguments	lgkmcnt_arguments
1	2	9	s_cbranch_scc0	8	0	0	0	7	1	0	0	1	-	0
2	11	13	s_cbranch_scc0	3	0	0	0	3	0	0	0	0	-	-
3	15	78	s_branch	64	15	0	0	49	0	5	0	0	-	-
4	80	80	-	1	0	0	0	1	0	0	0	0	-	-
5	82	99	s_branch	18	14	0	0	4	0	5	0	0	-	-
6	101	530	-	430	365	24	0	19	22	29	24	1	23,22,21,20,18,17,16,15,14,13,12,11,10,8,7,6,5,3,2,1,0	0
7	532	533	-	2	1	0	0	1	0	1	0	0	-	-
8	535	536	s_cbranch_scc1	2	0	0	0	2	0	0	0	0	-	-
9	538	542	-	5	1	0	2	2	0	1	0	0	-	-
10	544	557	-	14	4	0	6	0	4	1	0	3	-	1,0,1,0
11	559	559	-	1	0	0	0	1	0	0	0	0	-	-
12	561	574	-	14	4	0	6	0	4	1	0	3	-	1,0,1,0
13	576	576	-	1	0	0	0	1	0	0	0	0	-	-
14	578	591	-	14	4	0	6	0	4	1	0	3	-	1,0,1,0
15	593	593	-	1	0	0	0	1	0	0	0	0	-	-
16	595	608	-	14	4	0	6	0	4	1	0	3	-	1,0,1,0
17	610	610	-	1	0	0	0	1	0	0	0	0	-	-
18	612	625	-	14	4	0	6	0	4	1	0	3	-	1,0,1,0
19	627	628	-	2	0	0	0	2	0	0	0	0	-	-
20	630	648	-	19	5	0	10	0	4	1	0	3	-	0,0,0,0
21	650	651	s_cbranch_execz	2	0	0	0	2	0	0	0	0	-	-
22	653	654	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
23	656	670	s_branch	15	2	0	2	9	2	1	0	2	-	0,0
24	672	672	-	1	0	0	0	1	0	0	0	0	-	-
25	674	675	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
26	677	691	s_branch	15	2	0	2	9	2	1	0	2	-	0,0
27	693	693	-	1	0	0	0	1	0	0	0	0	-	-
28	695	706	s_cbranch_scc0	12	1	1	1	8	1	1	0	2	-	0
29	708	718	s_branch	11	2	0	2	5	2	1	0	2	-	0,0
30	720	720	-	1	0	0	0	1	0	0	0	0	-	-
31	722	723	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
32	725	735	s_branch	11	2	0	2	5	2	1	0	2	-	0,0
33	737	737	-	1	0	0	0	1	0	0	0	0	-	-
34	739	745	s_cbranch_scc0	7	1	1	1	3	1	1	0	1	-	0
