label	category	count	share_percent	per_row	mnemonics
mul_mat_vec_q4_k_f32_f32	dot_float	152	41.5	38.00	v_mac_f32_e32=124,v_mad_f32=4,v_mul_f32_e32=24
mul_mat_vec_q4_k_f32_f32	unpack_convert	165	45.1	41.25	v_add_u32_e32=5,v_alignbyte_b32=8,v_and_b32_e32=24,v_and_or_b32=4,v_cvt_f32_f16_e32=4,v_cvt_f32_f16_sdwa=4,v_cvt_f32_ubyte0_e32=24,v_cvt_f32_ubyte1_e32=24,v_cvt_f32_ubyte2_e32=24,v_cvt_f32_ubyte3_e32=24,v_lshl_or_b32=4,v_lshrrev_b32_e32=12,v_mov_b32_sdwa=4
mul_mat_vec_q4_k_f32_f32	address	48	13.1	12.00	v_add_u32_e32=33,v_and_b32_e32=1,v_lshl_add_u32=5,v_lshlrev_b32_e32=7,v_lshrrev_b32_e32=2
mul_mat_vec_q4_k_f32_f32	lane_mask	1	0.3	0.25	v_cmpx_le_u32_e32=1
mul_mat_vec_q4_k_f32_f32	valu_total	366	100.0	91.50	-
mul_mat_vec_q6_k_f32_f32	dot_float	148	42.7	37.00	v_add_f32_e32=64,v_mac_f32_e32=63,v_mad_f32=1,v_mul_f32_e32=20
mul_mat_vec_q6_k_f32_f32	unpack_convert	150	43.2	37.50	v_add3_u32=4,v_add_u32_e32=8,v_alignbyte_b32=12,v_and_b32_e32=20,v_and_or_b32=12,v_cvt_f32_f16_e32=4,v_cvt_f32_i32_e32=4,v_cvt_f32_ubyte0_e32=16,v_cvt_f32_ubyte1_e32=16,v_cvt_f32_ubyte2_e32=16,v_cvt_f32_ubyte3_e32=16,v_lshl_or_b32=4,v_lshlrev_b32_e32=4,v_lshrrev_b32_e32=12,v_mov_b32_e32=2
mul_mat_vec_q6_k_f32_f32	address	49	14.1	12.25	v_add3_u32=8,v_add_u32_e32=15,v_and_b32_e32=4,v_lshl_add_u32=15,v_lshlrev_b32_e32=6,v_lshrrev_b32_e32=1
mul_mat_vec_q6_k_f32_f32	lane_mask	0	0.0	0.00	-
mul_mat_vec_q6_k_f32_f32	valu_total	347	100.0	86.75	-
e4-control	dot_float	152	41.5	38.00	v_mac_f32_e32=124,v_mad_f32=4,v_mul_f32_e32=24
e4-control	unpack_convert	165	45.1	41.25	v_add_u32_e32=5,v_alignbyte_b32=8,v_and_b32_e32=24,v_and_or_b32=4,v_cvt_f32_f16_e32=4,v_cvt_f32_f16_sdwa=4,v_cvt_f32_ubyte0_e32=24,v_cvt_f32_ubyte1_e32=24,v_cvt_f32_ubyte2_e32=24,v_cvt_f32_ubyte3_e32=24,v_lshl_or_b32=4,v_lshrrev_b32_e32=12,v_mov_b32_sdwa=4
e4-control	address	48	13.1	12.00	v_add_u32_e32=33,v_and_b32_e32=1,v_lshl_add_u32=5,v_lshlrev_b32_e32=7,v_lshrrev_b32_e32=2
e4-control	lane_mask	1	0.3	0.25	v_cmpx_le_u32_e32=1
e4-control	valu_total	366	100.0	91.50	-
e4-candidate	dot_float	116	35.2	29.00	v_add_f32_e32=12,v_mac_f32_e32=76,v_mad_f32=4,v_mul_f32_e32=24
e4-candidate	unpack_convert	165	50.0	41.25	v_add_u32_e32=5,v_alignbyte_b32=8,v_and_b32_e32=24,v_and_or_b32=4,v_cvt_f32_f16_e32=4,v_cvt_f32_f16_sdwa=4,v_cvt_f32_ubyte0_e32=24,v_cvt_f32_ubyte1_e32=24,v_cvt_f32_ubyte2_e32=24,v_cvt_f32_ubyte3_e32=24,v_lshl_or_b32=4,v_lshrrev_b32_e32=12,v_mov_b32_sdwa=4
e4-candidate	address	48	14.5	12.00	v_add_u32_e32=33,v_and_b32_e32=1,v_lshl_add_u32=5,v_lshlrev_b32_e32=7,v_lshrrev_b32_e32=2
e4-candidate	lane_mask	1	0.3	0.25	v_cmpx_le_u32_e32=1
e4-candidate	valu_total	330	100.0	82.50	-
