slot	arm	phase	begin_ns	end_ns	note
0a	W	launch	1788381148479247698	1788381162757058543	-
0a	W	request	1788381162757058543	1788381170234891605	-
0a	W	teardown	1788381170234891605	1788381171150429323	-
0a	W	analysis	1788381171150429323	1788381171305301514	-
0a	W	cooldown	1788381171306765976	1788381201457560542	quiescence=timeout elapsed_ms=30140
1	C	launch	1788381201464189963	1788381211526969156	-
1	C	request	1788381211526969156	1788381218640471481	-
1	C	teardown	1788381218640471481	1788381219376856828	-
1	C	analysis	1788381219376856828	1788381219517523374	-
1	C	cooldown	1788381219518388415	1788381249534297618	quiescence=timeout elapsed_ms=30007
2	K	launch	1788381249539969381	1788381259270470031	-
2	K	request	1788381259270470031	1788381266433542239	-
2	K	teardown	1788381266433542239	1788381267359192085	-
2	K	analysis	1788381267359192085	1788381267496544700	-
2	K	cooldown	1788381267497378735	1788381297620567940	quiescence=timeout elapsed_ms=30113
3	K	launch	1788381297624920064	1788381307286529633	-
3	K	request	1788381307286529633	1788381314649997830	-
3	K	teardown	1788381314649997830	1788381315691672364	-
3	K	analysis	1788381315691672364	1788381315832827903	-
3	K	cooldown	1788381315833901190	1788381345856063262	quiescence=timeout elapsed_ms=30009
4	C	launch	1788381345860860279	1788381353899970438	-
4	C	request	1788381353899970438	1788381361000618871	-
4	C	teardown	1788381361000618871	1788381361911857275	-
4	C	analysis	1788381361911857275	1788381362062677932	-
4	C	cooldown	1788381362063446500	1788381392087520869	quiescence=timeout elapsed_ms=30015
5	C	launch	1788381392092947875	1788381400053870138	-
5	C	request	1788381400053870138	1788381407373591822	-
5	C	teardown	1788381407373591822	1788381408324570410	-
5	C	analysis	1788381408324570410	1788381408462527188	-
5	C	cooldown	1788381408463387650	1788381438501612655	quiescence=timeout elapsed_ms=30023
6	K	launch	1788381438506847002	1788381446924297080	-
6	K	request	1788381446924297080	1788381453900834382	-
6	K	teardown	1788381453900834382	1788381454721333836	-
6	K	analysis	1788381454721333836	1788381454944658199	-
6	K	cooldown	1788381454945719216	1788381485060614401	quiescence=timeout elapsed_ms=30104
7	K	launch	1788381485065180902	1788381493823566552	-
7	K	request	1788381493823566552	1788381500935566886	-
7	K	teardown	1788381500935566886	1788381501966204944	-
7	K	analysis	1788381501966204944	1788381502119303990	-
7	K	cooldown	1788381502120083609	1788381532235424136	quiescence=timeout elapsed_ms=30106
8	C	launch	1788381532239891417	1788381542266585109	-
8	C	request	1788381542266585109	1788381549690837069	-
8	C	teardown	1788381549690837069	1788381550637162763	-
8	C	analysis	1788381550637162763	1788381550779196465	-
8	C	cooldown	1788381550780193760	1788381580877078049	quiescence=timeout elapsed_ms=30088
-	-	campaign	1788381148463933122	1788381580923164444	-
