block	first_line	last_line	terminator	instructions	valu	vmem	lds	salu	waitcnt	longest_valu_chain	max_vmem_in_flight	max_lgkm_in_flight	vmcnt_arguments	lgkmcnt_arguments
1	2	8	s_cbranch_scc0	7	0	0	0	6	1	0	0	1	-	0
2	10	12	s_cbranch_scc0	3	0	0	0	3	0	0	0	0	-	-
3	14	77	s_branch	64	15	0	0	49	0	5	0	0	-	-
4	79	79	-	1	0	0	0	1	0	0	0	0	-	-
5	81	95	s_branch	15	7	0	0	8	0	3	0	0	-	-
6	97	496	-	400	366	16	0	6	12	23	6	1	5,3,2,3,2,1,3,2,3,1,0	0
7	498	499	-	2	1	0	0	1	0	1	0	0	-	-
8	501	502	s_cbranch_scc1	2	0	0	0	2	0	0	0	0	-	-
9	504	506	s_cbranch_execz	3	1	0	0	2	0	1	0	0	-	-
10	508	707	-	200	181	8	0	5	6	19	6	1	3,2,3,1,0	0
11	709	711	s_cbranch_execz	3	1	0	0	2	0	1	0	0	-	-
12	713	813	-	101	88	4	0	5	4	17	4	1	3,1,0	0
13	815	831	-	17	8	0	0	9	0	8	0	0	-	-
14	833	834	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
15	836	847	s_branch	12	2	0	0	8	2	2	0	1	-	0,0
16	849	849	-	1	1	0	0	0	0	1	0	0	-	-
17	851	852	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
18	854	863	-	10	1	0	0	7	2	1	0	1	-	0,0
19	865	872	s_branch	8	0	1	0	6	1	0	0	1	-	0
20	874	875	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
21	877	880	s_cbranch_scc0	4	0	0	0	4	0	0	0	0	-	-
22	882	945	s_branch	64	15	0	0	49	0	5	0	0	-	-
23	947	947	-	1	0	0	0	1	0	0	0	0	-	-
24	949	964	-	16	7	0	0	9	0	3	0	0	-	-
25	966	968	-	3	1	0	0	2	0	1	0	0	-	-
26	970	971	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
27	973	991	s_cbranch_scc0	19	11	0	0	7	1	6	0	0	-	0
28	993	1079	-	87	77	4	0	2	4	17	4	1	3,1,0	0
29	1081	1092	s_cbranch_scc0	12	11	0	0	1	0	7	0	0	-	-
30	1094	1180	-	87	77	4	0	2	4	17	4	1	3,1,0	0
31	1182	1193	s_cbranch_scc0	12	11	0	0	1	0	7	0	0	-	-
32	1195	1281	-	87	77	4	0	2	4	17	4	1	3,1,0	0
33	1283	1294	s_cbranch_scc0	12	11	0	0	1	0	7	0	0	-	-
34	1296	1382	-	87	77	4	0	2	4	17	4	1	3,1,0	0
35	1384	1386	s_branch	3	2	0	0	1	0	1	0	0	-	-
36	1388	1390	s_cbranch_execz	3	1	0	0	2	0	1	0	0	-	-
37	1392	1409	s_cbranch_scc0	18	11	0	0	6	1	6	0	0	-	0
38	1411	1497	-	87	77	4	0	2	4	17	4	1	3,1,0	0
39	1499	1510	s_cbranch_scc0	12	11	0	0	1	0	7	0	0	-	-
40	1512	1598	-	87	77	4	0	2	4	17	4	1	3,1,0	0
41	1600	1602	-	3	2	0	0	1	0	1	0	0	-	-
42	1604	1606	s_cbranch_execz	3	1	0	0	2	0	1	0	0	-	-
43	1608	1625	s_cbranch_scc0	18	11	0	0	6	1	6	0	0	-	0
44	1627	1713	-	87	77	4	0	2	4	17	4	1	3,1,0	0
45	1715	1715	-	1	0	0	0	1	0	0	0	0	-	-
46	1717	1719	s_cbranch_scc0	3	0	0	0	3	0	0	0	0	-	-
47	1721	1737	-	17	9	0	0	8	0	8	0	0	-	-
48	1739	1741	s_cbranch_execz	3	0	0	0	3	0	0	0	0	-	-
49	1743	1744	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
50	1746	1756	-	11	1	0	0	7	3	1	0	1	-	0,0,0
51	1758	1759	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
52	1761	1770	-	10	1	0	0	7	2	1	0	1	-	0,0
53	1772	1778	-	7	0	1	0	5	1	0	0	1	-	0
54	1780	1780	s_endpgm	1	0	0	0	0	0	0	0	0	-	-
