block	first_line	last_line	terminator	instructions	valu	vmem	lds	salu	waitcnt	longest_valu_chain	max_vmem_in_flight	max_lgkm_in_flight	vmcnt_arguments	lgkmcnt_arguments
1	2	8	s_cbranch_scc0	7	0	0	0	6	1	0	0	1	-	0
2	10	12	s_cbranch_scc0	3	0	0	0	3	0	0	0	0	-	-
3	14	77	s_branch	64	15	0	0	49	0	5	0	0	-	-
4	79	79	-	1	0	0	0	1	0	0	0	0	-	-
5	81	95	s_branch	15	7	0	0	8	0	3	0	0	-	-
6	97	485	-	389	355	16	0	6	12	24	6	1	5,3,2,3,2,1,4,3,3,1,0	0
7	487	488	-	2	1	0	0	1	0	1	0	0	-	-
8	490	491	s_cbranch_scc1	2	0	0	0	2	0	0	0	0	-	-
9	493	495	s_cbranch_execz	3	1	0	0	2	0	1	0	0	-	-
10	497	692	-	196	177	8	0	5	6	19	6	1	3,2,3,1,0	0
11	694	696	s_cbranch_execz	3	1	0	0	2	0	1	0	0	-	-
12	698	796	-	99	86	4	0	5	4	17	4	1	3,1,0	0
13	798	814	-	17	8	0	0	9	0	8	0	0	-	-
14	816	817	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
15	819	830	s_branch	12	2	0	0	8	2	2	0	1	-	0,0
16	832	832	-	1	1	0	0	0	0	1	0	0	-	-
17	834	835	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
18	837	846	-	10	1	0	0	7	2	1	0	1	-	0,0
19	848	855	s_branch	8	0	1	0	6	1	0	0	1	-	0
20	857	858	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
21	860	863	s_cbranch_scc0	4	0	0	0	4	0	0	0	0	-	-
22	865	928	s_branch	64	15	0	0	49	0	5	0	0	-	-
23	930	930	-	1	0	0	0	1	0	0	0	0	-	-
24	932	947	-	16	7	0	0	9	0	3	0	0	-	-
25	949	951	-	3	1	0	0	2	0	1	0	0	-	-
26	953	954	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
27	956	974	s_cbranch_scc0	19	11	0	0	7	1	6	0	0	-	0
28	976	1060	-	85	75	4	0	2	4	17	4	1	3,1,0	0
29	1062	1073	s_cbranch_scc0	12	11	0	0	1	0	7	0	0	-	-
30	1075	1159	-	85	75	4	0	2	4	17	4	1	3,1,0	0
31	1161	1172	s_cbranch_scc0	12	11	0	0	1	0	7	0	0	-	-
32	1174	1258	-	85	75	4	0	2	4	17	4	1	3,1,0	0
33	1260	1271	s_cbranch_scc0	12	11	0	0	1	0	7	0	0	-	-
34	1273	1357	-	85	75	4	0	2	4	17	4	1	3,1,0	0
35	1359	1361	s_branch	3	2	0	0	1	0	1	0	0	-	-
36	1363	1365	s_cbranch_execz	3	1	0	0	2	0	1	0	0	-	-
37	1367	1384	s_cbranch_scc0	18	11	0	0	6	1	6	0	0	-	0
38	1386	1470	-	85	75	4	0	2	4	17	4	1	3,1,0	0
39	1472	1483	s_cbranch_scc0	12	11	0	0	1	0	7	0	0	-	-
40	1485	1569	-	85	75	4	0	2	4	17	4	1	3,1,0	0
41	1571	1573	-	3	2	0	0	1	0	1	0	0	-	-
42	1575	1577	s_cbranch_execz	3	1	0	0	2	0	1	0	0	-	-
43	1579	1596	s_cbranch_scc0	18	11	0	0	6	1	6	0	0	-	0
44	1598	1682	-	85	75	4	0	2	4	17	4	1	3,1,0	0
45	1684	1684	-	1	0	0	0	1	0	0	0	0	-	-
46	1686	1688	s_cbranch_scc0	3	0	0	0	3	0	0	0	0	-	-
47	1690	1706	-	17	9	0	0	8	0	8	0	0	-	-
48	1708	1710	s_cbranch_execz	3	0	0	0	3	0	0	0	0	-	-
49	1712	1713	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
50	1715	1725	-	11	1	0	0	7	3	1	0	1	-	0,0,0
51	1727	1728	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
52	1730	1739	-	10	1	0	0	7	2	1	0	1	-	0,0
53	1741	1747	-	7	0	1	0	5	1	0	0	1	-	0
54	1749	1749	s_endpgm	1	0	0	0	0	0	0	0	0	-	-
