op	name	calls_per_block	total_us	mean_us
op	MUL_MAT	241.000	17674447.3	1164.095
op	MUL_MAT_ADD	40.000	3938405.6	1562.859
op	RMS_NORM_MUL	105.000	2498131.4	377.646
op	GET_ROWS	50.000	1301745.2	413.252
op	CPY	48.000	1139555.2	376.837
op	MUL	56.000	1111166.7	314.957
op	GATED_DELTA_NET	24.000	871248.9	576.223
op	L2_NORM	48.000	862113.7	285.091
op	ADD	48.000	775709.1	256.518
op	SIGMOID	32.000	671572.4	333.121
op	GLU	32.000	646168.3	320.520
op	SILU	24.000	524001.2	346.562
op	SOFTPLUS	24.000	419316.4	277.326
op	CONCAT	24.000	410300.1	271.363
op	SSM_CONV_SILU	24.000	390308.3	258.140
op	SET_ROWS	16.000	339365.5	336.672
op	ROPE	16.000	337956.8	335.275
op	FLASH_ATTN_EXT	8.000	202812.4	402.406
op	CONT	8.000	168431.1	334.189
blocks	64	ops=19
decode_blocks	63
prefill_blocks	1
unknown_blocks	0
