pipeline	id	name	constants	wg_denoms	subgroup	calls_per_graph	workgroups_per_graph	total_bracket_upper_bound_ms	pipeline_bracket_union_ms	exclusive_bracket_ms	ambiguous_overlap_ms	median_us	p90_us	p99_us	max_us	vgprs	sgprs	spilled_vgprs	lds	scratch	subgroups_per_simd	spirv_executed_sha256
pipeline	29	matmul_q4_k_f32_f16acc_aligned_s	64,32,32,32,32,32,2,2,2,1,64,1	32,32,1	0	216.000	30896.0	1210.775	1176.156	1067.115	109.041	4419.7	10021.4	11712.8	11785.3	64	64	0	4608	0	4	85a4095ad4619519d7e7e23fdf68d68c9b8962206cf6046dc85e9bd61276f262
pipeline	28	matmul_q6_k_f32_f16acc_aligned_s	64,32,32,32,32,32,2,2,2,1,64,1	32,32,1	0	32.000	4480.0	301.092	301.092	283.463	17.630	10409.4	12219.8	12334.6	12334.6	64	64	0	4608	0	4	338ceaa67ba8db463d40a7a7e2def81ab71b262b3539d928dc0e65c939a0e447
pipeline	3	scale_f32	-	512,1,1	0	48.000	25728.0	39.545	39.545	0.356	39.189	927.0	1207.8	1305.9	1305.9	4	32	0	0	0	10	9441ec09d452720ca49159c539936d6cccb75e272514b9f5344386baaf1d029d
pipeline	27	mul_mat_vec_q6_k_f32_f32	64,4,1	4,1,1	64	1.000	62080.0	38.689	38.689	38.689	0.000	38688.8	38688.8	38688.8	38688.8	64	48	0	512	0	4	d584d6b41c26085ac1bef3236b4c24e71f0e98ddcf63ff12da46381b0c12c779
pipeline	16	gated_delta_net_f32_d128	128,0,64,8	1,1,8	64	24.000	12288.0	21.799	21.799	21.791	0.008	892.3	921.3	1116.3	1116.3	64	48	0	0	0	4	82506bf6a83dcccbd56107c5bd56f2f7848aea36a2237b8591d6db13539c33ba
pipeline	17	contig_cpy_f32_f32	-	512,1,1	0	24.000	24576.0	19.685	19.685	0.242	19.443	823.1	915.4	1018.1	1018.1	8	32	0	0	0	10	65ad91fafe69ecd250f575d3e64b2feab853293aca2e77b4b5d8adc5cb6a5297
pipeline	2	rms_norm_mul_f32	0,1	1,1,1	0	105.000	18867.0	14.789	14.789	13.901	0.888	45.9	371.8	695.7	756.3	40	96	0	2048	0	6	f8ff313d10a2b769f5600531fdf16d56075b901b5025f1f8aef9fe5a9f799193
pipeline	10	l2_norm_f32	-	1,1,1	0	48.000	14592.0	14.291	8.796	0.348	8.449	253.6	370.1	371.5	371.5	8	48	0	2048	0	10	a48a4f1949509e775f7c204c146ac883eb9e216a0656e120a74be5e1d215e24e
pipeline	7	cpy_f32_f32	-	512,1,1	0	32.000	2368.0	9.914	9.914	0.646	9.268	398.5	421.3	429.4	429.4	16	48	0	0	0	10	42df294d98fcb62fe55a28d0606af612b3db2974fcfcd1f54a556df93914fe1c
pipeline	8	ssm_conv_silu_f32	32,16,0,1	32,16,1	0	24.000	12288.0	8.660	8.660	0.133	8.527	370.3	391.5	396.2	396.2	12	32	0	0	0	10	e5deee0b5cdb126d8de0c65a8a2b58cf1a5b4aae664cefee20adfa556837b3cc
