prompt	comparison	samples	id_identity	first_divergence	positions	unread_positions	near_tie_positions	min_control_margin	min_candidate_margin	min_retention	retention_failures	nonpositive_candidate_margins	max_truncated_tv	max_abs_logprob_delta	verdict
accumulator	self-C	4	held	-	128	-	-	-	-	-	-	-	-	0	held
accumulator	self-K	4	held	-	128	-	-	-	-	-	-	-	-	0	held
accumulator	candidate-vs-control	4	held	-	512	0	0	0.177113	0.177113	1	0	0	0	0	held
constraints	self-C	4	held	-	128	-	-	-	-	-	-	-	-	0	held
constraints	self-K	4	held	-	128	-	-	-	-	-	-	-	-	0	held
constraints	candidate-vs-control	4	held	-	512	0	12	0.0373383	0.0373383	1	0	0	0	0	held
list-transform	self-C	4	held	-	128	-	-	-	-	-	-	-	-	0	held
list-transform	self-K	4	held	-	128	-	-	-	-	-	-	-	-	0	held
list-transform	candidate-vs-control	4	held	-	512	0	0	0.413029	0.413029	1	0	0	0	0	held
stack	self-C	4	held	-	128	-	-	-	-	-	-	-	-	0	held
stack	self-K	4	held	-	128	-	-	-	-	-	-	-	-	0	held
stack	candidate-vs-control	4	held	-	512	0	4	0.036522	0.036522	1	0	0	0	0	held
state-machine	self-C	4	held	-	128	-	-	-	-	-	-	-	-	0	held
state-machine	self-K	4	held	-	128	-	-	-	-	-	-	-	-	0	held
state-machine	candidate-vs-control	4	held	-	512	0	4	0.08634	0.08634	1	0	0	0	0	held
variable-trace	self-C	4	held	-	128	-	-	-	-	-	-	-	-	0	held
variable-trace	self-K	4	held	-	128	-	-	-	-	-	-	-	-	0	held
variable-trace	candidate-vs-control	4	held	-	512	0	12	0.00108897	0.00108897	1	0	0	0	0	held
-	overall	-	-	-	-	-	-	-	-	-	-	-	-	-	held
