slot	arm	server_sha256	predicted_n	predicted_ms	tok_s	census_rows	sidecar	ownership	status	sclk_mode_mhz	sclk_share	regime_delta	clock_invariant	below_required_fraction
0a	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	3310.391	19.031	-	on	-	completed	1100	0.7857	-	-	-
0b	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	3336.831	18.880	-	on	-	completed	1100	0.7637	-	-	-
0c	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	3315.306	19.003	-	on	-	completed	1100	0.7967	-	-	-
0d	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	3328.321	18.928	-	on	-	completed	1100	0.7473	-	-	-
0e	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	3331.497	18.910	-	on	-	completed	1100	0.8087	-	-	-
0f	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	3317.293	18.991	-	on	-	completed	1100	0.8187	-	-	-
0g	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	3308.056	19.044	-	on	-	completed	1100	0.7293	-	-	-
0h	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	3300.879	19.086	-	on	-	completed	1100	0.7143	-	-	-
0i	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	3307.894	19.045	-	on	-	completed	1100	0.6740	-	-	-
0j	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	3320.001	18.976	-	on	-	completed	1100	0.8791	-	-	-
0k	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	3291.217	19.142	-	on	-	completed	1100	0.8333	-	-	-
0l	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	3306.594	19.053	-	on	-	completed	1100	0.9341	-	-	-
0m	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	3292.288	19.136	-	on	-	completed	1100	0.8287	-	-	-
0n	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	3316.736	18.995	-	on	-	completed	1100	0.8516	-	-	-
0o	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	3340.479	18.860	-	on	-	completed	1100	0.8579	-	-	-
0p	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	3302.894	19.074	-	on	-	completed	1100	0.7901	-	-	-
1	C	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	3305.602	19.059	-	on	-	completed	1100	0.9286	-	-	-
2	K	2955d6dd653f3a5cfee6573c1361cf8b694c066905cae1622e4de0d6cb47e98b	64	3303.076	19.073	-	on	-	completed	1100	0.8791	-	-	-
3	K	2955d6dd653f3a5cfee6573c1361cf8b694c066905cae1622e4de0d6cb47e98b	64	3317.487	18.990	-	on	-	completed	1100	0.8022	-	-	-
4	C	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	3313.958	19.011	-	on	-	completed	1100	0.6940	-	-	-
5	C	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	3310.206	19.032	-	on	-	completed	1100	0.8398	-	-	-
6	K	2955d6dd653f3a5cfee6573c1361cf8b694c066905cae1622e4de0d6cb47e98b	64	3289.501	19.152	-	on	-	completed	1100	0.8785	-	-	-
7	K	2955d6dd653f3a5cfee6573c1361cf8b694c066905cae1622e4de0d6cb47e98b	64	3301.235	19.084	-	on	-	completed	1100	0.8619	-	-	-
8	C	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	3316.210	18.998	-	on	-	completed	1100	0.8462	-	-	-
