# clock=CLOCK_MONOTONIC period_ns=20000000 drm_device=/sys/class/drm/card1/device hwmon=/sys/class/hwmon/hwmon6
# sample_rates: gpu_busy_percent_period_ns=20000000 pp_dpm_period_ns=200000000 temp1_input_period_ns=200000000 meminfo_period_ns=2000000000 vmstat_period_ns=2000000000 host_period_ns=2000000000
# interpretation: pp_dpm_sclk_selected_mhz is the selected graphics clock step; pp_dpm_mclk_surface_mhz is the pp_dpm_mclk sysfs surface, which on SMU10 is a fabric-clock state rather than the trained DRAM speed; pp_dpm_fclk_surface_mhz is the pp_dpm_fclk sysfs surface; sclk_actual_mhz is the delivered graphics frequency from hwmon freq1_input, which a forced performance level pins where the selected step states only what was requested
# sampler_pid=2502203 nice=19 cpu_affinity=0,1
monotonic_ns	pp_dpm_sclk_selected_mhz	pp_dpm_mclk_surface_mhz	pp_dpm_fclk_surface_mhz	gpu_busy_percent	temp1_millidegrees	sample_cost_ns	sclk_actual_mhz
# meminfo monotonic_ns=508449376716807 mem_available_kb=27323624 pswpin=8
# host monotonic_ns=508449376716807 load1=0.94 ksm_pages_sharing=0
# dpm_read=508449376716807
508449376716807	400	933	unavailable	0	62000	204545	400
508449396779196	400	933	unavailable	0	62000	375941	400
508449416770652	400	933	unavailable	0	62000	34770	400
508449436782653	400	933	unavailable	0	62000	48374	400
508449456778707	400	933	unavailable	0	62000	400775	400
508449476783185	400	933	unavailable	0	62000	45399	400
508449496782264	400	933	unavailable	0	62000	44277	400
508449516774512	400	933	unavailable	0	62000	428442	400
508449536808311	400	933	unavailable	0	62000	42543	400
508449556815308	400	933	unavailable	0	62000	41171	400
# dpm_read=508449576806766
508449576806766	400	933	unavailable	0	71000	583121	400
508449596799877	400	933	unavailable	0	71000	40611	400
508449616805821	400	933	unavailable	0	71000	40239	400
508449636800364	400	933	unavailable	0	71000	613754	400
508449656783188	400	933	unavailable	0	71000	205967	400
508449676806391	400	933	unavailable	0	71000	41962	400
508449696799792	400	933	unavailable	0	71000	41883	400
508449716800577	400	933	unavailable	0	71000	253239	400
508449736801762	400	933	unavailable	0	71000	39719	400
508449756804710	400	933	unavailable	0	71000	40160	400
# dpm_read=508449776810453
508449776810453	400	933	unavailable	0	71000	451994	400
508449796803274	400	933	unavailable	0	71000	42564	400
508449816771181	400	933	unavailable	0	71000	42654	400
508449836800225	400	933	unavailable	0	71000	468813	400
508449856803814	400	933	unavailable	0	71000	40310	400
508449876783672	400	933	unavailable	0	71000	41683	400
508449896799894	400	933	unavailable	0	71000	575908	400
508449916800458	400	933	unavailable	0	71000	101646	400
508449936803045	400	933	unavailable	0	71000	41813	400
508449956809860	400	933	unavailable	0	71000	41732	400
# dpm_read=508449976810665
508449976810665	400	933	unavailable	0	72000	302624	400
508449996775737	400	933	unavailable	0	72000	43466	400
508450016804089	400	933	unavailable	0	72000	46812	400
508450036803902	400	933	unavailable	0	72000	316669	400
508450056809445	400	933	unavailable	0	72000	45879	400
508450076810961	400	933	unavailable	0	72000	45088	400
508450096811074	400	933	unavailable	0	72000	416262	400
508450116810085	400	933	unavailable	0	72000	42444	400
508450136802525	400	933	unavailable	0	72000	43916	400
508450156807928	400	933	unavailable	0	72000	527574	400
# dpm_read=508450176815033
508450176815033	400	933	unavailable	0	72000	155029	400
508450196782249	400	933	unavailable	0	72000	46010	400
508450216817744	400	933	unavailable	0	72000	618252	400
508450236782646	400	933	unavailable	0	72000	184741	400
508450256823029	400	933	unavailable	0	72000	46872	400
508450276778836	400	933	unavailable	0	72000	45308	400
508450296779731	400	933	unavailable	0	72000	296564	400
508450316778071	400	933	unavailable	0	72000	37324	400
508450336788893	400	933	unavailable	0	72000	47221	400
508450356785891	400	933	unavailable	0	72000	542470	400
# dpm_read=508450376780093
508450376780093	400	933	unavailable	0	72000	119377	400
508450396778083	400	933	unavailable	0	72000	42754	400
508450416778347	400	933	unavailable	0	72000	508641	400
508450436779782	400	933	unavailable	0	72000	44017	400
508450456778002	400	933	unavailable	0	72000	44477	400
508450476777995	400	933	unavailable	0	72000	614656	400
508450496778399	400	933	unavailable	0	72000	144020	400
508450516779845	400	933	unavailable	0	72000	41221	400
508450536777884	400	933	unavailable	0	72000	41582	400
508450556780086	400	933	unavailable	0	72000	249903	400
# dpm_read=508450576780412
508450576780412	400	933	unavailable	0	72000	105693	400
508450596781970	400	933	unavailable	0	72000	41822	400
508450616778519	400	933	unavailable	0	72000	367978	400
508450636777894	400	933	unavailable	0	72000	41752	400
508450656778130	400	933	unavailable	0	72000	40690	400
508450676780659	400	933	unavailable	0	72000	588211	400
508450696777850	400	933	unavailable	0	72000	41031	400
508450716791569	400	933	unavailable	0	72000	40691	400
508450736776659	400	933	unavailable	0	72000	572443	400
508450756777255	400	933	unavailable	0	72000	105083	400
# dpm_read=508450777612209
508450777612209	400	933	unavailable	0	72000	382173	400
508450796780823	400	933	unavailable	0	72000	40810	400
508450816780127	400	933	unavailable	0	72000	206869	400
508450836777428	400	933	unavailable	0	72000	40290	400
508450856780358	400	933	unavailable	0	72000	41542	400
508450876778190	400	933	unavailable	0	72000	328680	400
508450896777054	400	933	unavailable	0	72000	42944	400
508450917081026	400	933	unavailable	0	72000	582901	400
508450936784237	400	933	unavailable	0	72000	414669	400
508450956876402	400	933	unavailable	0	72000	43406	400
# dpm_read=508450977195792
508450977195792	400	933	unavailable	0	72000	643776	400
508450997232110	400	933	unavailable	0	72000	75050	400
508451017037318	400	933	unavailable	0	72000	41923	400
508451036782231	400	933	unavailable	0	72000	40180	400
508451056777508	400	933	unavailable	0	72000	628660	400
508451076778085	400	933	unavailable	0	72000	166819	400
508451096784201	400	933	unavailable	0	72000	41051	400
508451116786070	400	933	unavailable	0	72000	43265	400
508451137478466	400	933	unavailable	0	72000	43034	400
508451156777936	400	933	unavailable	0	72000	40541	400
# dpm_read=508451176780206
508451176780206	400	933	unavailable	0	72000	107286	400
508451196777787	400	933	unavailable	0	72000	384186	400
508451216778614	400	933	unavailable	0	72000	40851	400
508451237304101	400	933	unavailable	0	72000	651379	400
508451257739722	400	933	unavailable	0	72000	41221	400
508451277653057	400	933	unavailable	0	72000	40700	400
508451297029641	400	933	unavailable	0	72000	43646	400
508451316780414	400	933	unavailable	0	72000	589032	400
508451336781041	400	933	unavailable	0	72000	123224	400
508451356791515	400	933	unavailable	0	72000	41752	400
# meminfo monotonic_ns=508451376777877 mem_available_kb=27319152 pswpin=8
# host monotonic_ns=508451376777877 load1=0.94 ksm_pages_sharing=0
# dpm_read=508451376777877
508451376777877	400	933	unavailable	0	72000	791733	400
508451396777932	400	933	unavailable	0	72000	250224	400
508451416777868	400	933	unavailable	0	72000	40299	400
508451436778444	400	933	unavailable	0	72000	40761	400
508451456778810	400	933	unavailable	0	72000	338217	400
508451476778024	400	933	unavailable	0	72000	40490	400
508451496776677	400	933	unavailable	0	72000	42634	400
508451516776322	400	933	unavailable	0	72000	444752	400
508451536778792	400	933	unavailable	0	72000	41011	400
508451556777619	400	933	unavailable	0	72000	41933	400
# dpm_read=508451576777426
508451576777426	400	933	unavailable	0	72000	620347	400
508451596778716	400	933	unavailable	0	72000	82514	400
508451616778804	400	933	unavailable	0	72000	41623	400
508451636778391	400	933	unavailable	0	72000	41743	400
508451656777908	400	933	unavailable	0	72000	190581	400
508451676777686	400	933	unavailable	0	72000	42323	400
508451698037519	400	933	unavailable	0	72000	41682	400
508451716778593	400	933	unavailable	0	72000	296504	400
