# clock=CLOCK_MONOTONIC period_ns=20000000 drm_device=/sys/class/drm/card1/device hwmon=/sys/class/hwmon/hwmon6
# sample_rates: gpu_busy_percent_period_ns=20000000 pp_dpm_period_ns=200000000 temp1_input_period_ns=200000000 meminfo_period_ns=2000000000 vmstat_period_ns=2000000000 host_period_ns=2000000000
# interpretation: pp_dpm_sclk_selected_mhz is the selected graphics clock step; pp_dpm_mclk_surface_mhz is the pp_dpm_mclk sysfs surface, which on SMU10 is a fabric-clock state rather than the trained DRAM speed; pp_dpm_fclk_surface_mhz is the pp_dpm_fclk sysfs surface; sclk_actual_mhz is the delivered graphics frequency from hwmon freq1_input, which a forced performance level pins where the selected step states only what was requested
# sampler_pid=2534553 nice=19 cpu_affinity=0,1
monotonic_ns	pp_dpm_sclk_selected_mhz	pp_dpm_mclk_surface_mhz	pp_dpm_fclk_surface_mhz	gpu_busy_percent	temp1_millidegrees	sample_cost_ns	sclk_actual_mhz
# meminfo monotonic_ns=508537387275102 mem_available_kb=27329748 pswpin=8
# host monotonic_ns=508537387275102 load1=0.86 ksm_pages_sharing=0
# dpm_read=508537387275102
508537387275102	400	933	unavailable	0	62000	635777	400
508537407338472	400	933	unavailable	0	62000	206135	400
508537427332346	400	933	unavailable	0	62000	34381	400
508537447350136	400	933	unavailable	0	62000	718043	400
508537467340557	400	933	unavailable	0	62000	93315	400
508537487341436	400	933	unavailable	0	62000	41384	400
508537507341174	400	933	unavailable	0	62000	42585	400
508537527334159	400	933	unavailable	0	62000	205604	400
508537547335809	400	933	unavailable	0	62000	33700	400
508537567325133	400	933	unavailable	0	62000	31826	400
# dpm_read=508537587361240
508537587361240	400	933	unavailable	0	73000	371499	400
508537607337251	400	933	unavailable	0	73000	45892	400
508537627326626	400	933	unavailable	0	73000	32237	400
508537647336247	400	933	unavailable	0	73000	421467	400
508537667360574	400	933	unavailable	0	73000	40612	400
508537687358844	400	933	unavailable	0	73000	39711	400
508537707366091	400	933	unavailable	0	73000	504925	400
508537727368869	400	933	unavailable	0	73000	50620	400
508537747338850	400	933	unavailable	0	73000	39660	400
508537767362666	400	933	unavailable	0	73000	616262	400
# dpm_read=508537787364292
508537787364292	400	933	unavailable	0	73000	222815	400
508537807362022	400	933	unavailable	0	73000	42425	400
508537827365802	400	933	unavailable	0	73000	39921	400
508537847338006	400	933	unavailable	0	73000	311262	400
508537867363024	400	933	unavailable	0	73000	39210	400
508537887361846	400	933	unavailable	0	73000	42385	400
508537907363793	400	933	unavailable	0	73000	364506	400
508537927359940	400	933	unavailable	0	73000	39199	400
508537947339457	400	933	unavailable	0	73000	41935	400
508537967362852	400	933	unavailable	0	73000	470364	400
# dpm_read=508537987361163
508537987361163	400	933	unavailable	0	73000	116286	400
508538007370403	400	933	unavailable	0	73000	41754	400
508538027381316	400	933	unavailable	0	73000	559442	400
508538047341729	400	933	unavailable	0	73000	136513	400
508538067368941	400	933	unavailable	0	73000	46202	400
508538087361171	400	933	unavailable	0	73000	44599	400
508538107344235	400	933	unavailable	0	73000	241989	400
508538127367620	400	933	unavailable	0	73000	44188	400
508538147340826	400	933	unavailable	0	73000	46302	400
508538167366115	400	933	unavailable	0	73000	330125	400
# dpm_read=508538187342877
508538187342877	400	933	unavailable	0	73000	120834	400
508538207342360	400	933	unavailable	0	73000	46222	400
508538227342464	400	933	unavailable	0	73000	460166	400
508538247343138	400	933	unavailable	0	73000	46122	400
508538267339886	400	933	unavailable	0	73000	41323	400
508538287385120	400	933	unavailable	0	73000	528457	400
508538307344091	400	933	unavailable	0	73000	103093	400
508538328020314	400	933	unavailable	0	73000	528918	400
508538347364775	400	933	unavailable	0	73000	42445	400
508538367342279	400	933	unavailable	0	73000	323904	400
# dpm_read=508538387337063
508538387337063	400	933	unavailable	0	73000	110195	400
508538407337017	400	933	unavailable	0	73000	41483	400
508538427335938	400	933	unavailable	0	73000	325337	400
508538447377295	400	933	unavailable	0	73000	42415	400
508538467337448	400	933	unavailable	0	73000	42145	400
508538487338434	400	933	unavailable	0	73000	429772	400
508538507460764	400	933	unavailable	0	73000	41494	400
508538527340294	400	933	unavailable	0	73000	41654	400
508538547334688	400	933	unavailable	0	73000	540378	400
508538567335508	400	933	unavailable	0	73000	74953	400
# dpm_read=508538588042672
508538588042672	400	933	unavailable	0	73000	476505	400
508538607337922	400	933	unavailable	0	73000	42526	400
508538627336410	400	933	unavailable	0	73000	182513	400
508538647350805	400	933	unavailable	0	73000	41263	400
508538667337221	400	933	unavailable	0	73000	40441	400
508538687337261	400	933	unavailable	0	73000	292919	400
508538707335808	400	933	unavailable	0	73000	42385	400
508538727335507	400	933	unavailable	0	73000	40652	400
508538747336920	400	933	unavailable	0	73000	398687	400
508538767519203	400	933	unavailable	0	73000	44098	400
# dpm_read=508538787340345
508538787340345	400	933	unavailable	0	73000	105517	400
508538807342569	400	933	unavailable	0	73000	603561	400
508538827336709	400	933	unavailable	0	73000	39680	400
508538847335596	400	933	unavailable	0	73000	42706	400
508538867929189	400	933	unavailable	0	73000	42265	400
508538887359719	400	933	unavailable	0	73000	127947	400
508538907343530	400	933	unavailable	0	73000	41664	400
508538927335766	400	933	unavailable	0	73000	41704	400
508538947336277	400	933	unavailable	0	73000	259701	400
508538967339262	400	933	unavailable	0	73000	40051	400
# dpm_read=508538987336307
508538987336307	400	933	unavailable	0	72000	109364	400
508539007338891	400	933	unavailable	0	72000	366931	400
508539027516416	400	933	unavailable	0	72000	41694	400
508539047509413	400	933	unavailable	0	72000	41364	400
508539067349319	400	933	unavailable	0	72000	462781	400
508539087335875	400	933	unavailable	0	72000	40432	400
508539107335504	400	933	unavailable	0	72000	42095	400
508539127336236	400	933	unavailable	0	72000	583094	400
508539147334562	400	933	unavailable	0	72000	122838	400
508539167830352	400	933	unavailable	0	72000	41032	400
# dpm_read=508539187347565
508539187347565	400	933	unavailable	0	72000	679225	400
508539207337617	400	933	unavailable	0	72000	225490	400
508539227349278	400	933	unavailable	0	72000	41774	400
508539247335323	400	933	unavailable	0	72000	41023	400
508539267335333	400	933	unavailable	0	72000	338270	400
508539287335663	400	933	unavailable	0	72000	41634	400
508539307336956	400	933	unavailable	0	72000	41343	400
508539327335693	400	933	unavailable	0	72000	444959	400
508539347340542	400	933	unavailable	0	72000	48055	400
508539367339630	400	933	unavailable	0	72000	40952	400
# meminfo monotonic_ns=508539387335162 mem_available_kb=27320224 pswpin=8
# host monotonic_ns=508539387335162 load1=0.86 ksm_pages_sharing=0
# dpm_read=508539387335162
508539387335162	400	933	unavailable	0	72000	678764	400
508539407475490	400	933	unavailable	0	72000	36295	400
508539427339359	400	933	unavailable	0	72000	40862	400
508539447645862	400	933	unavailable	0	72000	350742	400
508539467340421	400	933	unavailable	0	72000	190768	400
508539487339268	400	933	unavailable	0	72000	41995	400
508539507337665	400	933	unavailable	0	72000	37587	400
508539527344006	400	933	unavailable	0	72000	297919	400
