# clock=CLOCK_MONOTONIC period_ns=20000000 drm_device=/sys/class/drm/card1/device hwmon=/sys/class/hwmon/hwmon6
# sample_rates: gpu_busy_percent_period_ns=20000000 pp_dpm_period_ns=200000000 temp1_input_period_ns=200000000 meminfo_period_ns=2000000000 vmstat_period_ns=2000000000 host_period_ns=2000000000
# interpretation: pp_dpm_sclk_selected_mhz is the selected graphics clock step; pp_dpm_mclk_surface_mhz is the pp_dpm_mclk sysfs surface, which on SMU10 is a fabric-clock state rather than the trained DRAM speed; pp_dpm_fclk_surface_mhz is the pp_dpm_fclk sysfs surface; sclk_actual_mhz is the delivered graphics frequency from hwmon freq1_input, which a forced performance level pins where the selected step states only what was requested
# sampler_pid=2550794 nice=19 cpu_affinity=0,1
monotonic_ns	pp_dpm_sclk_selected_mhz	pp_dpm_mclk_surface_mhz	pp_dpm_fclk_surface_mhz	gpu_busy_percent	temp1_millidegrees	sample_cost_ns	sclk_actual_mhz
# meminfo monotonic_ns=508581651655851 mem_available_kb=27328484 pswpin=8
# host monotonic_ns=508581651655851 load1=1.13 ksm_pages_sharing=0
# dpm_read=508581651655851
508581651655851	400	933	unavailable	0	61000	218961	400
508581671712448	400	933	unavailable	0	61000	34762	400
508581691713265	400	933	unavailable	0	61000	687116	400
508581711719000	400	933	unavailable	0	61000	217228	400
508581731713186	400	933	unavailable	0	61000	37226	400
508581751715005	400	933	unavailable	0	61000	38408	400
508581771721121	400	933	unavailable	0	61000	219111	400
508581791719203	400	933	unavailable	0	61000	37507	400
508581811712978	400	933	unavailable	0	61000	32849	400
508581831709998	400	933	unavailable	0	61000	339807	400
# dpm_read=508581851743954
508581851743954	400	933	unavailable	0	70000	123451	400
508581871742738	400	933	unavailable	0	70000	42416	400
508581891739347	400	933	unavailable	0	70000	419169	400
508581911742208	400	933	unavailable	0	70000	41574	400
508581931743466	400	933	unavailable	0	70000	42115	400
508581951745616	400	933	unavailable	0	70000	521510	400
508581971738799	400	933	unavailable	0	70000	61339	400
508581991740989	400	933	unavailable	0	70000	41944	400
508582011747315	400	933	unavailable	0	70000	623623	400
508582031741010	400	933	unavailable	0	70000	168030	400
# dpm_read=508582051746696
508582051746696	400	933	unavailable	0	71000	120495	400
508582071743355	400	933	unavailable	0	71000	42917	400
508582091741307	400	933	unavailable	0	71000	323878	400
508582111740732	400	933	unavailable	0	71000	41875	400
508582131741669	400	933	unavailable	0	71000	41815	400
508582151745472	400	933	unavailable	0	71000	384706	400
508582171740849	400	933	unavailable	0	71000	40262	400
508582191741536	400	933	unavailable	0	71000	39951	400
508582211743274	400	933	unavailable	0	71000	495805	400
508582231741918	400	933	unavailable	0	71000	44259	400
# dpm_read=508582251726977
508582251726977	400	933	unavailable	0	71000	116067	400
508582271749222	400	933	unavailable	0	71000	597256	400
508582291751962	400	933	unavailable	0	71000	131094	400
508582311750365	400	933	unavailable	0	71000	44740	400
508582331743208	400	933	unavailable	0	71000	45772	400
508582351748193	400	933	unavailable	0	71000	248072	400
508582371746866	400	933	unavailable	0	71000	44429	400
508582391748164	400	933	unavailable	0	71000	43568	400
508582411743431	400	933	unavailable	0	71000	358229	400
508582431749267	400	933	unavailable	0	71000	47114	400
# dpm_read=508582451745636
508582451745636	400	933	unavailable	0	71000	121658	400
508582471721539	400	933	unavailable	0	71000	487059	400
508582491758110	400	933	unavailable	0	71000	46193	400
508582511721781	400	933	unavailable	0	71000	46283	400
508582531758863	400	933	unavailable	0	71000	560500	400
508582551722594	400	933	unavailable	0	71000	129742	400
508582571769458	400	933	unavailable	0	71000	48457	400
508582591765050	400	933	unavailable	0	71000	51031	400
508582611728305	400	933	unavailable	0	71000	243364	400
508582631716784	400	933	unavailable	0	71000	36305	400
# dpm_read=508582653044665
508582653044665	400	933	unavailable	0	71000	121737	400
508582671717866	400	933	unavailable	0	71000	353652	400
508582691715813	400	933	unavailable	0	71000	40492	400
508582711717837	400	933	unavailable	0	71000	41774	400
508582731725601	400	933	unavailable	0	71000	450444	400
508582751744344	400	933	unavailable	0	71000	41685	400
508582771717306	400	933	unavailable	0	71000	41364	400
508582792730795	400	933	unavailable	0	71000	41514	400
508582811815732	400	933	unavailable	0	71000	40302	400
508582831717437	400	933	unavailable	0	71000	45290	400
# dpm_read=508582851717016
508582851717016	400	933	unavailable	0	71000	697515	400
508582871753101	400	933	unavailable	0	71000	175373	400
508582891753101	400	933	unavailable	0	71000	44249	400
508582911717457	400	933	unavailable	0	71000	41795	400
508582931717928	400	933	unavailable	0	71000	360063	400
508582951720984	400	933	unavailable	0	71000	41173	400
508582971717658	400	933	unavailable	0	71000	40883	400
508582991717287	400	933	unavailable	0	71000	429377	400
508583012812893	400	933	unavailable	0	71000	375080	400
508583032412699	400	933	unavailable	0	71000	309122	400
# dpm_read=508583051720824
508583051720824	400	933	unavailable	0	71000	603778	400
508583071719452	400	933	unavailable	0	71000	70796	400
508583091717809	400	933	unavailable	0	71000	41995	400
508583112249528	400	933	unavailable	0	71000	114785	400
508583131720384	400	933	unavailable	0	71000	180682	400
508583151716327	400	933	unavailable	0	71000	41954	400
508583171719843	400	933	unavailable	0	71000	41183	400
508583191716978	400	933	unavailable	0	71000	294636	400
