# clock=CLOCK_MONOTONIC period_ns=20000000 drm_device=/sys/class/drm/card1/device hwmon=/sys/class/hwmon/hwmon6
# sample_rates: gpu_busy_percent_period_ns=20000000 pp_dpm_period_ns=200000000 temp1_input_period_ns=200000000 meminfo_period_ns=2000000000 vmstat_period_ns=2000000000 host_period_ns=2000000000
# interpretation: pp_dpm_sclk_selected_mhz is the selected graphics clock step; pp_dpm_mclk_surface_mhz is the pp_dpm_mclk sysfs surface, which on SMU10 is a fabric-clock state rather than the trained DRAM speed; pp_dpm_fclk_surface_mhz is the pp_dpm_fclk sysfs surface; sclk_actual_mhz is the delivered graphics frequency from hwmon freq1_input, which a forced performance level pins where the selected step states only what was requested
# sampler_pid=2567012 nice=19 cpu_affinity=0,1
monotonic_ns	pp_dpm_sclk_selected_mhz	pp_dpm_mclk_surface_mhz	pp_dpm_fclk_surface_mhz	gpu_busy_percent	temp1_millidegrees	sample_cost_ns	sclk_actual_mhz
# meminfo monotonic_ns=508625978990939 mem_available_kb=27320076 pswpin=8
# host monotonic_ns=508625978990939 load1=1.20 ksm_pages_sharing=0
# dpm_read=508625978990939
508625978990939	400	933	unavailable	0	61000	357591	400
508625999054262	400	933	unavailable	0	61000	40022	400
508626019060133	400	933	unavailable	0	61000	41014	400
508626039023368	400	933	unavailable	0	61000	401890	400
508626059015934	400	933	unavailable	0	61000	42206	400
508626079056296	400	933	unavailable	0	61000	38149	400
508626099021524	400	933	unavailable	0	61000	407371	400
508626119017527	400	933	unavailable	0	61000	34672	400
508626139013250	400	933	unavailable	0	61000	37527	400
508626159044105	400	933	unavailable	0	61000	491131	400
# dpm_read=508626179031502
508626179031502	400	933	unavailable	0	71000	123281	400
508626199082925	400	933	unavailable	0	71000	42756	400
508626219074950	400	933	unavailable	0	71000	573218	400
508626239027275	400	933	unavailable	0	71000	155519	400
508626259077876	400	933	unavailable	0	71000	40522	400
508626279073919	400	933	unavailable	0	71000	39310	400
508626299078818	400	933	unavailable	0	71000	211859	400
508626319081382	400	933	unavailable	0	71000	40593	400
508626339027646	400	933	unavailable	0	71000	41795	400
508626359075362	400	933	unavailable	0	71000	327407	400
# dpm_read=508626379084017
508626379084017	400	933	unavailable	0	71000	118372	400
508626399083727	400	933	unavailable	0	71000	41835	400
508626419083476	400	933	unavailable	0	71000	425954	400
508626439122617	400	933	unavailable	0	71000	41284	400
508626459076624	400	933	unavailable	0	71000	42216	400
508626479023809	400	933	unavailable	0	71000	593545	400
508626499082695	400	933	unavailable	0	71000	70827	400
508626519028718	400	933	unavailable	0	71000	48207	400
508626539076785	400	933	unavailable	0	71000	44089	400
508626559078700	400	933	unavailable	0	71000	187416	400
# dpm_read=508626579079244
508626579079244	400	933	unavailable	0	72000	117350	400
508626599080760	400	933	unavailable	0	72000	43558	400
508626619081444	400	933	unavailable	0	72000	299156	400
508626639080926	400	933	unavailable	0	72000	42857	400
508626659084085	400	933	unavailable	0	72000	42757	400
508626679080913	400	933	unavailable	0	72000	403052	400
508626699080605	400	933	unavailable	0	72000	43969	400
508626719078384	400	933	unavailable	0	72000	44200	400
508626739084278	400	933	unavailable	0	72000	516386	400
508626759084512	400	933	unavailable	0	72000	45071	400
# dpm_read=508626779042780
508626779042780	400	933	unavailable	0	72000	122760	400
508626799040128	400	933	unavailable	0	72000	48327	400
508626820020069	400	933	unavailable	0	72000	42035	400
508626839014299	400	933	unavailable	0	72000	43768	400
508626859016235	400	933	unavailable	0	72000	40202	400
508626879027378	400	933	unavailable	0	72000	318582	400
508626899047868	400	933	unavailable	0	72000	33540	400
508626919023217	400	933	unavailable	0	72000	41705	400
508626939016158	400	933	unavailable	0	72000	499856	400
508626959027411	400	933	unavailable	0	72000	41084	400
# dpm_read=508626979055094
508626979055094	400	933	unavailable	0	72000	108915	400
508626999039469	400	933	unavailable	0	72000	520123	400
508627019023173	400	933	unavailable	0	72000	73251	400
508627039046338	400	933	unavailable	0	72000	42336	400
508627059018601	400	933	unavailable	0	72000	40723	400
508627079027831	400	933	unavailable	0	72000	178290	400
508627099254931	400	933	unavailable	0	72000	124854	400
508627119268328	400	933	unavailable	0	72000	509925	400
508627139035504	400	933	unavailable	0	72000	282246	400
508627159049693	400	933	unavailable	0	72000	41424	400
# dpm_read=508627179044276
508627179044276	400	933	unavailable	0	71000	106010	400
508627199110408	400	933	unavailable	0	71000	315836	400
508627219030969	400	933	unavailable	0	71000	42396	400
508627239062078	400	933	unavailable	0	71000	41093	400
508627259071618	400	933	unavailable	0	71000	464353	400
508627279027773	400	933	unavailable	0	71000	39009	400
508627299027044	400	933	unavailable	0	71000	40884	400
508627319030394	400	933	unavailable	0	71000	612478	400
508627339025859	400	933	unavailable	0	71000	152493	400
