# clock=CLOCK_MONOTONIC period_ns=20000000 drm_device=/sys/class/drm/card1/device hwmon=/sys/class/hwmon/hwmon6
# sample_rates: gpu_busy_percent_period_ns=20000000 pp_dpm_period_ns=200000000 temp1_input_period_ns=200000000 meminfo_period_ns=2000000000 vmstat_period_ns=2000000000 host_period_ns=2000000000
# interpretation: pp_dpm_sclk_selected_mhz is the selected graphics clock step; pp_dpm_mclk_surface_mhz is the pp_dpm_mclk sysfs surface, which on SMU10 is a fabric-clock state rather than the trained DRAM speed; pp_dpm_fclk_surface_mhz is the pp_dpm_fclk sysfs surface; sclk_actual_mhz is the delivered graphics frequency from hwmon freq1_input, which a forced performance level pins where the selected step states only what was requested
# sampler_pid=2399234 nice=19 cpu_affinity=0,1
monotonic_ns	pp_dpm_sclk_selected_mhz	pp_dpm_mclk_surface_mhz	pp_dpm_fclk_surface_mhz	gpu_busy_percent	temp1_millidegrees	sample_cost_ns	sclk_actual_mhz
# meminfo monotonic_ns=507726358679140 mem_available_kb=27330200 pswpin=8
# host monotonic_ns=507726358679140 load1=0.95 ksm_pages_sharing=0
# dpm_read=507726358679140
507726358679140	400	933	unavailable	0	62000	455546	400
507726378744701	400	933	unavailable	0	62000	34511	400
507726398732094	400	933	unavailable	0	62000	33299	400
507726418748979	400	933	unavailable	0	62000	305560	400
507726438744646	400	933	unavailable	0	62000	45671	400
507726458737338	400	933	unavailable	0	62000	32357	400
507726478742642	400	933	unavailable	0	62000	408162	400
507726498743949	400	933	unavailable	0	62000	41223	400
507726518735650	400	933	unavailable	0	62000	36294	400
507726538729153	400	933	unavailable	0	62000	526010	400
# dpm_read=507726558728604
507726558728604	400	933	unavailable	0	71000	142121	400
507726578774688	400	933	unavailable	0	71000	41454	400
507726598774040	400	933	unavailable	0	71000	592679	400
507726618766199	400	933	unavailable	0	71000	138455	400
507726638768295	400	933	unavailable	0	71000	42586	400
507726658771083	400	933	unavailable	0	71000	42746	400
507726678775313	400	933	unavailable	0	71000	262665	400
507726698766170	400	933	unavailable	0	71000	44539	400
507726718767104	400	933	unavailable	0	71000	42446	400
507726738769902	400	933	unavailable	0	71000	348978	400
# dpm_read=507726758770526
507726758770526	400	933	unavailable	0	72000	117298	400
507726778775287	400	933	unavailable	0	72000	43357	400
507726798775811	400	933	unavailable	0	72000	453432	400
507726818764965	400	933	unavailable	0	72000	43687	400
507726838767833	400	933	unavailable	0	72000	45760	400
507726858767615	400	933	unavailable	0	72000	568305	400
507726878773478	400	933	unavailable	0	72000	97793	400
507726898770285	400	933	unavailable	0	72000	45791	400
507726918766051	400	933	unavailable	0	72000	45370	400
507726938772014	400	933	unavailable	0	72000	203550	400
# dpm_read=507726958772357
507726958772357	400	933	unavailable	0	72000	119231	400
507726978772831	400	933	unavailable	0	72000	46502	400
507726998773164	400	933	unavailable	0	72000	316621	400
507727018776032	400	933	unavailable	0	72000	46843	400
507727038746954	400	933	unavailable	0	72000	43898	400
507727058769617	400	933	unavailable	0	72000	423109	400
507727078773407	400	933	unavailable	0	72000	43206	400
507727098768781	400	933	unavailable	0	72000	43888	400
507727118775246	400	933	unavailable	0	72000	527403	400
507727138767194	400	933	unavailable	0	72000	70585	400
# dpm_read=507727158766055
507727158766055	400	933	unavailable	0	72000	119321	400
507727178775715	400	933	unavailable	0	72000	625046	400
507727198741577	400	933	unavailable	0	72000	244883	400
507727218751327	400	933	unavailable	0	72000	47304	400
507727238773670	400	933	unavailable	0	72000	46672	400
507727258770837	400	933	unavailable	0	72000	283642	400
507727278771922	400	933	unavailable	0	72000	45360	400
507727298767307	400	933	unavailable	0	72000	42265	400
507727318769944	400	933	unavailable	0	72000	389048	400
507727338765800	400	933	unavailable	0	72000	43286	400
# dpm_read=507727358767826
507727358767826	400	933	unavailable	0	72000	123238	400
507727378772938	400	933	unavailable	0	72000	495677	400
507727398773131	400	933	unavailable	0	72000	48406	400
507727418748140	400	933	unavailable	0	72000	47494	400
507727438776563	400	933	unavailable	0	72000	604549	400
507727458771697	400	933	unavailable	0	72000	141380	400
507727478760420	400	933	unavailable	0	72000	46773	400
507727498743302	400	933	unavailable	0	72000	42716	400
507727518743535	400	933	unavailable	0	72000	271851	400
507727538731838	400	933	unavailable	0	72000	35402	400
# dpm_read=507727558772560
507727558772560	400	933	unavailable	0	73000	119492	400
507727578743219	400	933	unavailable	0	73000	385132	400
507727598737379	400	933	unavailable	0	73000	47103	400
507727618744693	400	933	unavailable	0	73000	49427	400
507727638783051	400	933	unavailable	0	73000	451399	400
507727658745625	400	933	unavailable	0	73000	50109	400
507727678745776	400	933	unavailable	0	73000	46973	400
507727698744925	400	933	unavailable	0	73000	609729	400
507727718743934	400	933	unavailable	0	73000	137403	400
507727739606211	400	933	unavailable	0	73000	411488	400
# dpm_read=507727758743955
507727758743955	400	933	unavailable	0	73000	108883	400
507727778743485	400	933	unavailable	0	73000	237080	400
507727798777456	400	933	unavailable	0	73000	42044	400
507727818741012	400	933	unavailable	0	73000	41974	400
507727838739389	400	933	unavailable	0	73000	349349	400
507727859566033	400	933	unavailable	0	73000	560592	400
507727878746683	400	933	unavailable	0	73000	42626	400
507727898740533	400	933	unavailable	0	73000	458562	400
507727918741195	400	933	unavailable	0	73000	42004	400
507727939578668	400	933	unavailable	0	73000	191418	400
# dpm_read=507727958768023
507727958768023	400	933	unavailable	0	72000	607976	400
507727978743801	400	933	unavailable	0	72000	95800	400
507727998834773	400	933	unavailable	0	72000	42475	400
507728018740286	400	933	unavailable	0	72000	41874	400
507728038745035	400	933	unavailable	0	72000	204442	400
507728058739305	400	933	unavailable	0	72000	40812	400
507728079761756	400	933	unavailable	0	72000	41253	400
507728098854270	400	933	unavailable	0	72000	200465	400
507728118739457	400	933	unavailable	0	72000	41413	400
507728138740259	400	933	unavailable	0	72000	41814	400
# dpm_read=507728158746821
507728158746821	400	933	unavailable	0	72000	491330	400
507728178739279	400	933	unavailable	0	72000	40481	400
507728199028381	400	933	unavailable	0	72000	41684	400
507728218742816	400	933	unavailable	0	72000	546557	400
507728238739921	400	933	unavailable	0	72000	67360	400
507728259029765	400	933	unavailable	0	72000	42405	400
507728278744200	400	933	unavailable	0	72000	627721	400
507728298740775	400	933	unavailable	0	72000	172906	400
507728318740014	400	933	unavailable	0	72000	42265	400
507728338743721	400	933	unavailable	0	72000	41614	400
# meminfo monotonic_ns=507728358741057 mem_available_kb=27325332 pswpin=8
# host monotonic_ns=507728358741057 load1=0.96 ksm_pages_sharing=0
# dpm_read=507728358741057
507728358741057	400	933	unavailable	0	72000	440319	400
507728378738623	400	933	unavailable	0	72000	41423	400
507728398740196	400	933	unavailable	0	72000	41103	400
507728418744705	400	933	unavailable	0	72000	387446	400
507728438745246	400	933	unavailable	0	72000	42766	400
507728458744596	400	933	unavailable	0	72000	40912	400
507728478739057	400	933	unavailable	0	72000	502299	400
507728498740319	400	933	unavailable	0	72000	50309	400
507728519704577	400	933	unavailable	0	72000	106248	400
507728538741412	400	933	unavailable	0	72000	605703	400
# dpm_read=507728558744737
507728558744737	400	933	unavailable	0	72000	210002	400
507728578738213	400	933	unavailable	0	72000	43077	400
507728598737741	400	933	unavailable	0	72000	41593	400
507728618738941	400	933	unavailable	0	72000	250924	400
507728638739701	400	933	unavailable	0	72000	42294	400
507728658739148	400	933	unavailable	0	72000	40772	400
507728678799853	400	933	unavailable	0	72000	300573	400
507728698740757	400	933	unavailable	0	72000	42445	400
507728718740565	400	933	unavailable	0	72000	42144	400
507728739039653	400	933	unavailable	0	72000	168197	400
# dpm_read=507728758744809
507728758744809	400	933	unavailable	0	72000	108331	400
507728778789175	400	933	unavailable	0	72000	42265	400
507728798743022	400	933	unavailable	0	72000	571001	400
507728818740485	400	933	unavailable	0	72000	108973	400
507728838740634	400	933	unavailable	0	72000	42004	400
507728858739961	400	933	unavailable	0	72000	41924	400
507728878739158	400	933	unavailable	0	72000	217445	400
507728898740699	400	933	unavailable	0	72000	41223	400
507728918740436	400	933	unavailable	0	72000	41564	400
507728938743420	400	933	unavailable	0	72000	326418	400
# dpm_read=507728958741074
507728958741074	400	933	unavailable	0	72000	108412	400
507728978739690	400	933	unavailable	0	72000	42505	400
507728998748103	400	933	unavailable	0	72000	424922	400
507729019026915	400	933	unavailable	0	72000	41543	400
507729038739454	400	933	unavailable	0	72000	40091	400
507729058738811	400	933	unavailable	0	72000	540687	400
507729078740302	400	933	unavailable	0	72000	74201	400
507729098741312	400	933	unavailable	0	72000	41152	400
507729118850663	400	933	unavailable	0	72000	534858	400
507729139634850	400	933	unavailable	0	72000	42556	400
# dpm_read=507729158745273
507729158745273	400	933	unavailable	0	72000	107050	400
507729178741745	400	933	unavailable	0	72000	42325	400
507729198739700	400	933	unavailable	0	72000	301914	400
507729218744647	400	933	unavailable	0	72000	42164	400
507729238740688	400	933	unavailable	0	72000	41092	400
507729258739874	400	933	unavailable	0	72000	398406	400
507729278740123	400	933	unavailable	0	72000	40682	400
507729299514723	400	933	unavailable	0	72000	197730	400
507729318761087	400	933	unavailable	0	72000	491029	400
