# clock=CLOCK_MONOTONIC period_ns=20000000 drm_device=/sys/class/drm/card1/device hwmon=/sys/class/hwmon/hwmon6
# sample_rates: gpu_busy_percent_period_ns=20000000 pp_dpm_period_ns=200000000 temp1_input_period_ns=200000000 meminfo_period_ns=2000000000 vmstat_period_ns=2000000000 host_period_ns=2000000000
# interpretation: pp_dpm_sclk_selected_mhz is the selected graphics clock step; pp_dpm_mclk_surface_mhz is the pp_dpm_mclk sysfs surface, which on SMU10 is a fabric-clock state rather than the trained DRAM speed; pp_dpm_fclk_surface_mhz is the pp_dpm_fclk sysfs surface; sclk_actual_mhz is the delivered graphics frequency from hwmon freq1_input, which a forced performance level pins where the selected step states only what was requested
# sampler_pid=2415893 nice=19 cpu_affinity=0,1
monotonic_ns	pp_dpm_sclk_selected_mhz	pp_dpm_mclk_surface_mhz	pp_dpm_fclk_surface_mhz	gpu_busy_percent	temp1_millidegrees	sample_cost_ns	sclk_actual_mhz
# meminfo monotonic_ns=507776231553055 mem_available_kb=27327932 pswpin=8
# host monotonic_ns=507776231553055 load1=1.03 ksm_pages_sharing=0
# dpm_read=507776231553055
507776231553055	400	933	unavailable	0	62000	154178	400
507776251612480	400	933	unavailable	0	62000	36897	400
507776271606768	400	933	unavailable	0	62000	635688	400
507776291618488	400	933	unavailable	0	62000	107674	400
507776311609419	400	933	unavailable	0	62000	36887	400
507776331602325	400	933	unavailable	0	62000	565240	400
507776351618031	400	933	unavailable	0	62000	50632	400
507776371617418	400	933	unavailable	0	62000	40213	400
507776391617737	400	933	unavailable	0	62000	618557	400
507776411605663	400	933	unavailable	0	62000	164097	400
# dpm_read=507776431651224
507776431651224	400	933	unavailable	0	74000	116099	400
507776451646714	400	933	unavailable	0	74000	42577	400
507776471645199	400	933	unavailable	0	74000	244331	400
507776491627475	400	933	unavailable	0	74000	43098	400
507776511643613	400	933	unavailable	0	74000	41745	400
507776531644903	400	933	unavailable	0	74000	350192	400
507776551641887	400	933	unavailable	0	74000	43068	400
507776571644261	400	933	unavailable	0	74000	46675	400
507776591647538	400	933	unavailable	0	74000	462295	400
507776611645444	400	933	unavailable	0	74000	42667	400
# dpm_read=507776631648259
507776631648259	400	933	unavailable	0	74000	120368	400
507776651642790	400	933	unavailable	0	74000	576100	400
507776671644784	400	933	unavailable	0	74000	108786	400
507776691617555	400	933	unavailable	0	74000	45001	400
507776711647659	400	933	unavailable	0	74000	45152	400
507776731645125	400	933	unavailable	0	74000	216661	400
507776751616504	400	933	unavailable	0	74000	44310	400
507776771644284	400	933	unavailable	0	74000	42807	400
507776791617346	400	933	unavailable	0	74000	355101	400
507776811645507	400	933	unavailable	0	74000	44931	400
# dpm_read=507776831646298
507776831646298	400	933	unavailable	0	74000	122151	400
507776851642602	400	933	unavailable	0	74000	439744	400
507776871644225	400	933	unavailable	0	74000	45462	400
507776891619531	400	933	unavailable	0	74000	45422	400
507776911645348	400	933	unavailable	0	74000	549913	400
507776931645979	400	933	unavailable	0	74000	82730	400
507776951644306	400	933	unavailable	0	74000	41405	400
507776971646781	400	933	unavailable	0	74000	41725	400
507776991617779	400	933	unavailable	0	74000	250292	400
507777011620143	400	933	unavailable	0	74000	43439	400
# dpm_read=507777031642544
507777031642544	400	933	unavailable	0	74000	122361	400
507777051644869	400	933	unavailable	0	74000	305762	400
507777071646682	400	933	unavailable	0	74000	42838	400
507777091618512	400	933	unavailable	0	74000	43779	400
507777111644619	400	933	unavailable	0	74000	412755	400
507777131639650	400	933	unavailable	0	74000	43819	400
507777151645401	400	933	unavailable	0	74000	42206	400
507777172329146	400	933	unavailable	0	74000	43268	400
507777191620436	400	933	unavailable	0	74000	85956	400
507777211648036	400	933	unavailable	0	74000	43649	400
# dpm_read=507777231668163
507777231668163	400	933	unavailable	0	74000	693793	400
507777251618504	400	933	unavailable	0	74000	202375	400
507777271646234	400	933	unavailable	0	74000	45572	400
507777291692668	400	933	unavailable	0	74000	45422	400
507777311644582	400	933	unavailable	0	74000	280316	400
507777331645674	400	933	unavailable	0	74000	44630	400
507777351645213	400	933	unavailable	0	74000	41124	400
507777371642178	400	933	unavailable	0	74000	395224	400
507777391647778	400	933	unavailable	0	74000	44471	400
507777411649402	400	933	unavailable	0	74000	46403	400
# dpm_read=507777431636028
507777431636028	400	933	unavailable	0	74000	592349	400
507777451619278	400	933	unavailable	0	74000	60529	400
