# clock=CLOCK_MONOTONIC period_ns=20000000 drm_device=/sys/class/drm/card1/device hwmon=/sys/class/hwmon/hwmon6
# sample_rates: gpu_busy_percent_period_ns=20000000 pp_dpm_period_ns=200000000 temp1_input_period_ns=200000000 meminfo_period_ns=2000000000 vmstat_period_ns=2000000000 host_period_ns=2000000000
# interpretation: pp_dpm_sclk_selected_mhz is the selected graphics clock step; pp_dpm_mclk_surface_mhz is the pp_dpm_mclk sysfs surface, which on SMU10 is a fabric-clock state rather than the trained DRAM speed; pp_dpm_fclk_surface_mhz is the pp_dpm_fclk sysfs surface; sclk_actual_mhz is the delivered graphics frequency from hwmon freq1_input, which a forced performance level pins where the selected step states only what was requested
# sampler_pid=2264001 nice=19 cpu_affinity=0,1
monotonic_ns	pp_dpm_sclk_selected_mhz	pp_dpm_mclk_surface_mhz	pp_dpm_fclk_surface_mhz	gpu_busy_percent	temp1_millidegrees	sample_cost_ns	sclk_actual_mhz
# meminfo monotonic_ns=507317340770951 mem_available_kb=27346456 pswpin=8
# host monotonic_ns=507317340770951 load1=0.41 ksm_pages_sharing=0
# dpm_read=507317340770951
507317340770951	400	933	unavailable	0	70000	198076	400
507317360834030	400	933	unavailable	0	70000	35810	400
507317380832804	400	933	unavailable	0	70000	560071	400
507317400838040	400	933	unavailable	0	70000	99484	400
507317420837255	400	933	unavailable	0	70000	42683	400
507317440828664	400	933	unavailable	0	70000	34227	400
507317460835954	400	933	unavailable	0	70000	214889	400
507317480836351	400	933	unavailable	0	70000	41651	400
507317500833662	400	933	unavailable	0	70000	40108	400
507317520826464	400	933	unavailable	0	70000	340694	400
# dpm_read=507317540835447
507317540835447	400	933	unavailable	0	70000	109684	400
507317560826562	400	933	unavailable	0	70000	31672	400
507317580832232	400	933	unavailable	0	70000	455748	400
507317600842360	400	933	unavailable	0	70000	45309	400
507317620827641	400	933	unavailable	0	70000	36230	400
507317640823181	400	933	unavailable	0	70000	579038	400
507317660832498	400	933	unavailable	0	70000	109313	400
507317680831314	400	933	unavailable	0	70000	37463	400
507317700844028	400	933	unavailable	0	70000	47522	400
507317720865198	400	933	unavailable	0	70000	199899	400
# dpm_read=507317740871348
507317740871348	400	933	unavailable	0	71000	116137	400
507317760865907	400	933	unavailable	0	71000	44176	400
