# clock=CLOCK_MONOTONIC period_ns=20000000 drm_device=/sys/class/drm/card1/device hwmon=/sys/class/hwmon/hwmon6
# sample_rates: gpu_busy_percent_period_ns=20000000 pp_dpm_period_ns=200000000 temp1_input_period_ns=200000000 meminfo_period_ns=2000000000 vmstat_period_ns=2000000000 host_period_ns=2000000000
# interpretation: pp_dpm_sclk_selected_mhz is the selected graphics clock step; pp_dpm_mclk_surface_mhz is the pp_dpm_mclk sysfs surface, which on SMU10 is a fabric-clock state rather than the trained DRAM speed; pp_dpm_fclk_surface_mhz is the pp_dpm_fclk sysfs surface; sclk_actual_mhz is the delivered graphics frequency from hwmon freq1_input, which a forced performance level pins where the selected step states only what was requested
# sampler_pid=2300189 nice=19 cpu_affinity=0,1
monotonic_ns	pp_dpm_sclk_selected_mhz	pp_dpm_mclk_surface_mhz	pp_dpm_fclk_surface_mhz	gpu_busy_percent	temp1_millidegrees	sample_cost_ns	sclk_actual_mhz
# meminfo monotonic_ns=507430072747496 mem_available_kb=27338968 pswpin=8
# host monotonic_ns=507430072747496 load1=0.65 ksm_pages_sharing=0
# dpm_read=507430072747496
507430072747496	400	933	unavailable	0	62000	155419	400
507430092803064	400	933	unavailable	0	62000	419566	400
507430112809156	400	933	unavailable	0	62000	35378	400
507430132813536	400	933	unavailable	0	62000	43243	400
507430152816162	400	933	unavailable	0	62000	530950	400
507430172805582	400	933	unavailable	0	62000	68532	400
507430192813839	400	933	unavailable	0	62000	46930	400
507430212810754	400	933	unavailable	0	62000	39225	400
507430232811707	400	933	unavailable	0	62000	187079	400
507430252806227	400	933	unavailable	0	62000	37111	400
# dpm_read=507430272841586
507430272841586	400	933	unavailable	0	73000	117345	400
507430292841176	400	933	unavailable	0	73000	274648	400
507430312838532	400	933	unavailable	0	73000	43283	400
507430332841869	400	933	unavailable	0	73000	42622	400
507430352811963	400	933	unavailable	0	73000	444373	400
507430372845628	400	933	unavailable	0	73000	44686	400
507430392841251	400	933	unavailable	0	73000	43243	400
507430412838597	400	933	unavailable	0	73000	512714	400
507430432816495	400	933	unavailable	0	73000	87849	400
507430452843738	400	933	unavailable	0	73000	43704	400
# dpm_read=507430472838249
507430472838249	400	933	unavailable	0	73000	701788	400
507430492838821	400	933	unavailable	0	73000	180877	400
507430512836287	400	933	unavailable	0	73000	42301	400
507430532811730	400	933	unavailable	0	73000	41761	400
507430552847540	400	933	unavailable	0	73000	287843	400
507430572837849	400	933	unavailable	0	73000	43384	400
507430592838017	400	933	unavailable	0	73000	45177	400
507430612842113	400	933	unavailable	0	73000	393666	400
507430632843033	400	933	unavailable	0	73000	43924	400
507430652810328	400	933	unavailable	0	73000	44195	400
# dpm_read=507430672851275
507430672851275	400	933	unavailable	0	73000	584142	400
507430692816415	400	933	unavailable	0	73000	77950	400
507430712841552	400	933	unavailable	0	73000	47331	400
507430732841339	400	933	unavailable	0	73000	650249	400
507430752848261	400	933	unavailable	0	73000	178512	400
507430772840323	400	933	unavailable	0	73000	46209	400
507430792838397	400	933	unavailable	0	73000	43414	400
507430812842293	400	933	unavailable	0	73000	285308	400
507430832842641	400	933	unavailable	0	73000	45318	400
507430852845755	400	933	unavailable	0	73000	42993	400
# dpm_read=507430872838189
507430872838189	400	933	unavailable	0	74000	481825	400
507430892836213	400	933	unavailable	0	74000	43543	400
507430912839828	400	933	unavailable	0	74000	42652	400
507430932811161	400	933	unavailable	0	74000	553202	400
507430952810587	400	933	unavailable	0	74000	233098	400
507430972853368	400	933	unavailable	0	74000	46339	400
507430992840631	400	933	unavailable	0	74000	632956	400
507431012842953	400	933	unavailable	0	74000	199524	400
507431032840767	400	933	unavailable	0	74000	46890	400
507431052837799	400	933	unavailable	0	74000	41961	400
# dpm_read=507431072842847
507431072842847	400	933	unavailable	0	74000	367506	400
507431092835681	400	933	unavailable	0	74000	42792	400
507431113034020	400	933	unavailable	0	74000	43904	400
507431133016123	400	933	unavailable	0	74000	290248	400
507431152814103	400	933	unavailable	0	74000	44195	400
507431172805475	400	933	unavailable	0	74000	35167	400
507431192839718	400	933	unavailable	0	74000	527474	400
507431212848213	400	933	unavailable	0	74000	81556	400
507431232819746	400	933	unavailable	0	74000	50277	400
507431252840674	400	933	unavailable	0	74000	43103	400
# dpm_read=507431272815103
507431272815103	400	933	unavailable	0	74000	281871	400
507431292808338	400	933	unavailable	0	74000	42381	400
507431312857610	400	933	unavailable	0	74000	48604	400
507431332813604	400	933	unavailable	0	74000	324443	400
507431352820094	400	933	unavailable	0	74000	45758	400
507431372813660	400	933	unavailable	0	74000	44165	400
507431394735058	400	933	unavailable	0	74000	46710	400
507431412810239	400	933	unavailable	0	74000	42041	400
507431432813864	400	933	unavailable	0	74000	41079	400
507431452814794	400	933	unavailable	0	74000	562420	400
# dpm_read=507431472808009
507431472808009	400	933	unavailable	0	74000	257033	400
507431492809640	400	933	unavailable	0	74000	40557	400
507431512811421	400	933	unavailable	0	74000	40818	400
507431532811379	400	933	unavailable	0	74000	209121	400
507431552811517	400	933	unavailable	0	74000	40017	400
507431572809117	400	933	unavailable	0	74000	41870	400
507431593100251	400	933	unavailable	0	74000	209342	400
507431612811341	400	933	unavailable	0	74000	40688	400
507431632808521	400	933	unavailable	0	74000	40648	400
507431652812533	400	933	unavailable	0	74000	446458	400
# dpm_read=507431672809533
507431672809533	400	933	unavailable	0	74000	107807	400
507431692808816	400	933	unavailable	0	74000	40228	400
507431713033102	400	933	unavailable	0	74000	343129	400
507431732808806	400	933	unavailable	0	74000	104190	400
507431752808310	400	933	unavailable	0	74000	40839	400
507431772811040	400	933	unavailable	0	74000	41320	400
507431792810254	400	933	unavailable	0	74000	220243	400
507431812808435	400	933	unavailable	0	74000	40348	400
507431833872604	400	933	unavailable	0	74000	40889	400
507431852812874	400	933	unavailable	0	74000	430306	400
# dpm_read=507431872807498
507431872807498	400	933	unavailable	0	73000	109160	400
507431892812393	400	933	unavailable	0	73000	41489	400
507431912811877	400	933	unavailable	0	73000	460514	400
507431932811641	400	933	unavailable	0	73000	40528	400
507431952807829	400	933	unavailable	0	73000	40027	400
507431972810499	400	933	unavailable	0	73000	666490	400
507431992808791	400	933	unavailable	0	73000	108698	400
507432012813304	400	933	unavailable	0	73000	36310	400
507432032808350	400	933	unavailable	0	73000	36760	400
507432052809928	400	933	unavailable	0	73000	1112877	400
# meminfo monotonic_ns=507432072810043 mem_available_kb=27334936 pswpin=8
# host monotonic_ns=507432072810043 load1=0.68 ksm_pages_sharing=0
# dpm_read=507432072810043
507432072810043	400	933	unavailable	0	73000	157923	400
507432092922594	400	933	unavailable	0	73000	41480	400
507432112809071	400	933	unavailable	0	73000	347277	400
507432132807914	400	933	unavailable	0	73000	41439	400
507432152807939	400	933	unavailable	0	73000	40017	400
507432172861156	400	933	unavailable	0	73000	408855	400
507432193272892	400	933	unavailable	0	73000	42291	400
507432212826790	400	933	unavailable	0	73000	40688	400
507432232809161	400	933	unavailable	0	73000	586987	400
507432252808314	400	933	unavailable	0	73000	117967	400
# dpm_read=507432272808810
507432272808810	400	933	unavailable	0	73000	107787	400
507432292811160	400	933	unavailable	0	73000	42120	400
507432312808499	400	933	unavailable	0	73000	233018	400
507432332810288	400	933	unavailable	0	73000	42451	400
507432352809040	400	933	unavailable	0	73000	41220	400
507432372807512	400	933	unavailable	0	73000	353389	400
507432392808229	400	933	unavailable	0	73000	40908	400
507432412810598	400	933	unavailable	0	73000	42432	400
507432432808319	400	933	unavailable	0	73000	470684	400
507432452810779	400	933	unavailable	0	73000	40618	400
# dpm_read=507432472808419
507432472808419	400	933	unavailable	0	73000	108528	400
507432492808073	400	933	unavailable	0	73000	584503	400
507432512807627	400	933	unavailable	0	73000	124991	400
507432533259130	400	933	unavailable	0	73000	40247	400
507432552812386	400	933	unavailable	0	73000	40819	400
507432572832427	400	933	unavailable	0	73000	215484	400
507432592814384	400	933	unavailable	0	73000	39817	400
507432612809487	400	933	unavailable	0	73000	40968	400
507432632806293	400	933	unavailable	0	73000	361484	400
507432652811615	400	933	unavailable	0	73000	40127	400
# dpm_read=507432672808771
507432672808771	400	933	unavailable	0	72000	108168	400
