# clock=CLOCK_MONOTONIC period_ns=20000000 drm_device=/sys/class/drm/card1/device hwmon=/sys/class/hwmon/hwmon6
# sample_rates: gpu_busy_percent_period_ns=20000000 pp_dpm_period_ns=200000000 temp1_input_period_ns=200000000 meminfo_period_ns=2000000000 vmstat_period_ns=2000000000 host_period_ns=2000000000
# interpretation: pp_dpm_sclk_selected_mhz is the selected graphics clock step; pp_dpm_mclk_surface_mhz is the pp_dpm_mclk sysfs surface, which on SMU10 is a fabric-clock state rather than the trained DRAM speed; pp_dpm_fclk_surface_mhz is the pp_dpm_fclk sysfs surface; sclk_actual_mhz is the delivered graphics frequency from hwmon freq1_input, which a forced performance level pins where the selected step states only what was requested
# sampler_pid=2316588 nice=19 cpu_affinity=0,1
monotonic_ns	pp_dpm_sclk_selected_mhz	pp_dpm_mclk_surface_mhz	pp_dpm_fclk_surface_mhz	gpu_busy_percent	temp1_millidegrees	sample_cost_ns	sclk_actual_mhz
# meminfo monotonic_ns=507478602061971 mem_available_kb=27333744 pswpin=8
# host monotonic_ns=507478602061971 load1=0.86 ksm_pages_sharing=0
# dpm_read=507478602061971
507478602061971	400	933	unavailable	0	64000	156980	400
507478622123838	400	933	unavailable	0	64000	572556	400
507478642116062	400	933	unavailable	0	64000	162742	400
507478662127553	400	933	unavailable	0	64000	44756	400
507478682124356	400	933	unavailable	0	64000	580992	400
507478702124234	400	933	unavailable	0	64000	114219	400
507478722126818	400	933	unavailable	0	64000	42281	400
507478742122589	400	933	unavailable	0	64000	35979	400
507478762119041	400	933	unavailable	0	64000	235061	400
507478782119832	400	933	unavailable	0	64000	36991	400
# dpm_read=507478802117166
507478802117166	400	933	unavailable	0	75000	111373	400
507478822134738	400	933	unavailable	0	75000	344450	400
507478842150778	400	933	unavailable	0	75000	43884	400
507478862152180	400	933	unavailable	0	75000	45958	400
507478882125277	400	933	unavailable	0	75000	467716	400
507478902158740	400	933	unavailable	0	75000	43624	400
507478922126417	400	933	unavailable	0	75000	46930	400
507478942121106	400	933	unavailable	0	75000	584409	400
507478962163787	400	933	unavailable	0	75000	77969	400
507478982158255	400	933	unavailable	0	75000	42611	400
# dpm_read=507479002261942
507479002261942	400	933	unavailable	0	75000	666487	400
507479022127003	400	933	unavailable	0	75000	237274	400
507479042152971	400	933	unavailable	0	75000	44576	400
507479062156688	400	933	unavailable	0	75000	42801	400
507479082126940	400	933	unavailable	0	75000	363846	400
507479102158709	400	933	unavailable	0	75000	42321	400
507479122125966	400	933	unavailable	0	75000	43313	400
507479142151974	400	933	unavailable	0	75000	446285	400
507479162160119	400	933	unavailable	0	75000	45587	400
507479182155008	400	933	unavailable	0	75000	44185	400
# dpm_read=507479202159556
507479202159556	400	933	unavailable	0	75000	644143	400
507479222127303	400	933	unavailable	0	75000	124238	400
507479242158101	400	933	unavailable	0	75000	43774	400
507479262156026	400	933	unavailable	0	75000	42822	400
507479282151937	400	933	unavailable	0	75000	213288	400
507479302157326	400	933	unavailable	0	75000	44145	400
507479322125795	400	933	unavailable	0	75000	42190	400
507479342152865	400	933	unavailable	0	75000	331575	400
507479362154497	400	933	unavailable	0	75000	42432	400
507479382145629	400	933	unavailable	0	75000	42111	400
# dpm_read=507479402154054
507479402154054	400	933	unavailable	0	75000	526008	400
507479422143593	400	933	unavailable	0	75000	44947	400
507479442152920	400	933	unavailable	0	75000	45598	400
507479462155314	400	933	unavailable	0	75000	564140	400
507479482153790	400	933	unavailable	0	75000	101825	400
507479502160251	400	933	unavailable	0	75000	46379	400
507479522152565	400	933	unavailable	0	75000	42532	400
507479542156201	400	933	unavailable	0	75000	214792	400
507479562152462	400	933	unavailable	0	75000	45798	400
507479582150996	400	933	unavailable	0	75000	44766	400
# dpm_read=507479602154319
507479602154319	400	933	unavailable	0	76000	413572	400
507479622155949	400	933	unavailable	0	76000	42131	400
507479642155706	400	933	unavailable	0	76000	42772	400
507479662155693	400	933	unavailable	0	76000	450983	400
507479682153736	400	933	unavailable	0	76000	41569	400
507479702158171	400	933	unavailable	0	76000	43053	400
507479722156184	400	933	unavailable	0	76000	566124	400
507479742154227	400	933	unavailable	0	76000	105402	400
507479762156078	400	933	unavailable	0	76000	43623	400
507479782157808	400	933	unavailable	0	76000	47341	400
# dpm_read=507479802125413
507479802125413	400	933	unavailable	0	76000	378595	400
507479822127464	400	933	unavailable	0	76000	46038	400
507479842167287	400	933	unavailable	0	76000	48563	400
507479862128570	400	933	unavailable	0	76000	363085	400
507479882167822	400	933	unavailable	0	76000	47130	400
507479902128163	400	933	unavailable	0	76000	46429	400
507479922129522	400	933	unavailable	0	76000	482775	400
507479942132074	400	933	unavailable	0	76000	44706	400
507479962129837	400	933	unavailable	0	76000	45877	400
507479982126687	400	933	unavailable	0	76000	598587	400
# dpm_read=507480004424534
507480004424534	400	933	unavailable	0	75000	109350	400
507480022123165	400	933	unavailable	0	75000	41479	400
507480042122360	400	933	unavailable	0	75000	41670	400
507480062121886	400	933	unavailable	0	75000	256691	400
507480082122163	400	933	unavailable	0	75000	42261	400
507480102235948	400	933	unavailable	0	75000	41460	400
507480122121446	400	933	unavailable	0	75000	374677	400
507480142121904	400	933	unavailable	0	75000	40798	400
507480162121620	400	933	unavailable	0	75000	40538	400
507480182127618	400	933	unavailable	0	75000	483947	400
# dpm_read=507480202121714
507480202121714	400	933	unavailable	0	75000	109790	400
507480222123114	400	933	unavailable	0	75000	41299	400
507480242127068	400	933	unavailable	0	75000	602424	400
507480262124630	400	933	unavailable	0	75000	140700	400
507480282122373	400	933	unavailable	0	75000	41499	400
507480303072058	400	933	unavailable	0	75000	40568	400
507480322126845	400	933	unavailable	0	75000	278694	400
507480342120730	400	933	unavailable	0	75000	42852	400
507480362126098	400	933	unavailable	0	75000	41489	400
507480382124872	400	933	unavailable	0	75000	376080	400
# dpm_read=507480402122735
507480402122735	400	933	unavailable	0	75000	108157	400
507480422122121	400	933	unavailable	0	75000	41980	400
507480442133940	400	933	unavailable	0	75000	482504	400
507480462125832	400	933	unavailable	0	75000	45236	400
507480482123424	400	933	unavailable	0	75000	42241	400
507480502121277	400	933	unavailable	0	75000	609747	400
507480522120893	400	933	unavailable	0	75000	149186	400
507480542808577	400	933	unavailable	0	75000	508864	400
507480562124703	400	933	unavailable	0	75000	41139	400
507480582122103	400	933	unavailable	0	75000	266610	400
# meminfo monotonic_ns=507480602123160 mem_available_kb=27321872 pswpin=8
# host monotonic_ns=507480602123160 load1=0.86 ksm_pages_sharing=0
# dpm_read=507480602123160
507480602123160	400	933	unavailable	0	75000	156369	400
507480622126020	400	933	unavailable	0	75000	43523	400
507480642123119	400	933	unavailable	0	75000	381751	400
507480662122593	400	933	unavailable	0	75000	41800	400
507480682122839	400	933	unavailable	0	75000	40728	400
507480702122824	400	933	unavailable	0	75000	501319	400
507480722209043	400	933	unavailable	0	75000	40899	400
507480742280024	400	933	unavailable	0	75000	41870	400
507480762127267	400	933	unavailable	0	75000	610869	400
507480782121260	400	933	unavailable	0	75000	154546	400
# dpm_read=507480802123579
507480802123579	400	933	unavailable	0	74000	106484	400
507480822225469	400	933	unavailable	0	74000	621811	400
507480842122978	400	933	unavailable	0	74000	269266	400
507480863087610	400	933	unavailable	0	74000	346203	400
507480882121625	400	933	unavailable	0	74000	40598	400
507480903014710	400	933	unavailable	0	74000	41570	400
507480922127446	400	933	unavailable	0	74000	41560	400
507480942908717	400	933	unavailable	0	74000	180155	400
507480962125312	400	933	unavailable	0	74000	505117	400
507480982124966	400	933	unavailable	0	74000	43593	400
# dpm_read=507481002867122
507481002867122	400	933	unavailable	0	74000	407240	400
507481022122521	400	933	unavailable	0	74000	615018	400
507481042125722	400	933	unavailable	0	74000	153744	400
507481062534259	400	933	unavailable	0	74000	41650	400
507481082463509	400	933	unavailable	0	74000	396379	400
507481102124865	400	933	unavailable	0	74000	269346	400
507481122236223	400	933	unavailable	0	74000	41790	400
507481142177075	400	933	unavailable	0	74000	42070	400
507481162126272	400	933	unavailable	0	74000	388514	400
507481182123442	400	933	unavailable	0	74000	44255	400
# dpm_read=507481202121954
507481202121954	400	933	unavailable	0	74000	109920	400
507481222125526	400	933	unavailable	0	74000	503293	400
507481242121783	400	933	unavailable	0	74000	45748	400
507481262149351	400	933	unavailable	0	74000	41840	400
507481282613725	400	933	unavailable	0	74000	133987	400
507481302123271	400	933	unavailable	0	74000	189182	400
507481322122765	400	933	unavailable	0	74000	41990	400
507481342122860	400	933	unavailable	0	74000	41409	400
507481362363395	400	933	unavailable	0	74000	41851	400
507481382125024	400	933	unavailable	0	74000	40708	400
# dpm_read=507481402217596
507481402217596	400	933	unavailable	0	74000	110331	400
507481422457590	400	933	unavailable	0	74000	61308	400
507481442122574	400	933	unavailable	0	74000	42662	400
507481462122328	400	933	unavailable	0	74000	40999	400
507481482122494	400	933	unavailable	0	74000	542118	400
507481502122538	400	933	unavailable	0	74000	50858	400
507481522123605	400	933	unavailable	0	74000	41610	400
507481542123680	400	933	unavailable	0	74000	622472	400
507481562123674	400	933	unavailable	0	74000	166739	400
507481582691765	400	933	unavailable	0	74000	42962	400
# dpm_read=507481602123910
507481602123910	400	933	unavailable	0	73000	106795	400
507481622121899	400	933	unavailable	0	73000	289475	400
507481642223998	400	933	unavailable	0	73000	41289	400
507481662125993	400	933	unavailable	0	73000	41740	400
507481682123601	400	933	unavailable	0	73000	400527	400
507481702123614	400	933	unavailable	0	73000	41690	400
