# clock=CLOCK_MONOTONIC period_ns=20000000 drm_device=/sys/class/drm/card1/device hwmon=/sys/class/hwmon/hwmon6
# sample_rates: gpu_busy_percent_period_ns=20000000 pp_dpm_period_ns=200000000 temp1_input_period_ns=200000000 meminfo_period_ns=2000000000 vmstat_period_ns=2000000000 host_period_ns=2000000000
# interpretation: pp_dpm_sclk_selected_mhz is the selected graphics clock step; pp_dpm_mclk_surface_mhz is the pp_dpm_mclk sysfs surface, which on SMU10 is a fabric-clock state rather than the trained DRAM speed; pp_dpm_fclk_surface_mhz is the pp_dpm_fclk sysfs surface; sclk_actual_mhz is the delivered graphics frequency from hwmon freq1_input, which a forced performance level pins where the selected step states only what was requested
# sampler_pid=2367133 nice=19 cpu_affinity=0,1
monotonic_ns	pp_dpm_sclk_selected_mhz	pp_dpm_mclk_surface_mhz	pp_dpm_fclk_surface_mhz	gpu_busy_percent	temp1_millidegrees	sample_cost_ns	sclk_actual_mhz
# meminfo monotonic_ns=507631369661202 mem_available_kb=27330956 pswpin=8
# host monotonic_ns=507631369661202 load1=0.87 ksm_pages_sharing=0
# dpm_read=507631369661202
507631369661202	400	933	unavailable	0	63000	152019	400
507631389716645	400	933	unavailable	0	63000	34285	400
507631409715091	400	933	unavailable	0	63000	237542	400
507631429728092	400	933	unavailable	0	63000	48012	400
507631449722008	400	933	unavailable	0	63000	40006	400
507631469727236	400	933	unavailable	0	63000	297867	400
507631489725901	400	933	unavailable	0	63000	43493	400
507631509722212	400	933	unavailable	0	63000	36158	400
507631529717631	400	933	unavailable	0	63000	419279	400
507631549754819	400	933	unavailable	0	63000	43793	400
# dpm_read=507631569758533
507631569758533	400	933	unavailable	0	72000	125800	400
507631589758240	400	933	unavailable	0	72000	504110	400
507631609755251	400	933	unavailable	0	72000	45607	400
507631629755258	400	933	unavailable	0	72000	45417	400
507631649754574	400	933	unavailable	0	72000	621404	400
507631669755523	400	933	unavailable	0	72000	183379	400
507631689755199	400	933	unavailable	0	72000	41820	400
507631709753834	400	933	unavailable	0	72000	41879	400
507631729754121	400	933	unavailable	0	72000	303769	400
507631749755892	400	933	unavailable	0	72000	41429	400
# dpm_read=507631769759526
507631769759526	400	933	unavailable	0	73000	117283	400
507631789754172	400	933	unavailable	0	73000	393340	400
507631809754791	400	933	unavailable	0	73000	42060	400
507631829750580	400	933	unavailable	0	73000	43012	400
507631849754865	400	933	unavailable	0	73000	508499	400
507631869726027	400	933	unavailable	0	73000	71977	400
507631889756672	400	933	unavailable	0	73000	46229	400
507631909755668	400	933	unavailable	0	73000	622306	400
507631929755584	400	933	unavailable	0	73000	156098	400
507631949754359	400	933	unavailable	0	73000	42441	400
# dpm_read=507631969756049
507631969756049	400	933	unavailable	0	73000	117514	400
507631989756517	400	933	unavailable	0	73000	301014	400
507632009756735	400	933	unavailable	0	73000	43573	400
507632029751983	400	933	unavailable	0	73000	45096	400
507632050068213	400	933	unavailable	0	73000	101633	400
507632070016331	400	933	unavailable	0	73000	41469	400
507632089726776	400	933	unavailable	0	73000	41950	400
507632109715471	400	933	unavailable	0	73000	541142	400
507632129755214	400	933	unavailable	0	73000	44585	400
507632149755682	400	933	unavailable	0	73000	42872	400
# dpm_read=507632169759727
507632169759727	400	933	unavailable	0	73000	695495	400
507632189758692	400	933	unavailable	0	73000	158702	400
507632209760823	400	933	unavailable	0	73000	46429	400
507632229755189	400	933	unavailable	0	73000	42762	400
507632249756940	400	933	unavailable	0	73000	273972	400
507632269758971	400	933	unavailable	0	73000	45767	400
507632289757756	400	933	unavailable	0	73000	42440	400
507632309751290	400	933	unavailable	0	73000	400784	400
507632329756587	400	933	unavailable	0	73000	42551	400
507632349754661	400	933	unavailable	0	73000	43052	400
# dpm_read=507632369757032
507632369757032	400	933	unavailable	0	74000	591067	400
507632389755066	400	933	unavailable	0	74000	48211	400
507632409751756	400	933	unavailable	0	74000	42281	400
507632429757244	400	933	unavailable	0	74000	623658	400
507632449753053	400	933	unavailable	0	74000	192787	400
507632469756106	400	933	unavailable	0	74000	46729	400
507632489757566	400	933	unavailable	0	74000	46518	400
507632509755088	400	933	unavailable	0	74000	311423	400
507632529758902	400	933	unavailable	0	74000	47290	400
507632549752517	400	933	unavailable	0	74000	45948	400
# dpm_read=507632569732035
507632569732035	400	933	unavailable	0	74000	498279	400
507632589736369	400	933	unavailable	0	74000	43744	400
507632609728521	400	933	unavailable	0	74000	47180	400
507632629736803	400	933	unavailable	0	74000	529810	400
507632649771486	400	933	unavailable	0	74000	51858	400
507632669728009	400	933	unavailable	0	74000	45417	400
507632689731001	400	933	unavailable	0	74000	47270	400
507632709731048	400	933	unavailable	0	74000	254825	400
507632729720264	400	933	unavailable	0	74000	36579	400
507632749728135	400	933	unavailable	0	74000	48342	400
# dpm_read=507632770151899
507632770151899	400	933	unavailable	0	74000	107836	400
507632789725733	400	933	unavailable	0	74000	43453	400
507632809802757	400	933	unavailable	0	74000	40557	400
507632829726758	400	933	unavailable	0	74000	422696	400
507632849793632	400	933	unavailable	0	74000	40557	400
507632869723034	400	933	unavailable	0	74000	41689	400
507632890585284	400	933	unavailable	0	74000	41429	400
507632909833628	400	933	unavailable	0	74000	41539	400
507632929721310	400	933	unavailable	0	74000	41880	400
507632949722569	400	933	unavailable	0	74000	43032	400
# dpm_read=507632969722555
507632969722555	400	933	unavailable	0	73000	267580	400
507632989721600	400	933	unavailable	0	73000	41389	400
507633010019514	400	933	unavailable	0	73000	477300	400
507633029725560	400	933	unavailable	0	73000	311023	400
507633050101573	400	933	unavailable	0	73000	41089	400
507633069721305	400	933	unavailable	0	73000	41018	400
507633089721883	400	933	unavailable	0	73000	430159	400
507633109726358	400	933	unavailable	0	73000	41499	400
507633130061633	400	933	unavailable	0	73000	41840	400
507633149846690	400	933	unavailable	0	73000	419710	400
# dpm_read=507633169727800
507633169727800	400	933	unavailable	0	73000	144515	400
507633189722756	400	933	unavailable	0	73000	41489	400
507633209722933	400	933	unavailable	0	73000	40708	400
507633229725474	400	933	unavailable	0	73000	195683	400
507633249722475	400	933	unavailable	0	73000	41109	400
507633269725107	400	933	unavailable	0	73000	41469	400
507633290030926	400	933	unavailable	0	73000	41769	400
507633309725691	400	933	unavailable	0	73000	41759	400
507633329721359	400	933	unavailable	0	73000	44284	400
507633349723209	400	933	unavailable	0	73000	429969	400
# meminfo monotonic_ns=507633369721392 mem_available_kb=27323080 pswpin=8
# host monotonic_ns=507633369721392 load1=0.88 ksm_pages_sharing=0
# dpm_read=507633369721392
507633369721392	400	933	unavailable	0	73000	158552	400
507633389723222	400	933	unavailable	0	73000	43843	400
507633409726925	400	933	unavailable	0	73000	541793	400
507633429723535	400	933	unavailable	0	73000	83479	400
507633449725876	400	933	unavailable	0	73000	40307	400
507633469721184	400	933	unavailable	0	73000	41138	400
507633489723915	400	933	unavailable	0	73000	197076	400
507633509720715	400	933	unavailable	0	73000	43684	400
507633529723367	400	933	unavailable	0	73000	43032	400
507633550509281	400	933	unavailable	0	73000	44335	400
# dpm_read=507633569726736
507633569726736	400	933	unavailable	0	73000	109929	400
507633589725178	400	933	unavailable	0	73000	43754	400
507633609726316	400	933	unavailable	0	73000	428577	400
507633629723898	400	933	unavailable	0	73000	43062	400
507633649722501	400	933	unavailable	0	73000	42922	400
507633669722366	400	933	unavailable	0	73000	550169	400
507633689724296	400	933	unavailable	0	73000	81535	400
507633709721386	400	933	unavailable	0	73000	41149	400
507633730719003	400	933	unavailable	0	73000	41860	400
507633749725225	400	933	unavailable	0	73000	197707	400
# dpm_read=507633770043598
507633770043598	400	933	unavailable	0	73000	109478	400
507633790761722	400	933	unavailable	0	73000	42802	400
507633809814874	400	933	unavailable	0	73000	225048	400
507633830728280	400	933	unavailable	0	73000	353634	400
507633849726046	400	933	unavailable	0	73000	41379	400
507633869722285	400	933	unavailable	0	73000	436471	400
507633889724695	400	933	unavailable	0	73000	41218	400
507633909720944	400	933	unavailable	0	73000	41689	400
507633929723524	400	933	unavailable	0	73000	550469	400
507633949723600	400	933	unavailable	0	73000	88569	400
# dpm_read=507633969723446
507633969723446	400	933	unavailable	0	73000	107655	400
507633989722460	400	933	unavailable	0	73000	41880	400
507634009723037	400	933	unavailable	0	73000	204339	400
507634029724024	400	933	unavailable	0	73000	41219	400
507634049723299	400	933	unavailable	0	73000	43202	400
507634069726531	400	933	unavailable	0	73000	350939	400
507634089780189	400	933	unavailable	0	73000	40668	400
507634109725801	400	933	unavailable	0	73000	42291	400
507634129721900	400	933	unavailable	0	73000	440820	400
507634149723118	400	933	unavailable	0	73000	42090	400
# dpm_read=507634169722222
507634169722222	400	933	unavailable	0	73000	108637	400
507634189722298	400	933	unavailable	0	73000	554717	400
507634209722714	400	933	unavailable	0	73000	91996	400
507634230067597	400	933	unavailable	0	73000	44135	400
507634249726563	400	933	unavailable	0	73000	44074	400
507634269722381	400	933	unavailable	0	73000	207546	400
507634289722888	400	933	unavailable	0	73000	42651	400
507634309722493	400	933	unavailable	0	73000	42291	400
507634329769589	400	933	unavailable	0	73000	280394	400
507634349722906	400	933	unavailable	0	73000	42481	400
# dpm_read=507634370776309
507634370776309	400	933	unavailable	0	73000	110060	400
507634389725392	400	933	unavailable	0	73000	437814	400
507634409725949	400	933	unavailable	0	73000	43513	400
507634429721606	400	933	unavailable	0	73000	41249	400
507634449721803	400	933	unavailable	0	73000	560428	400
507634469723442	400	933	unavailable	0	73000	93528	400
507634489722706	400	933	unavailable	0	73000	40948	400
507634509722582	400	933	unavailable	0	73000	41428	400
507634530227900	400	933	unavailable	0	73000	40688	400
507634549725228	400	933	unavailable	0	73000	41650	400
# dpm_read=507634569729552
507634569729552	400	933	unavailable	0	73000	105992	400
507634589722313	400	933	unavailable	0	73000	362331	400
507634609723952	400	933	unavailable	0	73000	41859	400
507634629725309	400	933	unavailable	0	73000	41770	400
507634649727669	400	933	unavailable	0	73000	436672	400
507634669729247	400	933	unavailable	0	73000	40347	400
507634689722420	400	933	unavailable	0	73000	40577	400
507634709722896	400	933	unavailable	0	73000	556290	400
507634729722650	400	933	unavailable	0	73000	98027	400
507634749724419	400	933	unavailable	0	73000	41659	400
# dpm_read=507634769722921
507634769722921	400	933	unavailable	0	73000	690947	400
507634789722857	400	933	unavailable	0	73000	211943	400
507634809722501	400	933	unavailable	0	73000	41118	400
507634829720883	400	933	unavailable	0	73000	41630	400
507634849721780	400	933	unavailable	0	73000	331221	400
507634869723469	400	933	unavailable	0	73000	42390	400
507634889724866	400	933	unavailable	0	73000	41660	400
507634909724461	400	933	unavailable	0	73000	467801	400
507634929800802	400	933	unavailable	0	73000	40787	400
507634949781921	400	933	unavailable	0	73000	41058	400
# dpm_read=507634969723214
507634969723214	400	933	unavailable	0	73000	628558	400
507634989722117	400	933	unavailable	0	73000	127764	400
507635009721361	400	933	unavailable	0	73000	44315	400
507635029721106	400	933	unavailable	0	73000	42150	400
507635049721081	400	933	unavailable	0	73000	215551	400
507635069820816	400	933	unavailable	0	73000	42061	400
507635089765476	400	933	unavailable	0	73000	42000	400
507635109772795	400	933	unavailable	0	73000	447673	400
507635129725761	400	933	unavailable	0	73000	42801	400
507635149725546	400	933	unavailable	0	73000	41669	400
# dpm_read=507635169741381
507635169741381	400	933	unavailable	0	73000	502237	400
507635190022422	400	933	unavailable	0	73000	41750	400
507635209724900	400	933	unavailable	0	73000	43423	400
507635229725186	400	933	unavailable	0	73000	578352	400
507635249722636	400	933	unavailable	0	73000	99991	400
507635269723333	400	933	unavailable	0	73000	42260	400
507635289726644	400	933	unavailable	0	73000	42111	400
507635309722722	400	933	unavailable	0	73000	217084	400
507635329729931	400	933	unavailable	0	73000	39966	400
