# clock=CLOCK_MONOTONIC period_ns=20000000 drm_device=/sys/class/drm/card1/device hwmon=/sys/class/hwmon/hwmon6
# sample_rates: gpu_busy_percent_period_ns=20000000 pp_dpm_period_ns=200000000 temp1_input_period_ns=200000000 meminfo_period_ns=2000000000 vmstat_period_ns=2000000000 host_period_ns=2000000000
# interpretation: pp_dpm_sclk_selected_mhz is the selected graphics clock step; pp_dpm_mclk_surface_mhz is the pp_dpm_mclk sysfs surface, which on SMU10 is a fabric-clock state rather than the trained DRAM speed; pp_dpm_fclk_surface_mhz is the pp_dpm_fclk sysfs surface; sclk_actual_mhz is the delivered graphics frequency from hwmon freq1_input, which a forced performance level pins where the selected step states only what was requested
# sampler_pid=2890857 nice=19 cpu_affinity=0,1
monotonic_ns	pp_dpm_sclk_selected_mhz	pp_dpm_mclk_surface_mhz	pp_dpm_fclk_surface_mhz	gpu_busy_percent	temp1_millidegrees	sample_cost_ns	sclk_actual_mhz
# meminfo monotonic_ns=511971585709092 mem_available_kb=27313932 pswpin=8
# host monotonic_ns=511971585709092 load1=0.62 ksm_pages_sharing=0
# dpm_read=511971585709092
511971585709092	400	933	unavailable	0	63000	858996	400
511971605769266	400	933	unavailable	0	63000	169613	400
511971625765560	400	933	unavailable	0	63000	34226	400
511971645775860	400	933	unavailable	0	63000	44895	400
511971665770881	400	933	unavailable	0	63000	294451	400
511971685772674	400	933	unavailable	0	63000	39656	400
511971705767705	400	933	unavailable	0	63000	33834	400
511971725779697	400	933	unavailable	0	63000	433436	400
511971745771041	400	933	unavailable	0	63000	40477	400
511971765772314	400	933	unavailable	0	63000	45126	400
# dpm_read=511971785770130
511971785770130	400	933	unavailable	0	74000	595824	400
511971805797121	400	933	unavailable	0	74000	45066	400
511971825791961	400	933	unavailable	0	74000	38063	400
511971845799456	400	933	unavailable	0	74000	607537	400
511971865792232	400	933	unavailable	0	74000	178310	400
511971885799346	400	933	unavailable	0	74000	39104	400
511971905793705	400	933	unavailable	0	74000	37692	400
511971925803113	400	933	unavailable	0	74000	257410	400
511971945802853	400	933	unavailable	0	74000	45136	400
511971965799667	400	933	unavailable	0	74000	43533	400
# dpm_read=511971985800007
511971985800007	400	933	unavailable	0	75000	450518	400
511972005798956	400	933	unavailable	0	75000	42260	400
511972025798645	400	933	unavailable	0	75000	40978	400
511972045791752	400	933	unavailable	0	75000	500163	400
511972065806039	400	933	unavailable	0	75000	42110	400
511972085780030	400	933	unavailable	0	75000	39415	400
511972105791772	400	933	unavailable	0	75000	614831	400
511972125799257	400	933	unavailable	0	75000	145787	400
511972145928363	400	933	unavailable	0	75000	41058	400
511972165802764	400	933	unavailable	0	75000	41669	400
# dpm_read=511972185802273
511972185802273	400	933	unavailable	0	75000	336140	400
511972205803886	400	933	unavailable	0	75000	44505	400
511972225799407	400	933	unavailable	0	75000	42441	400
511972245803656	400	933	unavailable	0	75000	374914	400
511972265801872	400	933	unavailable	0	75000	44064	400
511972285804327	400	933	unavailable	0	75000	43653	400
511972305800299	400	933	unavailable	0	75000	498289	400
511972325799077	400	933	unavailable	0	75000	51438	400
511972346277899	400	933	unavailable	0	75000	592709	400
511972365773509	400	933	unavailable	0	75000	626343	400
# dpm_read=511972385806562
511972385806562	400	933	unavailable	0	75000	244546	400
511972405805710	400	933	unavailable	0	75000	42601	400
511972425773609	400	933	unavailable	0	75000	41359	400
511972445801843	400	933	unavailable	0	75000	262921	400
511972465802023	400	933	unavailable	0	75000	42902	400
511972485837281	400	933	unavailable	0	75000	42350	400
511972505805360	400	933	unavailable	0	75000	375806	400
511972525800341	400	933	unavailable	0	75000	41268	400
511972545777347	400	933	unavailable	0	75000	42070	400
511972565806222	400	933	unavailable	0	75000	489542	400
# dpm_read=511972585802595
511972585802595	400	933	unavailable	0	75000	121532	400
511972605801093	400	933	unavailable	0	75000	41609	400
511972625804369	400	933	unavailable	0	75000	609731	400
511972645804430	400	933	unavailable	0	75000	147921	400
511972665804299	400	933	unavailable	0	75000	42592	400
511972685804771	400	933	unavailable	0	75000	48692	400
511972705798018	400	933	unavailable	0	75000	267349	400
511972725800423	400	933	unavailable	0	75000	40868	400
511972745796656	400	933	unavailable	0	75000	39365	400
511972765794251	400	933	unavailable	0	75000	413478	400
# dpm_read=511972785801485
511972785801485	400	933	unavailable	0	76000	112615	400
511972805802397	400	933	unavailable	0	76000	40127	400
511972825800263	400	933	unavailable	0	76000	503249	400
511972845801907	400	933	unavailable	0	76000	48923	400
511972865804532	400	933	unavailable	0	76000	41379	400
511972885803350	400	933	unavailable	0	76000	611414	400
511972905800064	400	933	unavailable	0	76000	151438	400
511972925811456	400	933	unavailable	0	76000	49674	400
511972945798892	400	933	unavailable	0	76000	42160	400
511972965803711	400	933	unavailable	0	76000	278821	400
# dpm_read=511972985776039
511972985776039	400	933	unavailable	0	76000	121461	400
511973005787671	400	933	unavailable	0	76000	43293	400
511973025798642	400	933	unavailable	0	76000	385745	400
511973045797430	400	933	unavailable	0	76000	41039	400
511973065792772	400	933	unavailable	0	76000	40236	400
511973085771331	400	933	unavailable	0	76000	540239	400
511973105795267	400	933	unavailable	0	76000	42531	400
511973125792091	400	933	unavailable	0	76000	37491	400
511973145794576	400	933	unavailable	0	76000	619079	400
511973165795187	400	933	unavailable	0	76000	157019	400
# dpm_read=511973185772815
511973185772815	400	933	unavailable	0	76000	112104	400
511973205796210	400	933	unavailable	0	76000	41329	400
511973225792823	400	933	unavailable	0	76000	281026	400
511973245798535	400	933	unavailable	0	76000	40737	400
511973265791602	400	933	unavailable	0	76000	40276	400
511973285773628	400	933	unavailable	0	76000	414760	400
511973305798615	400	933	unavailable	0	76000	42381	400
511973325792975	400	933	unavailable	0	76000	40036	400
511973345798055	400	933	unavailable	0	76000	509099	400
511973365793356	400	933	unavailable	0	76000	42271	400
# dpm_read=511973385767617
511973385767617	400	933	unavailable	0	76000	103928	400
511973405799187	400	933	unavailable	0	76000	620332	400
511973425797224	400	933	unavailable	0	76000	158883	400
511973445796282	400	933	unavailable	0	76000	39766	400
511973465800230	400	933	unavailable	0	76000	43343	400
511973485820880	400	933	unavailable	0	76000	290613	400
511973505799499	400	933	unavailable	0	76000	41279	400
511973525793047	400	933	unavailable	0	76000	40337	400
511973545792246	400	933	unavailable	0	76000	393439	400
511973565792286	400	933	unavailable	0	76000	40567	400
# meminfo monotonic_ns=511973585771958 mem_available_kb=27305604 pswpin=8
# host monotonic_ns=511973585771958 load1=0.65 ksm_pages_sharing=0
# dpm_read=511973585771958
511973585771958	400	933	unavailable	0	76000	205651	400
511973605799210	400	933	unavailable	0	76000	506425	400
511973625791936	400	933	unavailable	0	76000	45156	400
511973645800082	400	933	unavailable	0	76000	40167	400
511973665792879	400	933	unavailable	0	76000	617877	400
511973685865788	400	933	unavailable	0	76000	89350	400
511973705799883	400	933	unavailable	0	76000	40748	400
511973725792629	400	933	unavailable	0	76000	37993	400
511973745795125	400	933	unavailable	0	76000	277238	400
511973765792089	400	933	unavailable	0	76000	37632	400
# dpm_read=511973785805555
511973785805555	400	933	unavailable	0	76000	120940	400
511973805813260	400	933	unavailable	0	76000	380805	400
511973825778895	400	933	unavailable	0	76000	45797	400
511973845777292	400	933	unavailable	0	76000	47761	400
511973865814083	400	933	unavailable	0	76000	494592	400
511973885776041	400	933	unavailable	0	76000	65655	400
511973905819363	400	933	unavailable	0	76000	45337	400
511973925774448	400	933	unavailable	0	76000	40437	400
511973947068333	400	933	unavailable	0	76000	389592	400
511973968032850	400	933	unavailable	0	76000	512386	400
# dpm_read=511973985770662
511973985770662	400	933	unavailable	0	76000	109669	400
511974005773478	400	933	unavailable	0	76000	308828	400
511974025775832	400	933	unavailable	0	76000	41459	400
511974045774921	400	933	unavailable	0	76000	40647	400
511974065770363	400	933	unavailable	0	76000	418928	400
511974085772527	400	933	unavailable	0	76000	41429	400
511974105884851	400	933	unavailable	0	76000	41139	400
511974125774101	400	933	unavailable	0	76000	531011	400
511974145769793	400	933	unavailable	0	76000	71456	400
511974165770996	400	933	unavailable	0	76000	42290	400
# dpm_read=511974185770725
511974185770725	400	933	unavailable	0	76000	691607	400
511974205768421	400	933	unavailable	0	76000	195372	400
511974225770956	400	933	unavailable	0	76000	41479	400
511974245830791	400	933	unavailable	0	76000	40757	400
511974265774684	400	933	unavailable	0	76000	302216	400
511974285770887	400	933	unavailable	0	76000	41770	400
511974305770617	400	933	unavailable	0	76000	41409	400
511974325770417	400	933	unavailable	0	76000	428997	400
511974346737489	400	933	unavailable	0	76000	494562	400
511974366029050	400	933	unavailable	0	76000	42040	400
# dpm_read=511974385775528
511974385775528	400	933	unavailable	0	76000	629559	400
511974405788252	400	933	unavailable	0	76000	55336	400
511974425769537	400	933	unavailable	0	76000	43894	400
511974445770329	400	933	unavailable	0	76000	43433	400
511974465769898	400	933	unavailable	0	76000	191716	400
511974485768847	400	933	unavailable	0	76000	39505	400
511974506216409	400	933	unavailable	0	76000	326071	400
511974526016920	400	933	unavailable	0	76000	58662	400
511974545774899	400	933	unavailable	0	76000	41710	400
511974565772235	400	933	unavailable	0	76000	41428	400
# dpm_read=511974585769760
511974585769760	400	933	unavailable	0	75000	493610	400
511974605770682	400	933	unavailable	0	75000	40979	400
511974625773719	400	933	unavailable	0	75000	40727	400
511974645770513	400	933	unavailable	0	75000	542573	400
511974665770013	400	933	unavailable	0	75000	75273	400
511974685770744	400	933	unavailable	0	75000	40227	400
511974705768150	400	933	unavailable	0	75000	40307	400
511974725769002	400	933	unavailable	0	75000	194100	400
511974745770405	400	933	unavailable	0	75000	41048	400
511974765904792	400	933	unavailable	0	75000	628627	400
# dpm_read=511974785773291
511974785773291	400	933	unavailable	0	75000	379644	400
511974806040250	400	933	unavailable	0	75000	41790	400
511974825772080	400	933	unavailable	0	75000	42751	400
511974845772000	400	933	unavailable	0	75000	541522	400
511974865778062	400	933	unavailable	0	75000	41479	400
511974885856122	400	933	unavailable	0	75000	42601	400
511974905784906	400	933	unavailable	0	75000	526503	400
511974925776411	400	933	unavailable	0	75000	72658	400
511974945772894	400	933	unavailable	0	75000	43493	400
511974965774448	400	933	unavailable	0	75000	43232	400
# dpm_read=511974985777123
511974985777123	400	933	unavailable	0	75000	267039	400
511975005877214	400	933	unavailable	0	75000	43303	400
511975025773607	400	933	unavailable	0	75000	43624	400
511975045773528	400	933	unavailable	0	75000	310261	400
511975065774650	400	933	unavailable	0	75000	44134	400
511975085771896	400	933	unavailable	0	75000	41408	400
511975105773469	400	933	unavailable	0	75000	442443	400
511975126608951	400	933	unavailable	0	75000	623116	400
511975145769332	400	933	unavailable	0	75000	43282	400
511975165769884	400	933	unavailable	0	75000	543024	400
# dpm_read=511975185770225
511975185770225	400	933	unavailable	0	74000	152550	400
511975205770255	400	933	unavailable	0	74000	43142	400
511975225770165	400	933	unavailable	0	74000	43022	400
511975245770336	400	933	unavailable	0	74000	227423	400
511975265769786	400	933	unavailable	0	74000	40587	400
511975285768944	400	933	unavailable	0	74000	41409	400
511975305768995	400	933	unavailable	0	74000	315591	400
511975325773764	400	933	unavailable	0	74000	41379	400
511975346835978	400	933	unavailable	0	74000	40267	400
511975365773335	400	933	unavailable	0	74000	436411	400
# dpm_read=511975385770610
511975385770610	400	933	unavailable	0	74000	110250	400
511975405770921	400	933	unavailable	0	74000	43543	400
511975425768737	400	933	unavailable	0	74000	546741	400
511975445769299	400	933	unavailable	0	74000	84030	400
511975465776453	400	933	unavailable	0	74000	40988	400
511975485775471	400	933	unavailable	0	74000	44315	400
511975505770502	400	933	unavailable	0	74000	197346	400
511975525770102	400	933	unavailable	0	74000	43523	400
511975545794890	400	933	unavailable	0	74000	41008	400
511975565772978	400	933	unavailable	0	74000	533426	400
# meminfo monotonic_ns=511975585771206 mem_available_kb=27316056 pswpin=8
# host monotonic_ns=511975585771206 load1=0.65 ksm_pages_sharing=0
# dpm_read=511975585771206
511975585771206	400	933	unavailable	0	74000	155406	400
511975605770024	400	933	unavailable	0	74000	41569	400
511975625769554	400	933	unavailable	0	74000	430890	400
511975645773522	400	933	unavailable	0	74000	41058	400
511975665768022	400	933	unavailable	0	74000	41329	400
511975686643860	400	933	unavailable	0	74000	42612	400
511975705773934	400	933	unavailable	0	74000	79441	400
511975725776369	400	933	unavailable	0	74000	43704	400
511975745775508	400	933	unavailable	0	74000	44525	400
511975765770169	400	933	unavailable	0	74000	200381	400
# dpm_read=511975785770510
511975785770510	400	933	unavailable	0	73000	109899	400
511975805770210	400	933	unavailable	0	73000	42932	400
511975825769509	400	933	unavailable	0	73000	438415	400
511975845769099	400	933	unavailable	0	73000	43222	400
511975865774299	400	933	unavailable	0	73000	42752	400
511975885772416	400	933	unavailable	0	73000	431873	400
511975905857960	400	933	unavailable	0	73000	41950	400
511975925873200	400	933	unavailable	0	73000	40787	400
511975945771186	400	933	unavailable	0	73000	547633	400
511975966028306	400	933	unavailable	0	73000	41339	400
# dpm_read=511975986015993
511975986015993	400	933	unavailable	0	73000	8946830	400
511976005769404	400	933	unavailable	0	73000	41249	400
511976025770657	400	933	unavailable	0	73000	239045	400
