monitor_start_utc=2026-09-04T04:11:22Z server_pid=2906414 sample_seconds=1 profile=low-async latency_watchdog_pid=2906990 kernel_hazard_watchdog_pid=2907000 guard_affinity=1 guard_nice=0
threshold_mem_available_kib=4194304 threshold_swapin_bytes_per_sample=67108864 report_temperature_millicelsius=90000
threshold_maximum_gpu_busy_percent=100 enforcement=terminate_on_sample_above_threshold
sample_utc=2026-09-04T04:11:22Z affinity=0 nice=19 rss_kib=177060 peak_rss_kib=177060 mem_available_kib=26050228 swapin_bytes=0 max_temp_millicelsius=78750 gpu_busy_percent=10 gtt_used_bytes=1202749440 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 400Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:11:23Z affinity=0 nice=19 rss_kib=177624 peak_rss_kib=177624 mem_available_kib=25935724 swapin_bytes=0 max_temp_millicelsius=79000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:11:24Z affinity=0 nice=19 rss_kib=180696 peak_rss_kib=180696 mem_available_kib=25888896 swapin_bytes=0 max_temp_millicelsius=79375 gpu_busy_percent=91 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:11:25Z affinity=0 nice=19 rss_kib=180696 peak_rss_kib=180696 mem_available_kib=25888396 swapin_bytes=0 max_temp_millicelsius=80375 gpu_busy_percent=81 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 1016Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:11:26Z affinity=0 nice=19 rss_kib=180696 peak_rss_kib=180696 mem_available_kib=25897244 swapin_bytes=0 max_temp_millicelsius=79875 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:11:27Z affinity=0 nice=19 rss_kib=180696 peak_rss_kib=180696 mem_available_kib=25898280 swapin_bytes=0 max_temp_millicelsius=80625 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:11:28Z affinity=0 nice=19 rss_kib=180696 peak_rss_kib=180696 mem_available_kib=25900540 swapin_bytes=0 max_temp_millicelsius=81625 gpu_busy_percent=48 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 500Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:11:29Z affinity=0 nice=19 rss_kib=180696 peak_rss_kib=180696 mem_available_kib=25898724 swapin_bytes=0 max_temp_millicelsius=82750 gpu_busy_percent=93 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 985Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:11:30Z affinity=0 nice=19 rss_kib=180696 peak_rss_kib=180696 mem_available_kib=25900100 swapin_bytes=0 max_temp_millicelsius=82125 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 971Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:11:31Z affinity=0 nice=19 rss_kib=180696 peak_rss_kib=180696 mem_available_kib=25899924 swapin_bytes=0 max_temp_millicelsius=82000 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 957Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:11:33Z affinity=0 nice=19 rss_kib=180696 peak_rss_kib=180696 mem_available_kib=25799568 swapin_bytes=0 max_temp_millicelsius=82125 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 971Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
