monitor_start_utc=2026-09-04T03:56:26Z server_pid=2681179 sample_seconds=1 profile=low-async latency_watchdog_pid=2681749 kernel_hazard_watchdog_pid=2681758 guard_affinity=1 guard_nice=0
threshold_mem_available_kib=4194304 threshold_swapin_bytes_per_sample=67108864 report_temperature_millicelsius=90000
threshold_maximum_gpu_busy_percent=100 enforcement=terminate_on_sample_above_threshold
sample_utc=2026-09-04T03:56:26Z affinity=0 nice=19 rss_kib=179096 peak_rss_kib=179096 mem_available_kib=26129352 swapin_bytes=0 max_temp_millicelsius=75000 gpu_busy_percent=10 gtt_used_bytes=1202749440 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 400Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T03:56:27Z affinity=0 nice=19 rss_kib=179788 peak_rss_kib=179788 mem_available_kib=26129384 swapin_bytes=0 max_temp_millicelsius=74000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T03:56:28Z affinity=0 nice=19 rss_kib=182840 peak_rss_kib=182840 mem_available_kib=26127360 swapin_bytes=0 max_temp_millicelsius=73000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T03:56:29Z affinity=0 nice=19 rss_kib=182840 peak_rss_kib=182840 mem_available_kib=26127204 swapin_bytes=0 max_temp_millicelsius=73000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T03:56:30Z affinity=0 nice=19 rss_kib=182840 peak_rss_kib=182840 mem_available_kib=26126940 swapin_bytes=0 max_temp_millicelsius=72375 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T03:56:31Z affinity=0 nice=19 rss_kib=182840 peak_rss_kib=182840 mem_available_kib=26126460 swapin_bytes=0 max_temp_millicelsius=72875 gpu_busy_percent=94 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T03:56:32Z affinity=0 nice=19 rss_kib=182840 peak_rss_kib=182840 mem_available_kib=26125732 swapin_bytes=0 max_temp_millicelsius=73000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T03:56:33Z affinity=0 nice=19 rss_kib=182840 peak_rss_kib=182840 mem_available_kib=26125192 swapin_bytes=0 max_temp_millicelsius=73375 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T03:56:34Z affinity=0 nice=19 rss_kib=182840 peak_rss_kib=182840 mem_available_kib=26124972 swapin_bytes=0 max_temp_millicelsius=73500 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T03:56:35Z affinity=0 nice=19 rss_kib=182840 peak_rss_kib=182840 mem_available_kib=26124744 swapin_bytes=0 max_temp_millicelsius=73750 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T03:56:36Z affinity=0 nice=19 rss_kib=182840 peak_rss_kib=182840 mem_available_kib=26124304 swapin_bytes=0 max_temp_millicelsius=74000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T03:56:37Z affinity=0 nice=19 rss_kib=182840 peak_rss_kib=182840 mem_available_kib=26124040 swapin_bytes=0 max_temp_millicelsius=74125 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T03:56:38Z affinity=0 nice=19 rss_kib=182840 peak_rss_kib=182840 mem_available_kib=26123808 swapin_bytes=0 max_temp_millicelsius=74250 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T03:56:39Z affinity=0 nice=19 rss_kib=182840 peak_rss_kib=182840 mem_available_kib=26123340 swapin_bytes=0 max_temp_millicelsius=74375 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T03:56:40Z affinity=0 nice=19 rss_kib=182840 peak_rss_kib=182840 mem_available_kib=26123080 swapin_bytes=0 max_temp_millicelsius=74875 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T03:56:41Z affinity=0 nice=19 rss_kib=182840 peak_rss_kib=182840 mem_available_kib=26122668 swapin_bytes=0 max_temp_millicelsius=74875 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T03:56:43Z affinity=0 nice=19 rss_kib=182840 peak_rss_kib=182840 mem_available_kib=26122292 swapin_bytes=0 max_temp_millicelsius=74875 gpu_busy_percent=97 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T03:56:44Z affinity=0 nice=19 rss_kib=182840 peak_rss_kib=182840 mem_available_kib=26122056 swapin_bytes=0 max_temp_millicelsius=75125 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
