monitor_start_utc=2026-09-04T03:57:11Z server_pid=2692523 sample_seconds=1 profile=low-async latency_watchdog_pid=2693086 kernel_hazard_watchdog_pid=2693095 guard_affinity=1 guard_nice=0
threshold_mem_available_kib=4194304 threshold_swapin_bytes_per_sample=67108864 report_temperature_millicelsius=90000
threshold_maximum_gpu_busy_percent=100 enforcement=terminate_on_sample_above_threshold
sample_utc=2026-09-04T03:57:11Z affinity=0 nice=19 rss_kib=179492 peak_rss_kib=179492 mem_available_kib=26128980 swapin_bytes=0 max_temp_millicelsius=73000 gpu_busy_percent=16 gtt_used_bytes=1202749440 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 400Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T03:57:12Z affinity=0 nice=19 rss_kib=180104 peak_rss_kib=180104 mem_available_kib=26134384 swapin_bytes=0 max_temp_millicelsius=73000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T03:57:13Z affinity=0 nice=19 rss_kib=183144 peak_rss_kib=183144 mem_available_kib=26134584 swapin_bytes=0 max_temp_millicelsius=72000 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T03:57:14Z affinity=0 nice=19 rss_kib=183144 peak_rss_kib=183144 mem_available_kib=26134348 swapin_bytes=0 max_temp_millicelsius=72000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T03:57:15Z affinity=0 nice=19 rss_kib=183144 peak_rss_kib=183144 mem_available_kib=26133960 swapin_bytes=0 max_temp_millicelsius=72125 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T03:57:16Z affinity=0 nice=19 rss_kib=183144 peak_rss_kib=183144 mem_available_kib=26133736 swapin_bytes=0 max_temp_millicelsius=72250 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T03:57:17Z affinity=0 nice=19 rss_kib=183144 peak_rss_kib=183144 mem_available_kib=26133500 swapin_bytes=0 max_temp_millicelsius=72625 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T03:57:18Z affinity=0 nice=19 rss_kib=183144 peak_rss_kib=183144 mem_available_kib=26133188 swapin_bytes=0 max_temp_millicelsius=72875 gpu_busy_percent=91 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 1033Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T03:57:19Z affinity=0 nice=19 rss_kib=183144 peak_rss_kib=183144 mem_available_kib=26132712 swapin_bytes=0 max_temp_millicelsius=73250 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T03:57:20Z affinity=0 nice=19 rss_kib=183144 peak_rss_kib=183144 mem_available_kib=26132484 swapin_bytes=0 max_temp_millicelsius=73625 gpu_busy_percent=97 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T03:57:21Z affinity=0 nice=19 rss_kib=183144 peak_rss_kib=183144 mem_available_kib=26132324 swapin_bytes=0 max_temp_millicelsius=74000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
