# clock=CLOCK_MONOTONIC period_ns=20000000 drm_device=/sys/class/drm/card1/device hwmon=/sys/class/hwmon/hwmon6
# sample_rates: gpu_busy_percent_period_ns=20000000 pp_dpm_period_ns=200000000 temp1_input_period_ns=200000000 meminfo_period_ns=2000000000 vmstat_period_ns=2000000000 host_period_ns=2000000000
# interpretation: pp_dpm_sclk_selected_mhz is the selected graphics clock step; pp_dpm_mclk_surface_mhz is the pp_dpm_mclk sysfs surface, which on SMU10 is a fabric-clock state rather than the trained DRAM speed; pp_dpm_fclk_surface_mhz is the pp_dpm_fclk sysfs surface; sclk_actual_mhz is the delivered graphics frequency from hwmon freq1_input, which a forced performance level pins where the selected step states only what was requested
# sampler_pid=415922 nice=19 cpu_affinity=0,1
monotonic_ns	pp_dpm_sclk_selected_mhz	pp_dpm_mclk_surface_mhz	pp_dpm_fclk_surface_mhz	gpu_busy_percent	temp1_millidegrees	sample_cost_ns	sclk_actual_mhz
# meminfo monotonic_ns=648519773586020 mem_available_kb=13034804 pswpin=416
# host monotonic_ns=648519773586020 load1=1.80 ksm_pages_sharing=329301
# dpm_read=648519773586020
648519773586020	1100	933	unavailable	0	79000	153772	1100
648519793648893	1100	933	unavailable	0	79000	235503	1100
648519813640437	1100	933	unavailable	0	79000	32840	1100
648519833685617	1100	933	unavailable	0	79000	44372	1100
648519853654478	1100	933	unavailable	0	79000	345094	1100
648519873654967	1100	933	unavailable	0	79000	46436	1100
648519893656939	1100	933	unavailable	0	79000	48690	1100
648519913654473	1100	933	unavailable	0	79000	458061	1100
648519933654000	1100	933	unavailable	0	79000	44883	1100
648519953653978	1100	933	unavailable	0	79000	40084	1100
# dpm_read=648519973664366
648519973664366	1100	933	unavailable	0	79000	638042	1100
648519993659996	1100	933	unavailable	0	79000	100605	1100
648520013655155	1100	933	unavailable	0	79000	44842	1100
648520033657748	1100	933	unavailable	0	79000	47668	1100
648520054011897	1100	933	unavailable	0	79000	43770	1100
648520074116507	1100	933	unavailable	0	79000	43631	1100
648520093646382	1100	933	unavailable	0	79000	43530	1100
648520113647522	1100	933	unavailable	0	79000	331970	1100
648520138260917	1100	933	unavailable	0	79000	40545	1100
648520154023038	1100	933	unavailable	0	79000	20017851	1100
# dpm_read=648520174064052
648520174064052	1100	933	unavailable	0	80000	109972	1100
648520193662102	1100	933	unavailable	0	80000	43580	1100
648520213659295	1100	933	unavailable	0	80000	43129	1100
648520233662389	1100	933	unavailable	0	80000	558806	1100
648520253663970	1100	933	unavailable	0	80000	73645	1100
648520273658528	1100	933	unavailable	0	80000	43931	1100
648520293663756	1100	933	unavailable	0	80000	43279	1100
648520313655028	1100	933	unavailable	0	80000	199657	1100
648520333646060	1100	933	unavailable	0	80000	37719	1100
648520353646409	1100	933	unavailable	0	80000	34533	1100
# dpm_read=648520373649743
648520373649743	1100	933	unavailable	0	80000	416235	1100
648520393652176	1100	933	unavailable	0	80000	45122	1100
648520413653696	1100	933	unavailable	0	80000	45895	1100
648520433649848	1100	933	unavailable	0	80000	430020	1100
648520453653082	1100	933	unavailable	0	80000	42358	1100
648520473672596	1100	933	unavailable	0	80000	44221	1100
648520493658087	1100	933	unavailable	0	80000	533320	1100
648520513658907	1100	933	unavailable	0	80000	66282	1100
648520533653135	1100	933	unavailable	0	80000	46405	1100
648520553651069	1100	933	unavailable	0	80000	42919	1100
# dpm_read=648520580071545
648520580071545	1100	933	unavailable	0	80000	112226	1100
648520593658119	1100	933	unavailable	0	80000	43280	1100
