# clock=CLOCK_MONOTONIC period_ns=20000000 drm_device=/sys/class/drm/card1/device hwmon=/sys/class/hwmon/hwmon6
# sample_rates: gpu_busy_percent_period_ns=20000000 pp_dpm_period_ns=200000000 temp1_input_period_ns=200000000 meminfo_period_ns=2000000000 vmstat_period_ns=2000000000 host_period_ns=2000000000
# interpretation: pp_dpm_sclk_selected_mhz is the selected graphics clock step; pp_dpm_mclk_surface_mhz is the pp_dpm_mclk sysfs surface, which on SMU10 is a fabric-clock state rather than the trained DRAM speed; pp_dpm_fclk_surface_mhz is the pp_dpm_fclk sysfs surface; sclk_actual_mhz is the delivered graphics frequency from hwmon freq1_input, which a forced performance level pins where the selected step states only what was requested
# sampler_pid=363427 nice=19 cpu_affinity=0,1
monotonic_ns	pp_dpm_sclk_selected_mhz	pp_dpm_mclk_surface_mhz	pp_dpm_fclk_surface_mhz	gpu_busy_percent	temp1_millidegrees	sample_cost_ns	sclk_actual_mhz
# meminfo monotonic_ns=648315801851593 mem_available_kb=12895268 pswpin=416
# host monotonic_ns=648315801851593 load1=2.20 ksm_pages_sharing=306073
# dpm_read=648315801851593
648315801851593	1100	933	unavailable	12	81000	196039	1100
648315821915838	1100	933	unavailable	12	81000	273592	1100
648315841915325	1100	933	unavailable	12	81000	41286	1100
648315861921385	1100	933	unavailable	14	81000	45013	1100
648315881913399	1100	933	unavailable	15	81000	453501	1100
648315901916272	1100	933	unavailable	16	81000	43089	1100
648315921912994	1100	933	unavailable	17	81000	43730	1100
648315941919284	1100	933	unavailable	18	81000	2239083	1100
648315962029754	1100	933	unavailable	18	81000	50202	1100
648315982020796	1100	933	unavailable	18	81000	40905	1100
# dpm_read=648316002022287
648316002022287	1100	933	unavailable	17	80000	571076	1100
648316021917233	1100	933	unavailable	18	80000	157288	1100
648316041922861	1100	933	unavailable	18	80000	46195	1100
648316061939530	1100	933	unavailable	19	80000	44050	1100
648316081931123	1100	933	unavailable	20	80000	245469	1100
648316104027712	1100	933	unavailable	19	80000	43320	1100
648316121925348	1100	933	unavailable	19	80000	42638	1100
648316141929023	1100	933	unavailable	16	80000	354640	1100
648316161930474	1100	933	unavailable	13	80000	45253	1100
648316181924932	1100	933	unavailable	11	80000	43550	1100
# dpm_read=648316201922095
648316201922095	1100	933	unavailable	9	80000	507770	1100
648316221928294	1100	933	unavailable	7	80000	44762	1100
648316241926770	1100	933	unavailable	6	80000	45112	1100
648316261927529	1100	933	unavailable	5	80000	542855	1100
648316281927467	1100	933	unavailable	4	80000	106546	1100
648316301919771	1100	933	unavailable	3	80000	43440	1100
648316321927193	1100	933	unavailable	2	80000	42618	1100
648316341928784	1100	933	unavailable	2	80000	188486	1100
648316361933401	1100	933	unavailable	1	80000	44461	1100
648316381912641	1100	933	unavailable	1	80000	39793	1100
# dpm_read=648316401984471
648316401984471	1100	933	unavailable	1	81000	322350	1100
648316421917787	1100	933	unavailable	1	81000	46936	1100
648316441916132	1100	933	unavailable	0	81000	44111	1100
648316461930556	1100	933	unavailable	0	81000	417004	1100
648316481918653	1100	933	unavailable	0	81000	41636	1100
648316501927307	1100	933	unavailable	0	81000	43970	1100
648316521916625	1100	933	unavailable	0	81000	539018	1100
648316541918226	1100	933	unavailable	0	81000	76470	1100
648316561918285	1100	933	unavailable	0	81000	47026	1100
648316581949150	1100	933	unavailable	0	81000	621930	1100
# dpm_read=648316601927169
648316601927169	1100	933	unavailable	0	81000	254266	1100
648316621935713	1100	933	unavailable	0	81000	47197	1100
648316641933838	1100	933	unavailable	0	81000	44422	1100
648316661931693	1100	933	unavailable	0	81000	311210	1100
648316681925751	1100	933	unavailable	0	81000	43760	1100
648316701924538	1100	933	unavailable	0	81000	44531	1100
648316721937340	1100	933	unavailable	0	81000	391016	1100
648316742012697	1100	933	unavailable	0	81000	43660	1100
648316761924864	1100	933	unavailable	0	81000	43901	1100
648316781925394	1100	933	unavailable	0	81000	553885	1100
# dpm_read=648316801929831
648316801929831	1100	933	unavailable	0	81000	117696	1100
648316821929068	1100	933	unavailable	0	81000	44542	1100
648316841931882	1100	933	unavailable	0	81000	614596	1100
648316861924307	1100	933	unavailable	0	81000	196400	1100
648316881929195	1100	933	unavailable	0	81000	43109	1100
648316901928552	1100	933	unavailable	0	81000	44863	1100
648316921920076	1100	933	unavailable	0	81000	279151	1100
648316941918041	1100	933	unavailable	0	81000	39622	1100
648316961917448	1100	933	unavailable	0	81000	44181	1100
648316982030334	1100	933	unavailable	0	81000	284120	1100
# dpm_read=648317001920862
648317001920862	1100	933	unavailable	0	81000	117325	1100
648317021913097	1100	933	unavailable	0	81000	43189	1100
648317041918595	1100	933	unavailable	0	81000	541873	1100
648317061934373	1100	933	unavailable	0	81000	45503	1100
648317082018766	1100	933	unavailable	0	81000	46716	1100
648317101930764	1100	933	unavailable	0	81000	606291	1100
648317123034245	1100	933	unavailable	0	81000	539979	1100
648317141924931	1100	933	unavailable	0	81000	45764	1100
648317161937623	1100	933	unavailable	0	81000	41265	1100
648317186061498	1100	933	unavailable	0	81000	646004	1100
# dpm_read=648317201928133
648317201928133	1100	933	unavailable	0	81000	119619	1100
648317221928723	1100	933	unavailable	0	81000	43860	1100
648317241924293	1100	933	unavailable	0	81000	370088	1100
648317261926837	1100	933	unavailable	0	81000	43559	1100
648317281928759	1100	933	unavailable	0	81000	45002	1100
648317301925752	1100	933	unavailable	0	81000	478176	1100
648317321927835	1100	933	unavailable	0	81000	42718	1100
648317341927353	1100	933	unavailable	0	81000	44882	1100
648317361929716	1100	933	unavailable	0	81000	593227	1100
648317381935856	1100	933	unavailable	0	81000	119719	1100
# dpm_read=648317401930435
648317401930435	1100	933	unavailable	0	81000	122504	1100
648317421929572	1100	933	unavailable	0	81000	43630	1100
648317441928859	1100	933	unavailable	0	81000	268793	1100
648317461926834	1100	933	unavailable	0	81000	44401	1100
648317481928376	1100	933	unavailable	0	81000	45233	1100
648317501913698	1100	933	unavailable	0	81000	360781	1100
648317521912785	1100	933	unavailable	0	81000	42958	1100
648317541917392	1100	933	unavailable	0	81000	43700	1100
648317561921308	1100	933	unavailable	0	81000	511417	1100
648317581914064	1100	933	unavailable	0	81000	42147	1100
# dpm_read=648317601919754
648317601919754	1100	933	unavailable	0	81000	124628	1100
648317621922709	1100	933	unavailable	0	81000	580323	1100
648317641930713	1100	933	unavailable	0	81000	108378	1100
648317664663169	1100	933	unavailable	0	81000	40825	1100
648317681919351	1100	933	unavailable	0	81000	44802	1100
648317701917587	1100	933	unavailable	0	81000	232786	1100
648317722017730	1100	933	unavailable	0	81000	49490	1100
648317742277755	1100	933	unavailable	0	81000	463380	1100
648317761924768	1100	933	unavailable	0	81000	335435	1100
648317787024693	1100	933	unavailable	0	81000	44601	1100
# meminfo monotonic_ns=648317803022819 mem_available_kb=12899116 pswpin=416
# host monotonic_ns=648317803022819 load1=2.20 ksm_pages_sharing=306305
# dpm_read=648317803022819
648317803022819	1100	933	unavailable	0	81000	161896	1100
648317821960151	1100	933	unavailable	0	81000	414149	1100
648317841938190	1100	933	unavailable	0	81000	46615	1100
648317861923292	1100	933	unavailable	0	81000	45694	1100
648317882027332	1100	933	unavailable	0	81000	6995809	1100
648317901926637	1100	933	unavailable	0	81000	151297	1100
648317921923130	1100	933	unavailable	0	81000	38500	1100
648317941935181	1100	933	unavailable	0	81000	42688	1100
648317961922958	1100	933	unavailable	0	81000	240941	1100
648317981928257	1100	933	unavailable	0	81000	44672	1100
# dpm_read=648318001927184
648318001927184	1100	933	unavailable	0	81000	121914	1100
648318021926683	1100	933	unavailable	0	81000	313244	1100
648318041932493	1100	933	unavailable	0	81000	44772	1100
648318061925700	1100	933	unavailable	0	81000	43720	1100
648318081926510	1100	933	unavailable	0	81000	470963	1100
648318101914678	1100	933	unavailable	0	81000	43961	1100
648318121913385	1100	933	unavailable	0	81000	43490	1100
648318141923633	1100	933	unavailable	0	81000	546281	1100
648318161925556	1100	933	unavailable	0	81000	99102	1100
648318182018195	1100	933	unavailable	0	81000	45203	1100
# dpm_read=648318201916508
648318201916508	1100	933	unavailable	0	81000	722995	1100
648318221915656	1100	933	unavailable	0	81000	225633	1100
648318242016280	1100	933	unavailable	0	81000	42638	1100
648318261929961	1100	933	unavailable	0	81000	48619	1100
648318281919521	1100	933	unavailable	0	81000	307764	1100
648318303030186	1100	933	unavailable	0	81000	235832	1100
648318321913308	1100	933	unavailable	0	81000	41707	1100
648318341951247	1100	933	unavailable	0	81000	391558	1100
648318363027799	1100	933	unavailable	0	81000	2794341	1100
648318381927122	1100	933	unavailable	0	81000	43720	1100
# dpm_read=648318401932321
648318401932321	1100	933	unavailable	0	81000	589279	1100
648318421928523	1100	933	unavailable	0	81000	56363	1100
648318441927661	1100	933	unavailable	0	81000	44972	1100
648318461925115	1100	933	unavailable	0	81000	654610	1100
648318481933610	1100	933	unavailable	0	81000	162738	1100
648318501928931	1100	933	unavailable	0	81000	42468	1100
648318521929752	1100	933	unavailable	0	81000	42878	1100
648318541926936	1100	933	unavailable	0	81000	284892	1100
648318561928789	1100	933	unavailable	0	81000	41747	1100
648318581931724	1100	933	unavailable	0	81000	41877	1100
# dpm_read=648318601928669
648318601928669	1100	933	unavailable	0	81000	459963	1100
648318621925803	1100	933	unavailable	0	81000	42488	1100
648318641937815	1100	933	unavailable	0	81000	44482	1100
648318661926995	1100	933	unavailable	0	81000	509945	1100
648318681913711	1100	933	unavailable	0	81000	83964	1100
648318701917107	1100	933	unavailable	0	81000	42328	1100
648318721912419	1100	933	unavailable	0	81000	629263	1100
648318741912028	1100	933	unavailable	0	81000	167607	1100
648318761974773	1100	933	unavailable	0	81000	672392	1100
648318781912528	1100	933	unavailable	0	81000	41166	1100
# dpm_read=648318801912598
648318801912598	1100	933	unavailable	0	81000	351695	1100
648318821914803	1100	933	unavailable	0	81000	50332	1100
648318841913310	1100	933	unavailable	0	81000	42067	1100
648318861916035	1100	933	unavailable	0	81000	388311	1100
648318883089826	1100	933	unavailable	0	81000	256169	1100
648318906064246	1100	933	unavailable	0	81000	41396	1100
648318922036435	1100	933	unavailable	0	81000	379205	1100
648318941920112	1100	933	unavailable	0	81000	48138	1100
648318962010517	1100	933	unavailable	0	81000	42689	1100
648318982223518	1100	933	unavailable	0	81000	304498	1100
# dpm_read=648319002701263
648319002701263	1100	933	unavailable	0	80000	107507	1100
648319022022279	1100	933	unavailable	0	80000	43640	1100
648319041918750	1100	933	unavailable	0	80000	44431	1100
648319061913590	1100	933	unavailable	0	80000	2313449	1100
648319081917768	1100	933	unavailable	0	80000	41586	1100
648319101925993	1100	933	unavailable	0	80000	41476	1100
648319121925742	1100	933	unavailable	0	80000	363046	1100
648319141933817	1100	933	unavailable	0	80000	41326	1100
648319161931934	1100	933	unavailable	0	80000	42738	1100
648319181922817	1100	933	unavailable	0	80000	475631	1100
# dpm_read=648319201929930
648319201929930	1100	933	unavailable	0	80000	112035	1100
648319221923187	1100	933	unavailable	0	80000	42087	1100
648319241925622	1100	933	unavailable	0	80000	582998	1100
648319261940940	1100	933	unavailable	0	80000	104862	1100
648319281912678	1100	933	unavailable	0	80000	43550	1100
648319301913800	1100	933	unavailable	0	80000	43870	1100
648319321913008	1100	933	unavailable	0	80000	243617	1100
648319341917326	1100	933	unavailable	0	80000	41496	1100
648319361912998	1100	933	unavailable	0	80000	40625	1100
648319381914020	1100	933	unavailable	0	80000	357485	1100
# dpm_read=648319401916605
648319401916605	1100	933	unavailable	0	80000	133234	1100
648319421970634	1100	933	unavailable	0	80000	100684	1100
648319442021537	1100	933	unavailable	0	80000	359749	1100
648319461917356	1100	933	unavailable	0	80000	41857	1100
648319481912397	1100	933	unavailable	0	80000	42347	1100
648319501916234	1100	933	unavailable	0	80000	576506	1100
648319522068212	1100	933	unavailable	0	80000	41837	1100
648319542109918	1100	933	unavailable	0	80000	40745	1100
648319563444534	1100	933	unavailable	0	80000	42128	1100
648319582032006	1100	933	unavailable	0	80000	109912	1100
# dpm_read=648319602022009
648319602022009	1100	933	unavailable	0	80000	109891	1100
648319622035754	1100	933	unavailable	0	80000	43710	1100
648319641915785	1100	933	unavailable	0	80000	338490	1100
648319662913584	1100	933	unavailable	0	80000	380207	1100
648319681927658	1100	933	unavailable	0	80000	42267	1100
