# clock=CLOCK_MONOTONIC period_ns=20000000 drm_device=/sys/class/drm/card1/device hwmon=/sys/class/hwmon/hwmon6
# sample_rates: gpu_busy_percent_period_ns=20000000 pp_dpm_period_ns=200000000 temp1_input_period_ns=200000000 meminfo_period_ns=2000000000 vmstat_period_ns=2000000000 host_period_ns=2000000000
# interpretation: pp_dpm_sclk_selected_mhz is the selected graphics clock step; pp_dpm_mclk_surface_mhz is the pp_dpm_mclk sysfs surface, which on SMU10 is a fabric-clock state rather than the trained DRAM speed; pp_dpm_fclk_surface_mhz is the pp_dpm_fclk sysfs surface; sclk_actual_mhz is the delivered graphics frequency from hwmon freq1_input, which a forced performance level pins where the selected step states only what was requested
# sampler_pid=3183659 nice=19 cpu_affinity=0,1
monotonic_ns	pp_dpm_sclk_selected_mhz	pp_dpm_mclk_surface_mhz	pp_dpm_fclk_surface_mhz	gpu_busy_percent	temp1_millidegrees	sample_cost_ns	sclk_actual_mhz
# meminfo monotonic_ns=513194239357232 mem_available_kb=27333940 pswpin=8
# host monotonic_ns=513194239357232 load1=0.73 ksm_pages_sharing=0
# dpm_read=513194239357232
513194239357232	400	933	unavailable	0	62000	154422	400
513194259413528	400	933	unavailable	0	62000	714471	400
513194279423968	400	933	unavailable	0	62000	266514	400
513194299420652	400	933	unavailable	0	62000	42931	400
513194319419951	400	933	unavailable	0	62000	40026	400
513194339414491	400	933	unavailable	0	62000	251446	400
513194359424290	400	933	unavailable	0	62000	46027	400
513194379419762	400	933	unavailable	0	62000	38563	400
513194399414442	400	933	unavailable	0	62000	366673	400
513194419419742	400	933	unavailable	0	62000	36670	400
# dpm_read=513194439447405
513194439447405	400	933	unavailable	0	72000	114156	400
513194459443889	400	933	unavailable	0	72000	455100	400
513194479420164	400	933	unavailable	0	72000	39134	400
513194499444891	400	933	unavailable	0	72000	40667	400
513194519447146	400	933	unavailable	0	72000	572592	400
513194539441415	400	933	unavailable	0	72000	108435	400
513194559439693	400	933	unavailable	0	72000	40125	400
513194579450724	400	933	unavailable	0	72000	40446	400
513194599440886	400	933	unavailable	0	72000	224835	400
513194619450184	400	933	unavailable	0	72000	35427	400
# dpm_read=513194639443252
513194639443252	400	933	unavailable	0	72000	110138	400
513194659446298	400	933	unavailable	0	72000	337348	400
513194679449565	400	933	unavailable	0	72000	39695	400
513194699440228	400	933	unavailable	0	72000	38843	400
513194719420381	400	933	unavailable	0	72000	480398	400
513194740059760	400	933	unavailable	0	72000	46608	400
513194759418819	400	933	unavailable	0	72000	42220	400
513194779422597	400	933	unavailable	0	72000	601206	400
513194799416436	400	933	unavailable	0	72000	160132	400
513194819455570	400	933	unavailable	0	72000	40387	400
# dpm_read=513194839448387
513194839448387	400	933	unavailable	0	73000	705544	400
513194859447316	400	933	unavailable	0	73000	217191	400
513194879452246	400	933	unavailable	0	73000	43542	400
513194899447638	400	933	unavailable	0	73000	42350	400
513194919449913	400	933	unavailable	0	73000	333139	400
513194939447569	400	933	unavailable	0	73000	45045	400
513194959444003	400	933	unavailable	0	73000	40346	400
513194979423595	400	933	unavailable	0	73000	475208	400
513194999451478	400	933	unavailable	0	73000	42190	400
513195019452470	400	933	unavailable	0	73000	42862	400
# dpm_read=513195039451549
513195039451549	400	933	unavailable	0	73000	648867	400
513195059447051	400	933	unavailable	0	73000	130177	400
513195079420001	400	933	unavailable	0	73000	41829	400
513195099452643	400	933	unavailable	0	73000	42871	400
513195119448857	400	933	unavailable	0	73000	216258	400
513195139428709	400	933	unavailable	0	73000	46558	400
513195159452785	400	933	unavailable	0	73000	44514	400
513195179421968	400	933	unavailable	0	73000	360852	400
513195199451965	400	933	unavailable	0	73000	43202	400
513195219448289	400	933	unavailable	0	73000	42690	400
# dpm_read=513195239452878
513195239452878	400	933	unavailable	0	73000	519963	400
513195259452468	400	933	unavailable	0	73000	42530	400
513195279516730	400	933	unavailable	0	73000	41508	400
513195299455344	400	933	unavailable	0	73000	574837	400
513195319450175	400	933	unavailable	0	73000	101692	400
513195339448923	400	933	unavailable	0	73000	44234	400
513195359446469	400	933	unavailable	0	73000	41158	400
513195379421954	400	933	unavailable	0	73000	239462	400
513195399447062	400	933	unavailable	0	73000	41438	400
513195419442654	400	933	unavailable	0	73000	39354	400
# dpm_read=513195439449968
513195439449968	400	933	unavailable	0	73000	438910	400
513195459524079	400	933	unavailable	0	73000	41148	400
513195479421736	400	933	unavailable	0	73000	41659	400
513195499503972	400	933	unavailable	0	73000	406519	400
513195519454670	400	933	unavailable	0	73000	45345	400
513195539447857	400	933	unavailable	0	73000	41739	400
513195559449451	400	933	unavailable	0	73000	578123	400
513195579456295	400	933	unavailable	0	73000	89689	400
513195599445265	400	933	unavailable	0	73000	40637	400
513195619445626	400	933	unavailable	0	73000	39165	400
# dpm_read=513195639442622
513195639442622	400	933	unavailable	0	74000	295769	400
513195659452702	400	933	unavailable	0	74000	46017	400
513195679446531	400	933	unavailable	0	74000	40196	400
513195699444177	400	933	unavailable	0	74000	334132	400
513195719441353	400	933	unavailable	0	74000	39064	400
513195739441895	400	933	unavailable	0	74000	39314	400
513195759445973	400	933	unavailable	0	74000	448238	400
513195779441927	400	933	unavailable	0	74000	39544	400
513195799444653	400	933	unavailable	0	74000	42430	400
513195819441427	400	933	unavailable	0	74000	583824	400
# dpm_read=513195839441088
513195839441088	400	933	unavailable	0	74000	179299	400
513195859442100	400	933	unavailable	0	74000	42681	400
513195879440699	400	933	unavailable	0	74000	41598	400
513195899446310	400	933	unavailable	0	74000	213033	400
513195919443145	400	933	unavailable	0	74000	39044	400
513195939445901	400	933	unavailable	0	74000	39735	400
513195960021881	400	933	unavailable	0	74000	42861	400
513195980022463	400	933	unavailable	0	74000	41208	400
513195999423632	400	933	unavailable	0	74000	43301	400
513196019419505	400	933	unavailable	0	74000	484957	400
# dpm_read=513196039412643
513196039412643	400	933	unavailable	0	74000	110609	400
513196059409748	400	933	unavailable	0	74000	31560	400
513196079408737	400	933	unavailable	0	74000	607348	400
513196099451048	400	933	unavailable	0	74000	89940	400
513196119444516	400	933	unavailable	0	74000	39375	400
513196139441301	400	933	unavailable	0	74000	40306	400
513196159444769	400	933	unavailable	0	74000	216569	400
513196179440221	400	933	unavailable	0	74000	38813	400
513196199448898	400	933	unavailable	0	74000	42761	400
513196219441134	400	933	unavailable	0	74000	334853	400
# meminfo monotonic_ns=513196239440785 mem_available_kb=27324692 pswpin=8
