monitor_start_utc=2026-09-04T04:30:59Z server_pid=3187901 sample_seconds=1 profile=low-async latency_watchdog_pid=3188471 kernel_hazard_watchdog_pid=3188480 guard_affinity=1 guard_nice=0
threshold_mem_available_kib=4194304 threshold_swapin_bytes_per_sample=67108864 report_temperature_millicelsius=90000
threshold_maximum_gpu_busy_percent=100 enforcement=terminate_on_sample_above_threshold
sample_utc=2026-09-04T04:30:59Z affinity=0 nice=19 rss_kib=176228 peak_rss_kib=176228 mem_available_kib=26125212 swapin_bytes=0 max_temp_millicelsius=71000 gpu_busy_percent=9 gtt_used_bytes=1202749440 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 400Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:31:00Z affinity=0 nice=19 rss_kib=176856 peak_rss_kib=176856 mem_available_kib=26124600 swapin_bytes=0 max_temp_millicelsius=70000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:31:02Z affinity=0 nice=19 rss_kib=179908 peak_rss_kib=179908 mem_available_kib=26120880 swapin_bytes=0 max_temp_millicelsius=76500 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:31:03Z affinity=0 nice=19 rss_kib=179908 peak_rss_kib=179908 mem_available_kib=26121480 swapin_bytes=0 max_temp_millicelsius=74875 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:31:04Z affinity=0 nice=19 rss_kib=179908 peak_rss_kib=179908 mem_available_kib=26121952 swapin_bytes=0 max_temp_millicelsius=73375 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:31:05Z affinity=0 nice=19 rss_kib=179908 peak_rss_kib=179908 mem_available_kib=26122692 swapin_bytes=0 max_temp_millicelsius=72000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:31:06Z affinity=0 nice=19 rss_kib=179908 peak_rss_kib=179908 mem_available_kib=26123768 swapin_bytes=0 max_temp_millicelsius=71000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:31:07Z affinity=0 nice=19 rss_kib=179908 peak_rss_kib=179908 mem_available_kib=26123524 swapin_bytes=0 max_temp_millicelsius=70375 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:31:08Z affinity=0 nice=19 rss_kib=179908 peak_rss_kib=179908 mem_available_kib=26123740 swapin_bytes=0 max_temp_millicelsius=70500 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:31:09Z affinity=0 nice=19 rss_kib=179908 peak_rss_kib=179908 mem_available_kib=26123596 swapin_bytes=0 max_temp_millicelsius=71000 gpu_busy_percent=97 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:31:10Z affinity=0 nice=19 rss_kib=179908 peak_rss_kib=179908 mem_available_kib=26123900 swapin_bytes=0 max_temp_millicelsius=71125 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
