# clock=CLOCK_MONOTONIC period_ns=20000000 drm_device=/sys/class/drm/card1/device hwmon=/sys/class/hwmon/hwmon6
# sample_rates: gpu_busy_percent_period_ns=20000000 pp_dpm_period_ns=200000000 temp1_input_period_ns=200000000 meminfo_period_ns=2000000000 vmstat_period_ns=2000000000 host_period_ns=2000000000
# interpretation: pp_dpm_sclk_selected_mhz is the selected graphics clock step; pp_dpm_mclk_surface_mhz is the pp_dpm_mclk sysfs surface, which on SMU10 is a fabric-clock state rather than the trained DRAM speed; pp_dpm_fclk_surface_mhz is the pp_dpm_fclk sysfs surface; sclk_actual_mhz is the delivered graphics frequency from hwmon freq1_input, which a forced performance level pins where the selected step states only what was requested
# sampler_pid=2935902 nice=19 cpu_affinity=0,1
monotonic_ns	pp_dpm_sclk_selected_mhz	pp_dpm_mclk_surface_mhz	pp_dpm_fclk_surface_mhz	gpu_busy_percent	temp1_millidegrees	sample_cost_ns	sclk_actual_mhz
# meminfo monotonic_ns=512211212559019 mem_available_kb=27328996 pswpin=8
# host monotonic_ns=512211212559019 load1=0.36 ksm_pages_sharing=0
# dpm_read=512211212559019
512211212559019	400	933	unavailable	0	65000	395331	400
512211232614080	400	933	unavailable	0	65000	31508	400
512211252617676	400	933	unavailable	0	65000	33682	400
512211272623176	400	933	unavailable	0	65000	402944	400
512211292623415	400	933	unavailable	0	65000	39774	400
512211312612935	400	933	unavailable	0	65000	33843	400
512211332623995	400	933	unavailable	0	65000	402304	400
512211352618354	400	933	unavailable	0	65000	39223	400
512211372620728	400	933	unavailable	0	65000	38601	400
512211392617852	400	933	unavailable	0	65000	519310	400
# dpm_read=512211412612321
512211412612321	400	933	unavailable	0	65000	132094	400
512211432651453	400	933	unavailable	0	65000	39643	400
512211452644098	400	933	unavailable	0	65000	608896	400
512211472652704	400	933	unavailable	0	65000	131703	400
512211492643256	400	933	unavailable	0	65000	38401	400
512211512648505	400	933	unavailable	0	65000	38160	400
512211532641481	400	933	unavailable	0	65000	257907	400
512211552643574	400	933	unavailable	0	65000	37159	400
512211572648695	400	933	unavailable	0	65000	39062	400
512211592650520	400	933	unavailable	0	65000	369603	400
# dpm_read=512211612649098
512211612649098	400	933	unavailable	0	65000	110555	400
512211632642317	400	933	unavailable	0	65000	37980	400
512211652650474	400	933	unavailable	0	65000	488973	400
512211672621742	400	933	unavailable	0	65000	40865	400
512211692655776	400	933	unavailable	0	65000	44101	400
512211712650237	400	933	unavailable	0	65000	602864	400
512211732648936	400	933	unavailable	0	65000	124460	400
512211752615415	400	933	unavailable	0	65000	41337	400
512211772662393	400	933	unavailable	0	65000	42299	400
512211792620447	400	933	unavailable	0	65000	280639	400
# dpm_read=512211812647689
512211812647689	400	933	unavailable	0	66000	114952	400
512211832650806	400	933	unavailable	0	66000	41927	400
512211852658111	400	933	unavailable	0	66000	363081	400
512211872636652	400	933	unavailable	0	66000	42829	400
512211892657762	400	933	unavailable	0	66000	43300	400
512211912658445	400	933	unavailable	0	66000	453619	400
512211932624954	400	933	unavailable	0	66000	44062	400
512211952656684	400	933	unavailable	0	66000	42319	400
512211972653580	400	933	unavailable	0	66000	573139	400
512211992655244	400	933	unavailable	0	66000	104333	400
# dpm_read=512212012652340
512212012652340	400	933	unavailable	0	66000	116175	400
512212032648454	400	933	unavailable	0	66000	42559	400
512212052622638	400	933	unavailable	0	66000	298321	400
512212072653767	400	933	unavailable	0	66000	46436	400
512212092654559	400	933	unavailable	0	66000	42790	400
512212112660361	400	933	unavailable	0	66000	330552	400
512212132649733	400	933	unavailable	0	66000	42198	400
512212152647540	400	933	unavailable	0	66000	42088	400
512212172627024	400	933	unavailable	0	66000	513960	400
512212192750854	400	933	unavailable	0	66000	41647	400
# dpm_read=512212212657723
512212212657723	400	933	unavailable	0	66000	117708	400
512212232658265	400	933	unavailable	0	66000	555888	400
512212252653628	400	933	unavailable	0	66000	96368	400
512212272661724	400	933	unavailable	0	66000	43501	400
512212292626220	400	933	unavailable	0	66000	41426	400
512212312653151	400	933	unavailable	0	66000	211842	400
512212332646039	400	933	unavailable	0	66000	40034	400
512212352648355	400	933	unavailable	0	66000	39974	400
512212372625113	400	933	unavailable	0	66000	351610	400
512212392654449	400	933	unavailable	0	66000	98261	400
# dpm_read=512212412665220
512212412665220	400	933	unavailable	0	67000	121154	400
512212432655683	400	933	unavailable	0	67000	435746	400
512212452651727	400	933	unavailable	0	67000	41667	400
512212472658932	400	933	unavailable	0	67000	43070	400
512212492653042	400	933	unavailable	0	67000	553063	400
512212512647964	400	933	unavailable	0	67000	90848	400
512212532654518	400	933	unavailable	0	67000	34984	400
512212552640884	400	933	unavailable	0	67000	40495	400
512212572658971	400	933	unavailable	0	67000	192465	400
512212592656920	400	933	unavailable	0	67000	40765	400
# dpm_read=512212612623822
512212612623822	400	933	unavailable	0	67000	116425	400
512212632643772	400	933	unavailable	0	67000	321074	400
512212652644687	400	933	unavailable	0	67000	41417	400
512212672623231	400	933	unavailable	0	67000	41987	400
512212692622072	400	933	unavailable	0	67000	497279	400
512212712653864	400	933	unavailable	0	67000	42849	400
512212732650370	400	933	unavailable	0	67000	40645	400
512212752644713	400	933	unavailable	0	67000	546380	400
512212772655807	400	933	unavailable	0	67000	67575	400
512212792644329	400	933	unavailable	0	67000	38150	400
# dpm_read=512212812621239
512212812621239	400	933	unavailable	0	67000	679837	400
512212832637653	400	933	unavailable	0	67000	245544	400
512212852650981	400	933	unavailable	0	67000	39102	400
512212872640485	400	933	unavailable	0	67000	38841	400
512212892642291	400	933	unavailable	0	67000	307048	400
512212912647083	400	933	unavailable	0	67000	38501	400
512212932648409	400	933	unavailable	0	67000	38220	400
512212952648362	400	933	unavailable	0	67000	415729	400
512212972649086	400	933	unavailable	0	67000	38782	400
512212993800118	400	933	unavailable	0	67000	40945	400
# dpm_read=512213012623516
512213012623516	400	933	unavailable	0	68000	641295	400
512213032651270	400	933	unavailable	0	68000	86941	400
512213052652856	400	933	unavailable	0	68000	40054	400
512213072652649	400	933	unavailable	0	68000	627851	400
512213092657431	400	933	unavailable	0	68000	167319	400
512213112654589	400	933	unavailable	0	68000	39633	400
512213132622653	400	933	unavailable	0	68000	39854	400
512213152644747	400	933	unavailable	0	68000	294374	400
