# clock=CLOCK_MONOTONIC period_ns=20000000 drm_device=/sys/class/drm/card1/device hwmon=/sys/class/hwmon/hwmon6
# sample_rates: gpu_busy_percent_period_ns=20000000 pp_dpm_period_ns=200000000 temp1_input_period_ns=200000000 meminfo_period_ns=2000000000 vmstat_period_ns=2000000000 host_period_ns=2000000000
# interpretation: pp_dpm_sclk_selected_mhz is the selected graphics clock step; pp_dpm_mclk_surface_mhz is the pp_dpm_mclk sysfs surface, which on SMU10 is a fabric-clock state rather than the trained DRAM speed; pp_dpm_fclk_surface_mhz is the pp_dpm_fclk sysfs surface; sclk_actual_mhz is the delivered graphics frequency from hwmon freq1_input, which a forced performance level pins where the selected step states only what was requested
# sampler_pid=2947280 nice=19 cpu_affinity=0,1
monotonic_ns	pp_dpm_sclk_selected_mhz	pp_dpm_mclk_surface_mhz	pp_dpm_fclk_surface_mhz	gpu_busy_percent	temp1_millidegrees	sample_cost_ns	sclk_actual_mhz
# meminfo monotonic_ns=512256330906322 mem_available_kb=27325784 pswpin=8
# host monotonic_ns=512256330906322 load1=0.47 ksm_pages_sharing=0
# dpm_read=512256330906322
512256330906322	400	933	unavailable	0	61000	270090	400
512256350961236	400	933	unavailable	0	61000	569845	400
512256370960227	400	933	unavailable	0	61000	108822	400
512256390969516	400	933	unavailable	0	61000	52287	400
512256410971091	400	933	unavailable	0	61000	45554	400
512256430969791	400	933	unavailable	0	61000	212764	400
512256450971557	400	933	unavailable	0	61000	45153	400
512256470966209	400	933	unavailable	0	61000	42789	400
512256490968486	400	933	unavailable	0	61000	332916	400
512256510958710	400	933	unavailable	0	61000	31618	400
# dpm_read=512256530990020
512256530990020	400	933	unavailable	0	73000	132486	400
512256550972690	400	933	unavailable	0	73000	440917	400
512256570958769	400	933	unavailable	0	73000	31668	400
512256591014486	400	933	unavailable	0	73000	41427	400
512256610991117	400	933	unavailable	0	73000	535933	400
512256631020906	400	933	unavailable	0	73000	42920	400
512256650994652	400	933	unavailable	0	73000	50693	400
512256670994786	400	933	unavailable	0	73000	637882	400
512256690995601	400	933	unavailable	0	73000	177509	400
512256710995806	400	933	unavailable	0	73000	54281	400
# dpm_read=512256730999587
512256730999587	400	933	unavailable	0	73000	129740	400
512256750996165	400	933	unavailable	0	73000	296118	400
512256770992091	400	933	unavailable	0	73000	50123	400
512256790999720	400	933	unavailable	0	73000	53318	400
512256810995967	400	933	unavailable	0	73000	401594	400
512256831023592	400	933	unavailable	0	73000	45124	400
512256851028515	400	933	unavailable	0	73000	44463	400
512256871017659	400	933	unavailable	0	73000	500107	400
512256891019056	400	933	unavailable	0	73000	45875	400
512256910999935	400	933	unavailable	0	73000	55833	400
# dpm_read=512256930970654
512256930970654	400	933	unavailable	0	73000	704065	400
512256951019078	400	933	unavailable	0	73000	143967	400
512256971014243	400	933	unavailable	0	73000	42289	400
512256991021401	400	933	unavailable	0	73000	42929	400
512257010975580	400	933	unavailable	0	73000	305646	400
512257030970164	400	933	unavailable	0	73000	44973	400
512257051018818	400	933	unavailable	0	73000	44082	400
512257071019143	400	933	unavailable	0	73000	372801	400
512257091021171	400	933	unavailable	0	73000	43250	400
512257111016677	400	933	unavailable	0	73000	42849	400
# dpm_read=512257130998858
512257130998858	400	933	unavailable	0	73000	614959	400
512257151024489	400	933	unavailable	0	73000	47198	400
512257170997113	400	933	unavailable	0	73000	61634	400
512257191171299	400	933	unavailable	0	73000	447419	400
512257210999265	400	933	unavailable	0	73000	152262	400
512257231018144	400	933	unavailable	0	73000	42408	400
512257251021614	400	933	unavailable	0	73000	43852	400
512257271016729	400	933	unavailable	0	73000	249883	400
512257291022043	400	933	unavailable	0	73000	43331	400
512257310995669	400	933	unavailable	0	73000	58187	400
# dpm_read=512257330998418
512257330998418	400	933	unavailable	0	73000	457157	400
512257351017457	400	933	unavailable	0	73000	42739	400
512257370998386	400	933	unavailable	0	73000	58438	400
512257391019810	400	933	unavailable	0	73000	474619	400
512257410979780	400	933	unavailable	0	73000	56825	400
512257431020820	400	933	unavailable	0	73000	42719	400
512257451024260	400	933	unavailable	0	73000	582249	400
512257470996653	400	933	unavailable	0	73000	145129	400
512257491016153	400	933	unavailable	0	73000	40235	400
512257510991181	400	933	unavailable	0	73000	56785	400
# dpm_read=512257530972431
512257530972431	400	933	unavailable	0	74000	364294	400
512257551017248	400	933	unavailable	0	74000	41567	400
512257571018035	400	933	unavailable	0	74000	42038	400
512257590998915	400	933	unavailable	0	74000	367862	400
512257611018157	400	933	unavailable	0	74000	42418	400
512257630999649	400	933	unavailable	0	74000	61203	400
512257651017027	400	933	unavailable	0	74000	489517	400
512257671016672	400	933	unavailable	0	74000	41567	400
512257691016597	400	933	unavailable	0	74000	41808	400
512257710995935	400	933	unavailable	0	74000	598158	400
# dpm_read=512257730994168
512257730994168	400	933	unavailable	0	74000	213856	400
512257750998912	400	933	unavailable	0	74000	53730	400
512257770993768	400	933	unavailable	0	74000	51546	400
512257790994245	400	933	unavailable	0	74000	247128	400
512257810992418	400	933	unavailable	0	74000	52066	400
512257830997353	400	933	unavailable	0	74000	53689	400
512257850995185	400	933	unavailable	0	74000	357011	400
512257870988238	400	933	unavailable	0	74000	53609	400
512257890996599	400	933	unavailable	0	74000	55092	400
512257910991996	400	933	unavailable	0	74000	474720	400
# dpm_read=512257930990840
512257930990840	400	933	unavailable	0	74000	127937	400
512257950970618	400	933	unavailable	0	74000	48360	400
512257970991873	400	933	unavailable	0	74000	590424	400
512257990993322	400	933	unavailable	0	74000	124611	400
512258010997926	400	933	unavailable	0	74000	53449	400
512258030992532	400	933	unavailable	0	74000	52608	400
512258050996986	400	933	unavailable	0	74000	233072	400
512258071023021	400	933	unavailable	0	74000	46115	400
512258090997068	400	933	unavailable	0	74000	57687	400
512258110994149	400	933	unavailable	0	74000	353134	400
# dpm_read=512258130999024
512258130999024	400	933	unavailable	0	75000	129229	400
512258151015460	400	933	unavailable	0	75000	39774	400
512258170995869	400	933	unavailable	0	75000	460223	400
512258191016013	400	933	unavailable	0	75000	42789	400
512258210998005	400	933	unavailable	0	75000	56274	400
512258230993422	400	933	unavailable	0	75000	577571	400
512258250991485	400	933	unavailable	0	75000	115173	400
512258270990378	400	933	unavailable	0	75000	50294	400
512258290997658	400	933	unavailable	0	75000	52587	400
512258310991502	400	933	unavailable	0	75000	225548	400
# meminfo monotonic_ns=512258330990086 mem_available_kb=27325552 pswpin=8
# host monotonic_ns=512258330990086 load1=0.52 ksm_pages_sharing=0
# dpm_read=512258330990086
512258330990086	400	933	unavailable	0	75000	218404	400
512258350993247	400	933	unavailable	0	75000	51315	400
512258371015164	400	933	unavailable	0	75000	318039	400
512258391013547	400	933	unavailable	0	75000	40254	400
512258410992453	400	933	unavailable	0	75000	52257	400
512258430999492	400	933	unavailable	0	75000	445255	400
512258450991924	400	933	unavailable	0	75000	53399	400
512258470995777	400	933	unavailable	0	75000	52958	400
512258490995843	400	933	unavailable	0	75000	564205	400
512258510990058	400	933	unavailable	0	75000	104374	400
# dpm_read=512258530998971
512258530998971	400	933	unavailable	0	75000	133397	400
512258551015096	400	933	unavailable	0	75000	43451	400
512258570977234	400	933	unavailable	0	75000	225718	400
512258590973725	400	933	unavailable	0	75000	45644	400
512258610959747	400	933	unavailable	0	75000	31518	400
512258630970755	400	933	unavailable	0	75000	348866	400
512258650963950	400	933	unavailable	0	75000	32650	400
512258670967273	400	933	unavailable	0	75000	43291	400
512258690966429	400	933	unavailable	0	75000	481453	400
512258710967609	400	933	unavailable	0	75000	158173	400
# dpm_read=512258730969210
512258730969210	400	933	unavailable	0	75000	121365	400
512258750970660	400	933	unavailable	0	75000	577500	400
512258770995744	400	933	unavailable	0	75000	212885	400
512258790969503	400	933	unavailable	0	75000	49903	400
512258810969431	400	933	unavailable	0	75000	53088	400
512258830973185	400	933	unavailable	0	75000	216571	400
512258850968344	400	933	unavailable	0	75000	49932	400
512258870966157	400	933	unavailable	0	75000	52878	400
512258891016919	400	933	unavailable	0	75000	315084	400
512258911636996	400	933	unavailable	0	75000	40835	400
# dpm_read=512258930988983
512258930988983	400	933	unavailable	0	74000	336613	400
512258950968202	400	933	unavailable	0	74000	449863	400
512258970967117	400	933	unavailable	0	74000	85819	400
512258990967435	400	933	unavailable	0	74000	75480	400
512259010969747	400	933	unavailable	0	74000	562473	400
512259030967360	400	933	unavailable	0	74000	101529	400
512259050967118	400	933	unavailable	0	74000	59480	400
512259070968127	400	933	unavailable	0	74000	47939	400
512259090971521	400	933	unavailable	0	74000	209308	400
512259110968954	400	933	unavailable	0	74000	46747	400
# dpm_read=512259130967198
512259130967198	400	933	unavailable	0	74000	123128	400
512259151627139	400	933	unavailable	0	74000	41707	400
512259170966702	400	933	unavailable	0	74000	56816	400
512259190967461	400	933	unavailable	0	74000	54602	400
512259210966207	400	933	unavailable	0	74000	565708	400
512259231972359	400	933	unavailable	0	74000	476583	400
512259251028167	400	933	unavailable	0	74000	40795	400
512259270969846	400	933	unavailable	0	74000	550931	400
512259290966608	400	933	unavailable	0	74000	90407	400
512259310967868	400	933	unavailable	0	74000	53018	400
# dpm_read=512259330972364
512259330972364	400	933	unavailable	0	74000	686792	400
512259350971039	400	933	unavailable	0	74000	197776	400
512259370967881	400	933	unavailable	0	74000	71683	400
512259390968379	400	933	unavailable	0	74000	47579	400
512259410967666	400	933	unavailable	0	74000	315995	400
512259431018307	400	933	unavailable	0	74000	40705	400
512259450973872	400	933	unavailable	0	74000	88013	400
512259470976956	400	933	unavailable	0	74000	417523	400
512259490967476	400	933	unavailable	0	74000	42869	400
512259510971070	400	933	unavailable	0	74000	92591	400
# dpm_read=512259530966930
512259530966930	400	933	unavailable	0	73000	609710	400
512259550972197	400	933	unavailable	0	73000	76773	400
512259571056884	400	933	unavailable	0	73000	41486	400
512259590972376	400	933	unavailable	0	73000	47248	400
512259610967196	400	933	unavailable	0	73000	212554	400
512259630967436	400	933	unavailable	0	73000	55863	400
512259650967716	400	933	unavailable	0	73000	75490	400
512259670968336	400	933	unavailable	0	73000	305326	400
512259690966953	400	933	unavailable	0	73000	47047	400
512259710976029	400	933	unavailable	0	73000	40846	400
# dpm_read=512259730971110
512259730971110	400	933	unavailable	0	73000	485589	400
512259750971550	400	933	unavailable	0	73000	45885	400
512259770972862	400	933	unavailable	0	73000	43300	400
512259790968102	400	933	unavailable	0	73000	530022	400
512259810967811	400	933	unavailable	0	73000	62636	400
512259830969974	400	933	unavailable	0	73000	42329	400
512259850966778	400	933	unavailable	0	73000	46496	400
512259870967098	400	933	unavailable	0	73000	178981	400
512259890967518	400	933	unavailable	0	73000	51696	400
512259910967918	400	933	unavailable	0	73000	44382	400
# dpm_read=512259930966254
512259930966254	400	933	unavailable	0	73000	370256	400
512259950971193	400	933	unavailable	0	73000	46816	400
512259970967455	400	933	unavailable	0	73000	105325	400
512259991104729	400	933	unavailable	0	73000	267235	400
512260011151645	400	933	unavailable	0	73000	42068	400
512260030971551	400	933	unavailable	0	73000	90768	400
512260050971340	400	933	unavailable	0	73000	515234	400
512260070971590	400	933	unavailable	0	73000	53388	400
512260090968423	400	933	unavailable	0	73000	72254	400
512260110966990	400	933	unavailable	0	73000	631259	400
# dpm_read=512260130968402
512260130968402	400	933	unavailable	0	72000	236408	400
512260150966968	400	933	unavailable	0	72000	42219	400
512260172021181	400	933	unavailable	0	72000	40806	400
512260190974030	400	933	unavailable	0	72000	275350	400
512260210969982	400	933	unavailable	0	72000	76682	400
512260230973748	400	933	unavailable	0	72000	47599	400
512260250967376	400	933	unavailable	0	72000	395042	400
512260270967796	400	933	unavailable	0	72000	80099	400
512260290973025	400	933	unavailable	0	72000	101198	400
512260310967825	400	933	unavailable	0	72000	512570	400
# meminfo monotonic_ns=512260330966963 mem_available_kb=27318264 pswpin=8
# host monotonic_ns=512260330966963 load1=0.52 ksm_pages_sharing=0
# dpm_read=512260330966963
512260330966963	400	933	unavailable	0	72000	168241	400
512260351931990	400	933	unavailable	0	72000	119281	400
512260370969857	400	933	unavailable	0	72000	615580	400
512260390967141	400	933	unavailable	0	72000	156129	400
512260410970687	400	933	unavailable	0	72000	50273	400
512260430971227	400	933	unavailable	0	72000	71954	400
512260450971497	400	933	unavailable	0	72000	281852	400
512260470971827	400	933	unavailable	0	72000	67655	400
512260490966927	400	933	unavailable	0	72000	53459	400
512260510970353	400	933	unavailable	0	72000	380255	400
# dpm_read=512260531081579
512260531081579	400	933	unavailable	0	72000	109302	400
512260551598736	400	933	unavailable	0	72000	331264	400
512260570967548	400	933	unavailable	0	72000	499535	400
512260590968260	400	933	unavailable	0	72000	78846	400
512260610967079	400	933	unavailable	0	72000	72795	400
512260631715697	400	933	unavailable	0	72000	43070	400
512260651055355	400	933	unavailable	0	72000	56915	400
512260670967704	400	933	unavailable	0	72000	44733	400
512260690966633	400	933	unavailable	0	72000	57937	400
512260710968267	400	933	unavailable	0	72000	256736	400
# dpm_read=512260730970773
512260730970773	400	933	unavailable	0	72000	164404	400
512260750970884	400	933	unavailable	0	72000	50734	400
512260770972408	400	933	unavailable	0	72000	365978	400
512260790972730	400	933	unavailable	0	72000	67314	400
512260810967721	400	933	unavailable	0	72000	71363	400
512260830968304	400	933	unavailable	0	72000	484628	400
512260850968936	400	933	unavailable	0	72000	53599	400
512260870967164	400	933	unavailable	0	72000	56875	400
512260890967766	400	933	unavailable	0	72000	599972	400
512260910968528	400	933	unavailable	0	72000	132115	400
# dpm_read=512260930968650
512260930968650	400	933	unavailable	0	72000	112408	400
512260951860233	400	933	unavailable	0	72000	41046	400
512260970972950	400	933	unavailable	0	72000	242599	400
512260990974444	400	933	unavailable	0	72000	96829	400
512261010974265	400	933	unavailable	0	72000	42198	400
512261030966982	400	933	unavailable	0	72000	360789	400
512261050967504	400	933	unavailable	0	72000	45314	400
512261070969048	400	933	unavailable	0	72000	45935	400
512261090966665	400	933	unavailable	0	72000	475150	400
512261110970954	400	933	unavailable	0	72000	91940	400
# dpm_read=512261130971216
512261130971216	400	933	unavailable	0	72000	110184	400
512261150967219	400	933	unavailable	0	72000	585054	400
512261170968212	400	933	unavailable	0	72000	122337	400
512261190966620	400	933	unavailable	0	72000	72084	400
512261210969647	400	933	unavailable	0	72000	46777	400
512261230966462	400	933	unavailable	0	72000	360929	400
512261251022367	400	933	unavailable	0	72000	42879	400
512261270967737	400	933	unavailable	0	72000	47117	400
512261290966295	400	933	unavailable	0	72000	347865	400
512261310965836	400	933	unavailable	0	72000	47067	400
# dpm_read=512261330966708
512261330966708	400	933	unavailable	0	72000	115865	400
512261350968352	400	933	unavailable	0	72000	461015	400
512261370967161	400	933	unavailable	0	72000	60402	400
512261390966461	400	933	unavailable	0	72000	52017	400
512261410969468	400	933	unavailable	0	72000	570928	400
512261430970811	400	933	unavailable	0	72000	107169	400
512261450971013	400	933	unavailable	0	72000	102149	400
512261470970233	400	933	unavailable	0	72000	45243	400
512261490968150	400	933	unavailable	0	72000	229545	400
512261510972158	400	933	unavailable	0	72000	43972	400
# dpm_read=512261530964646
512261530964646	400	933	unavailable	0	72000	107859	400
512261550960028	400	933	unavailable	0	72000	362051	400
512261570959189	400	933	unavailable	0	72000	31729	400
512261590971064	400	933	unavailable	0	72000	45194	400
512261611033623	400	933	unavailable	0	72000	386807	400
512261630970008	400	933	unavailable	0	72000	43030	400
512261650970943	400	933	unavailable	0	72000	43801	400
512261670971717	400	933	unavailable	0	72000	597237	400
512261691036199	400	933	unavailable	0	72000	66293	400
512261710968507	400	933	unavailable	0	72000	110955	400
# dpm_read=512261730970694
512261730970694	400	933	unavailable	0	72000	741153	400
512261750973692	400	933	unavailable	0	72000	243842	400
512261770973374	400	933	unavailable	0	72000	49061	400
512261790971944	400	933	unavailable	0	72000	42149	400
512261810972398	400	933	unavailable	0	72000	325493	400
512261830968163	400	933	unavailable	0	72000	43290	400
512261850967835	400	933	unavailable	0	72000	1195205	400
512261870976434	400	933	unavailable	0	72000	542846	400
512261890969574	400	933	unavailable	0	72000	47258	400
512261910978614	400	933	unavailable	0	72000	59360	400
# dpm_read=512261930968368
512261930968368	400	933	unavailable	0	72000	656887	400
512261950974542	400	933	unavailable	0	72000	117097	400
512261970961471	400	933	unavailable	0	72000	32240	400
