monitor_start_utc=2026-09-04T04:16:06Z server_pid=2962629 sample_seconds=1 profile=low-async latency_watchdog_pid=2963188 kernel_hazard_watchdog_pid=2963197 guard_affinity=1 guard_nice=0
threshold_mem_available_kib=4194304 threshold_swapin_bytes_per_sample=67108864 report_temperature_millicelsius=90000
threshold_maximum_gpu_busy_percent=100 enforcement=terminate_on_sample_above_threshold
sample_utc=2026-09-04T04:16:06Z affinity=0 nice=19 rss_kib=179592 peak_rss_kib=179592 mem_available_kib=26135884 swapin_bytes=0 max_temp_millicelsius=71000 gpu_busy_percent=11 gtt_used_bytes=1202749440 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 400Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:16:07Z affinity=0 nice=19 rss_kib=180232 peak_rss_kib=180232 mem_available_kib=26135668 swapin_bytes=0 max_temp_millicelsius=70000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:16:08Z affinity=0 nice=19 rss_kib=183280 peak_rss_kib=183280 mem_available_kib=26135096 swapin_bytes=0 max_temp_millicelsius=70000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:16:09Z affinity=0 nice=19 rss_kib=183280 peak_rss_kib=183280 mem_available_kib=26134860 swapin_bytes=0 max_temp_millicelsius=69000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:16:10Z affinity=0 nice=19 rss_kib=183280 peak_rss_kib=183280 mem_available_kib=26134784 swapin_bytes=0 max_temp_millicelsius=69250 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:16:11Z affinity=0 nice=19 rss_kib=183280 peak_rss_kib=183280 mem_available_kib=26134364 swapin_bytes=0 max_temp_millicelsius=69750 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:16:12Z affinity=0 nice=19 rss_kib=183280 peak_rss_kib=183280 mem_available_kib=26134216 swapin_bytes=0 max_temp_millicelsius=70000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:16:13Z affinity=0 nice=19 rss_kib=183280 peak_rss_kib=183280 mem_available_kib=26133744 swapin_bytes=0 max_temp_millicelsius=70250 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:16:14Z affinity=0 nice=19 rss_kib=183280 peak_rss_kib=183280 mem_available_kib=26133824 swapin_bytes=0 max_temp_millicelsius=70500 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:16:15Z affinity=0 nice=19 rss_kib=183280 peak_rss_kib=183280 mem_available_kib=26133588 swapin_bytes=0 max_temp_millicelsius=70750 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:16:16Z affinity=0 nice=19 rss_kib=183280 peak_rss_kib=183280 mem_available_kib=26133676 swapin_bytes=0 max_temp_millicelsius=71250 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:16:17Z affinity=0 nice=19 rss_kib=183280 peak_rss_kib=183280 mem_available_kib=26134132 swapin_bytes=0 max_temp_millicelsius=71375 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:16:18Z affinity=0 nice=19 rss_kib=183280 peak_rss_kib=183280 mem_available_kib=26134308 swapin_bytes=0 max_temp_millicelsius=71750 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:16:19Z affinity=0 nice=19 rss_kib=183280 peak_rss_kib=183280 mem_available_kib=26134304 swapin_bytes=0 max_temp_millicelsius=71750 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:16:20Z affinity=0 nice=19 rss_kib=183280 peak_rss_kib=183280 mem_available_kib=26133968 swapin_bytes=0 max_temp_millicelsius=72250 gpu_busy_percent=97 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
