# clock=CLOCK_MONOTONIC period_ns=20000000 drm_device=/sys/class/drm/card1/device hwmon=/sys/class/hwmon/hwmon6
# sample_rates: gpu_busy_percent_period_ns=20000000 pp_dpm_period_ns=200000000 temp1_input_period_ns=200000000 meminfo_period_ns=2000000000 vmstat_period_ns=2000000000 host_period_ns=2000000000
# interpretation: pp_dpm_sclk_selected_mhz is the selected graphics clock step; pp_dpm_mclk_surface_mhz is the pp_dpm_mclk sysfs surface, which on SMU10 is a fabric-clock state rather than the trained DRAM speed; pp_dpm_fclk_surface_mhz is the pp_dpm_fclk sysfs surface; sclk_actual_mhz is the delivered graphics frequency from hwmon freq1_input, which a forced performance level pins where the selected step states only what was requested
# sampler_pid=2980950 nice=19 cpu_affinity=0,1
monotonic_ns	pp_dpm_sclk_selected_mhz	pp_dpm_mclk_surface_mhz	pp_dpm_fclk_surface_mhz	gpu_busy_percent	temp1_millidegrees	sample_cost_ns	sclk_actual_mhz
# meminfo monotonic_ns=512389867561910 mem_available_kb=27322364 pswpin=8
# host monotonic_ns=512389867561910 load1=0.56 ksm_pages_sharing=0
# dpm_read=512389867561910
512389867561910	400	933	unavailable	0	62000	268030	400
512389887618877	400	933	unavailable	0	62000	31669	400
512389907616112	400	933	unavailable	0	62000	733767	400
512389927623736	400	933	unavailable	0	62000	280753	400
512389947625269	400	933	unavailable	0	62000	39344	400
512389967623787	400	933	unavailable	0	62000	37189	400
512389987627053	400	933	unavailable	0	62000	266226	400
512390007626532	400	933	unavailable	0	62000	37931	400
512390027617937	400	933	unavailable	0	62000	34514	400
512390047645709	400	933	unavailable	0	62000	377503	400
# dpm_read=512390067624499
512390067624499	400	933	unavailable	0	74000	115015	400
512390087646941	400	933	unavailable	0	74000	41989	400
512390107653123	400	933	unavailable	0	74000	473372	400
512390127643686	400	933	unavailable	0	74000	38121	400
512390147645369	400	933	unavailable	0	74000	40145	400
512390167626595	400	933	unavailable	0	74000	623261	400
512390187645500	400	933	unavailable	0	74000	127648	400
512390207992617	400	933	unavailable	0	74000	46717	400
512390227647404	400	933	unavailable	0	74000	38872	400
512390247650540	400	933	unavailable	0	74000	258872	400
# dpm_read=512390267624422
512390267624422	400	933	unavailable	0	74000	116888	400
512390287649759	400	933	unavailable	0	74000	39514	400
512390307648337	400	933	unavailable	0	74000	349952	400
512390327645432	400	933	unavailable	0	74000	38301	400
512390347650932	400	933	unavailable	0	74000	38732	400
512390367623541	400	933	unavailable	0	74000	493199	400
512390387625004	400	933	unavailable	0	74000	44543	400
