# clock=CLOCK_MONOTONIC period_ns=20000000 drm_device=/sys/class/drm/card1/device hwmon=/sys/class/hwmon/hwmon6
# sample_rates: gpu_busy_percent_period_ns=20000000 pp_dpm_period_ns=200000000 temp1_input_period_ns=200000000 meminfo_period_ns=2000000000 vmstat_period_ns=2000000000 host_period_ns=2000000000
# interpretation: pp_dpm_sclk_selected_mhz is the selected graphics clock step; pp_dpm_mclk_surface_mhz is the pp_dpm_mclk sysfs surface, which on SMU10 is a fabric-clock state rather than the trained DRAM speed; pp_dpm_fclk_surface_mhz is the pp_dpm_fclk sysfs surface; sclk_actual_mhz is the delivered graphics frequency from hwmon freq1_input, which a forced performance level pins where the selected step states only what was requested
# sampler_pid=3014891 nice=19 cpu_affinity=0,1
monotonic_ns	pp_dpm_sclk_selected_mhz	pp_dpm_mclk_surface_mhz	pp_dpm_fclk_surface_mhz	gpu_busy_percent	temp1_millidegrees	sample_cost_ns	sclk_actual_mhz
# meminfo monotonic_ns=512524695558867 mem_available_kb=27322948 pswpin=8
# host monotonic_ns=512524695558867 load1=0.58 ksm_pages_sharing=0
# dpm_read=512524695558867
512524695558867	400	933	unavailable	0	63000	158626	400
512524715625873	400	933	unavailable	0	63000	37019	400
512524735613823	400	933	unavailable	0	63000	576478	400
512524755627108	400	933	unavailable	0	63000	156453	400
512524775626659	400	933	unavailable	0	63000	41988	400
512524795611191	400	933	unavailable	0	63000	583742	400
512524815623445	400	933	unavailable	0	63000	110797	400
512524835621833	400	933	unavailable	0	63000	43943	400
512524855655007	400	933	unavailable	0	63000	49943	400
512524875650389	400	933	unavailable	0	63000	196759	400
# dpm_read=512524895621467
512524895621467	400	933	unavailable	0	73000	112149	400
512524915649510	400	933	unavailable	0	73000	40857	400
512524935654942	400	933	unavailable	0	73000	307064	400
512524955646968	400	933	unavailable	0	73000	38262	400
512524975650346	400	933	unavailable	0	73000	38342	400
512524995655397	400	933	unavailable	0	73000	420446	400
512525015621675	400	933	unavailable	0	73000	41177	400
512525035657072	400	933	unavailable	0	73000	40556	400
512525055648427	400	933	unavailable	0	73000	555209	400
512525075652116	400	933	unavailable	0	73000	74178	400
# dpm_read=512525095644132
512525095644132	400	933	unavailable	0	73000	111378	400
512525115641478	400	933	unavailable	0	73000	37671	400
