# clock=CLOCK_MONOTONIC period_ns=20000000 drm_device=/sys/class/drm/card1/device hwmon=/sys/class/hwmon/hwmon6
# sample_rates: gpu_busy_percent_period_ns=20000000 pp_dpm_period_ns=200000000 temp1_input_period_ns=200000000 meminfo_period_ns=2000000000 vmstat_period_ns=2000000000 host_period_ns=2000000000
# interpretation: pp_dpm_sclk_selected_mhz is the selected graphics clock step; pp_dpm_mclk_surface_mhz is the pp_dpm_mclk sysfs surface, which on SMU10 is a fabric-clock state rather than the trained DRAM speed; pp_dpm_fclk_surface_mhz is the pp_dpm_fclk sysfs surface; sclk_actual_mhz is the delivered graphics frequency from hwmon freq1_input, which a forced performance level pins where the selected step states only what was requested
# sampler_pid=3026017 nice=19 cpu_affinity=0,1
monotonic_ns	pp_dpm_sclk_selected_mhz	pp_dpm_mclk_surface_mhz	pp_dpm_fclk_surface_mhz	gpu_busy_percent	temp1_millidegrees	sample_cost_ns	sclk_actual_mhz
# meminfo monotonic_ns=512568765205175 mem_available_kb=27321432 pswpin=8
# host monotonic_ns=512568765205175 load1=0.49 ksm_pages_sharing=0
# dpm_read=512568765205175
512568765205175	400	933	unavailable	0	63000	154289	400
512568785261445	400	933	unavailable	0	63000	31930	400
512568805261461	400	933	unavailable	0	63000	550441	400
512568825269581	400	933	unavailable	0	63000	168285	400
512568845270087	400	933	unavailable	0	63000	42981	400
512568865269752	400	933	unavailable	0	63000	607217	400
512568885268675	400	933	unavailable	0	63000	143429	400
512568905263060	400	933	unavailable	0	63000	36228	400
512568925263877	400	933	unavailable	0	63000	36759	400
512568945357778	400	933	unavailable	0	63000	185618	400
# dpm_read=512568965295476
512568965295476	400	933	unavailable	0	73000	118372	400
512568985294560	400	933	unavailable	0	73000	39524	400
512569005294535	400	933	unavailable	0	73000	348403	400
512569025294530	400	933	unavailable	0	73000	39244	400
512569045292712	400	933	unavailable	0	73000	39554	400
512569065289401	400	933	unavailable	0	73000	465172	400
512569085294496	400	933	unavailable	0	73000	38913	400
512569105293820	400	933	unavailable	0	73000	38512	400
512569125287754	400	933	unavailable	0	73000	580728	400
512569145299892	400	933	unavailable	0	73000	107782	400
# dpm_read=512569165287644
512569165287644	400	933	unavailable	0	73000	118442	400
512569185297468	400	933	unavailable	0	73000	38762	400
512569205268018	400	933	unavailable	0	73000	255489	400
512569225288451	400	933	unavailable	0	73000	38202	400
512569245289559	400	933	unavailable	0	73000	38312	400
512569265287400	400	933	unavailable	0	73000	362519	400
512569285300700	400	933	unavailable	0	73000	42911	400
512569305296027	400	933	unavailable	0	73000	40976	400
512569325296513	400	933	unavailable	0	73000	454451	400
512569345299143	400	933	unavailable	0	73000	41518	400
# dpm_read=512569365295181
512569365295181	400	933	unavailable	0	74000	115797	400
512569385302560	400	933	unavailable	0	74000	564077	400
512569405297215	400	933	unavailable	0	74000	103003	400
512569425267785	400	933	unavailable	0	74000	39815	400
512569445295883	400	933	unavailable	0	74000	42720	400
512569465342135	400	933	unavailable	0	74000	172673	400
512569485298178	400	933	unavailable	0	74000	40937	400
512569505299375	400	933	unavailable	0	74000	40346	400
512569525301495	400	933	unavailable	0	74000	332703	400
512569545294978	400	933	unavailable	0	74000	40646	400
# dpm_read=512569565303910
512569565303910	400	933	unavailable	0	74000	119114	400
512569585298486	400	933	unavailable	0	74000	447779	400
512569605273055	400	933	unavailable	0	74000	41097	400
512569625296235	400	933	unavailable	0	74000	43321	400
512569645298585	400	933	unavailable	0	74000	564167	400
512569665298531	400	933	unavailable	0	74000	97894	400
512569685298097	400	933	unavailable	0	74000	41838	400
512569705296670	400	933	unavailable	0	74000	43953	400
512569725300113	400	933	unavailable	0	74000	209793	400
512569745298576	400	933	unavailable	0	74000	40887	400
# dpm_read=512569765295777
512569765295777	400	933	unavailable	0	74000	115867	400
512569785300302	400	933	unavailable	0	74000	324418	400
512569805296421	400	933	unavailable	0	74000	44062	400
512569825299092	400	933	unavailable	0	74000	44834	400
512569845292536	400	933	unavailable	0	74000	447027	400
512569865266964	400	933	unavailable	0	74000	37170	400
512569885299040	400	933	unavailable	0	74000	44614	400
512569905277556	400	933	unavailable	0	74000	578224	400
512569925291479	400	933	unavailable	0	74000	98955	400
512569945268612	400	933	unavailable	0	74000	39043	400
# dpm_read=512569965298073
512569965298073	400	933	unavailable	0	75000	697267	400
512569985300124	400	933	unavailable	0	75000	230000	400
512570005268661	400	933	unavailable	0	75000	39614	400
512570025295718	400	933	unavailable	0	75000	41257	400
512570045298589	400	933	unavailable	0	75000	321222	400
512570065299497	400	933	unavailable	0	75000	43141	400
512570085299914	400	933	unavailable	0	75000	45165	400
512570105289862	400	933	unavailable	0	75000	446115	400
512570125270832	400	933	unavailable	0	75000	41738	400
512570145298560	400	933	unavailable	0	75000	45586	400
# dpm_read=512570165289359
512570165289359	400	933	unavailable	0	75000	635290	400
512570185301859	400	933	unavailable	0	75000	81312	400
512570205292167	400	933	unavailable	0	75000	41057	400
512570225290029	400	933	unavailable	0	75000	38202	400
512570245289344	400	933	unavailable	0	75000	207509	400
512570265289070	400	933	unavailable	0	75000	38983	400
512570285294887	400	933	unavailable	0	75000	39123	400
512570305291407	400	933	unavailable	0	75000	323806	400
512570325288177	400	933	unavailable	0	75000	38963	400
512570345288664	400	933	unavailable	0	75000	38532	400
# dpm_read=512570365289532
512570365289532	400	933	unavailable	0	75000	513532	400
512570385295579	400	933	unavailable	0	75000	39394	400
512570405289414	400	933	unavailable	0	75000	38562	400
512570425288989	400	933	unavailable	0	75000	554208	400
512570445288955	400	933	unavailable	0	75000	87564	400
512570465294272	400	933	unavailable	0	75000	39734	400
512570487019600	400	933	unavailable	0	75000	437770	400
512570505300345	400	933	unavailable	0	75000	195366	400
