# clock=CLOCK_MONOTONIC period_ns=20000000 drm_device=/sys/class/drm/card1/device hwmon=/sys/class/hwmon/hwmon6
# sample_rates: gpu_busy_percent_period_ns=20000000 pp_dpm_period_ns=200000000 temp1_input_period_ns=200000000 meminfo_period_ns=2000000000 vmstat_period_ns=2000000000 host_period_ns=2000000000
# interpretation: pp_dpm_sclk_selected_mhz is the selected graphics clock step; pp_dpm_mclk_surface_mhz is the pp_dpm_mclk sysfs surface, which on SMU10 is a fabric-clock state rather than the trained DRAM speed; pp_dpm_fclk_surface_mhz is the pp_dpm_fclk sysfs surface; sclk_actual_mhz is the delivered graphics frequency from hwmon freq1_input, which a forced performance level pins where the selected step states only what was requested
# sampler_pid=3059722 nice=19 cpu_affinity=0,1
monotonic_ns	pp_dpm_sclk_selected_mhz	pp_dpm_mclk_surface_mhz	pp_dpm_fclk_surface_mhz	gpu_busy_percent	temp1_millidegrees	sample_cost_ns	sclk_actual_mhz
# meminfo monotonic_ns=512702389469954 mem_available_kb=27319312 pswpin=8
# host monotonic_ns=512702389469954 load1=0.60 ksm_pages_sharing=0
# dpm_read=512702389469954
512702389469954	400	933	unavailable	0	62000	199855	400
512702409529854	400	933	unavailable	0	62000	455646	400
512702429533749	400	933	unavailable	0	62000	48691	400
512702449537252	400	933	unavailable	0	62000	48822	400
512702469535206	400	933	unavailable	0	62000	566424	400
512702489530825	400	933	unavailable	0	62000	101541	400
512702509534128	400	933	unavailable	0	62000	44865	400
512702530061917	400	933	unavailable	0	62000	150844	400
512702549531308	400	933	unavailable	0	62000	215464	400
512702569526867	400	933	unavailable	0	62000	35487	400
# dpm_read=512702589532326
512702589532326	400	933	unavailable	0	74000	116669	400
512702609526903	400	933	unavailable	0	74000	336372	400
512702629527873	400	933	unavailable	0	74000	37180	400
512702649531428	400	933	unavailable	0	74000	36248	400
512702669522118	400	933	unavailable	0	74000	452521	400
512702689528047	400	933	unavailable	0	74000	33864	400
512702709561318	400	933	unavailable	0	74000	41308	400
512702729553882	400	933	unavailable	0	74000	543852	400
512702749554050	400	933	unavailable	0	74000	76815	400
512702769603321	400	933	unavailable	0	74000	42209	400
# dpm_read=512702789555930
512702789555930	400	933	unavailable	0	74000	703161	400
512702809552892	400	933	unavailable	0	74000	192682	400
512702829560655	400	933	unavailable	0	74000	43391	400
512702849552708	400	933	unavailable	0	74000	41418	400
512702869552746	400	933	unavailable	0	74000	310433	400
512702889539219	400	933	unavailable	0	74000	46757	400
512702909557661	400	933	unavailable	0	74000	41087	400
512702929566606	400	933	unavailable	0	74000	410882	400
512702949568638	400	933	unavailable	0	74000	47589	400
512702969560280	400	933	unavailable	0	74000	43422	400
# dpm_read=512702989533217
512702989533217	400	933	unavailable	0	74000	634182	400
512703009538615	400	933	unavailable	0	74000	119485	400
512703029565304	400	933	unavailable	0	74000	43060	400
512703049561965	400	933	unavailable	0	74000	41799	400
512703069561993	400	933	unavailable	0	74000	183726	400
512703089565778	400	933	unavailable	0	74000	42390	400
512703109563081	400	933	unavailable	0	74000	44774	400
512703129558701	400	933	unavailable	0	74000	301086	400
