monitor_start_utc=2026-09-04T04:25:46Z server_pid=3109186 sample_seconds=1 profile=low-async latency_watchdog_pid=3109759 kernel_hazard_watchdog_pid=3109768 guard_affinity=1 guard_nice=0
threshold_mem_available_kib=4194304 threshold_swapin_bytes_per_sample=67108864 report_temperature_millicelsius=90000
threshold_maximum_gpu_busy_percent=100 enforcement=terminate_on_sample_above_threshold
sample_utc=2026-09-04T04:25:47Z affinity=0 nice=19 rss_kib=179536 peak_rss_kib=179536 mem_available_kib=26117316 swapin_bytes=0 max_temp_millicelsius=71000 gpu_busy_percent=9 gtt_used_bytes=1202749440 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 400Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:25:48Z affinity=0 nice=19 rss_kib=180164 peak_rss_kib=180164 mem_available_kib=26125660 swapin_bytes=0 max_temp_millicelsius=71000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:25:49Z affinity=0 nice=19 rss_kib=183220 peak_rss_kib=183220 mem_available_kib=26123520 swapin_bytes=0 max_temp_millicelsius=70000 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:25:50Z affinity=0 nice=19 rss_kib=183220 peak_rss_kib=183220 mem_available_kib=26123656 swapin_bytes=0 max_temp_millicelsius=70000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:25:51Z affinity=0 nice=19 rss_kib=183220 peak_rss_kib=183220 mem_available_kib=26123496 swapin_bytes=0 max_temp_millicelsius=69375 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:25:52Z affinity=0 nice=19 rss_kib=183220 peak_rss_kib=183220 mem_available_kib=26123408 swapin_bytes=0 max_temp_millicelsius=69750 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:25:53Z affinity=0 nice=19 rss_kib=183220 peak_rss_kib=183220 mem_available_kib=26123804 swapin_bytes=0 max_temp_millicelsius=70250 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:25:54Z affinity=0 nice=19 rss_kib=183220 peak_rss_kib=183220 mem_available_kib=26123728 swapin_bytes=0 max_temp_millicelsius=70375 gpu_busy_percent=97 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:25:55Z affinity=0 nice=19 rss_kib=183220 peak_rss_kib=183220 mem_available_kib=26123772 swapin_bytes=0 max_temp_millicelsius=70625 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:25:56Z affinity=0 nice=19 rss_kib=183220 peak_rss_kib=183220 mem_available_kib=26123764 swapin_bytes=0 max_temp_millicelsius=71125 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:25:57Z affinity=0 nice=19 rss_kib=183220 peak_rss_kib=183220 mem_available_kib=26123532 swapin_bytes=0 max_temp_millicelsius=71500 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
